step,accepted_step,attempt_step,attempt_index,attempt_number,time,dt,dt_base,dt_retry_attempts,dt_recovery_success_steps,dt_recovery_window_steps,dt_restore_attempt,dt_snap_applied,dt_snap_target_time,time_grid_error,dt_event,g,mass,lumen_mass_def,ratio,max_u,max_p,ch_converged,ch_snes_reason,ch_snes_its,ch_ksp_reason,ch_ksp_its,biot_converged,biot_iterations,biot_iterations_u,biot_iterations_tp,biot_snes_reason,biot_snes_its,biot_ksp_reason,biot_ksp_its,biot_u_snes_reason,biot_u_snes_its,biot_u_ksp_reason,biot_u_ksp_its,biot_tp_snes_reason,biot_tp_snes_its,biot_tp_ksp_reason,biot_tp_ksp_its,split_iterations,outer_omega,split_pf_increment,split_u_increment,split_theta_increment,split_p_increment,split_increment,step_failed,constraint_mismatch_max,constraint_mismatch_boundary_max,constraint_mismatch_interior_max,min_J,min_Je,J_fraction_ref_below_0_8,J_fraction_def_below_0_8,J_p01_ref,J_p05_ref,J_p01_def,J_p05_def,min_pf,max_pf,area_ref,area_def,area_ratio,domain_measure_ref,domain_measure_def,domain_measure_ratio,flow_potential_min,flow_potential_max,flow_potential_range,p_eff_min,p_eff_max,p_eff_range,theta_eq_min,theta_eq_max,theta_eq_range,storage_strain_min,storage_strain_max,storage_strain_range,source_pf_min,source_pf_max,source_pf_range,source_theta_min,source_theta_max,source_theta_range,energy_total_p,energy_total_theta,energy_total_cross,mu_elastic_l2,mu_storage_l2,lumen_n_components,lumen_component_event,lumen_total_volume,lumen_total_volume_ref,lumen_total_volume_def,lumen_interface_measure_ref,lumen_interface_measure_def,lumen_characteristic_length_ref,lumen_characteristic_length_def,lumen_active_cell_count,lumen_largest_volume,lumen_second_volume,lumen_largest_fraction,lumen_second_fraction,lumen_min_gap,lumen_edge_components,lumen_second_edge_touch,lumen_largest_edge_count,lumen_largest_edge_touch,lumen_largest_cx,lumen_largest_cy,lumen_largest_cz,lumen_cx,lumen_cy,lumen_cz,lumen_rmax,lumen_edge_count,lumen_edge_touch,lumen_any_component_edge_touch,lumen_edge_stop_trigger,lumen_steady_stop_trigger,lumen_amr_eligible,lumen_center_delta,mesh_num_cells,mesh_num_vertices,amr_event
0,True,0,0,0,0.0,0.0,0.0005,0,0,0,False,False,,0.0,initial_state,1.0,0.5835720178604035,0.5835720178604042,1.015043336656825,0.0,0.0,True,2,1,4,,,,,,,,,,,,,,,,,,0,,,,,,0.0,False,0.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,-0.994178505209978,0.5636662693841494,3.140290796624407,3.140290796624407,1.0,3.140290796624407,3.140290796624407,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.022181668653079252,0.02997089252604989,0.007789223872970638,0.0,0.0,0.0,-20.0,-20.0,0.0,0.0,0.0,0.0,8.692354450276143,8.692354450276143,8.692354450276143,0.0,2.347019459395552e-20,4,none,0.0043061512127377955,0.0043061512127377955,0.0043061512127377955,0.5983366016764622,0.5983366016764622,0.014393741585162979,0.014393741585162979,4,0.0010765378033186215,0.0010765378033186206,0.25000000003115835,0.2500000000311582,0.5508342038205016,0,False,0,False,-0.009659180067777119,0.4981020078334965,,0.007804570421642356,0.0227754300805396,,0.5148459305614005,0,False,False,False,False,False,,2972,1550,0
1,True,1,1,1,0.0005,0.0005,0.0005,0,0,0,False,False,,,none,1.00125,0.5678705638772834,0.5431030507093437,1.0154945812283895,0.014504395401502548,0.02290318900640901,True,2,1,4,1,True,1,,,2,1,2,148,,,,,,,,,8,0.8,7.536819074108768e-07,8.106634389915394e-07,1.0359949370126308e-08,1.0223995807401815e-06,1.5068576110982541e-06,False,0.002666449286573412,0.0,0.002666449286573412,0.8652418766682909,0.8651016780024225,0.0,0.0,0.8885776430842348,0.9290069280761734,0.889940715256136,0.9309505430979401,-0.9932572086049115,0.5012581600831155,3.140290796624407,3.067641737140353,0.9768654993473385,3.140290796624407,3.067641737140353,0.9768654993473385,0.006178515459759578,0.02290318900640901,0.01672467354664943,0.006178515459759578,0.02290318900640901,0.01672467354664943,0.022493709199584423,0.029966286043024554,0.007472576843440132,0.006176842293537363,0.03572944199256797,0.02955259969903061,-20.0,-20.0,0.0,0.0,0.0,0.0,8.18973316316629,8.189733479081166,8.18973316422066,0.19418729791759212,0.0006534357983123215,0,none,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,,0,False,0,False,nan,nan,,nan,nan,,0.0,0,False,False,False,False,False,,2972,1550,0
2,True,2,2,1,0.001,0.0005,0.0005,0,0,0,False,False,,,none,1.0025,0.5521691098941647,0.5289837394954886,1.016642789416294,0.013781689879761765,0.022357015930830466,True,2,1,4,1,True,2,,,2,2,2,199,,,,,,,,,6,0.8,3.514655303364304e-06,1.483187085629338e-06,2.3181091979787042e-07,1.535229833868473e-06,4.118654243534146e-06,False,0.0030609993263346486,0.0,0.0030609993263346486,0.8623330679837027,0.8619909262592333,0.0,0.0,0.8864699076684555,0.9307217893835872,0.8880586728047007,0.9330105931194124,-0.9909989841813869,0.5068974936143563,3.140290796624407,3.07409890534205,0.9789217319130098,3.140290796624407,3.07409890534205,0.9789217319130098,0.006242697995311363,0.022357015930830466,0.016114317935519103,0.006242697995311363,0.022357015930830466,0.016114317935519103,0.02246551253192822,0.029954994920906933,0.0074894823889787125,0.006245994169756489,0.03680005579533402,0.03055406162557753,-20.0,-20.0,0.0,0.0,0.0,0.0,7.96310900168471,7.963109420768277,7.9631090114430885,0.19586683172163027,0.0006071712873091128,0,none,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,,0,False,0,False,nan,nan,,nan,nan,,0.0,0,False,False,False,False,False,,2972,1550,0
3,True,3,3,1,0.0015,0.0005,0.0005,0,0,0,False,False,,,none,1.00375,0.5364676559110446,0.5148909624507783,1.0179563090817214,0.013090670510570172,0.02175014025453315,True,2,1,4,1,True,2,,,2,2,2,187,,,,,,,,,6,0.8,2.569202555079931e-06,1.410575831629252e-06,2.0965240042039706e-07,1.1787193952742047e-06,3.1660479288228447e-06,False,0.0032698357086914064,0.0,0.0032698357086914064,0.8595816770918805,0.8590811853021195,0.0,0.0,0.8859847925344397,0.9333635007047911,0.8879093740032298,0.9355283920296091,-0.9893941978673819,0.5090629260805433,3.140290796624407,3.0803115683738262,0.9809001038008791,3.140290796624407,3.0803115683738262,0.9809001038008791,0.006280332959268224,0.02175014025453315,0.015469807295264926,0.006280332959268224,0.02175014025453315,0.015469807295264926,0.022454685369597282,0.029946970989336907,0.0074922856197396255,0.0062876374224062545,0.03771507330910086,0.0314274358866946,-20.0,-20.0,0.0,0.0,0.0,0.0,7.753921760944089,7.753922227669855,7.753921772131872,0.19430547962148714,0.0005800999116764591,0,none,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,,0,False,0,False,nan,nan,,nan,nan,,0.0,0,False,False,False,False,False,,2972,1550,0
4,True,4,4,1,0.002,0.0005,0.0005,0,0,0,False,False,,,none,1.005,0.5207662019279247,0.5008486159087416,1.019314365702889,0.012387757268170775,0.02118092521713735,True,2,1,4,1,True,2,,,2,2,2,192,,,,,,,,,6,0.8,1.8011178819970738e-06,1.3758753763991965e-06,1.8871419995715444e-07,9.88672149604668e-07,2.4799484560975534e-06,False,0.0034517167433193285,0.0,0.0034517167433193285,0.8596203946655195,0.8589571462529133,0.0,0.0,0.8877623660498196,0.9359499999970246,0.8896929707629291,0.9386511500957784,-0.9883568033730504,0.5014404667207144,3.140290796624407,3.086408983070412,0.9828417757960777,3.140290796624407,3.086408983070412,0.9828417757960777,0.006289708988090965,0.02118092521713735,0.014891216229046385,0.006289708988090965,0.02118092521713735,0.014891216229046385,0.022492797666396426,0.029941784016865248,0.007448986350468822,0.006299998391424268,0.03856868686673992,0.03226868847531565,-20.0,-20.0,0.0,0.0,0.0,0.0,7.547346162136256,7.547346646064304,7.547346174495384,0.18941805329691347,0.000565835014754518,0,none,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,,0,False,0,False,nan,nan,,nan,nan,,0.0,0,False,False,False,False,False,,2972,1550,0
5,True,5,5,1,0.0025,0.0005,0.0005,0,0,0,False,False,,,none,1.00625,0.5050647479448047,0.4868595014936764,1.0206752731870963,0.011629758165876766,0.02066118408648984,True,2,1,4,1,True,2,,,2,2,2,190,,,,,,,,,6,0.8,1.3205109078024752e-06,1.364643533886032e-06,1.7073863254628868e-07,8.94066536704742e-07,2.105827078584864e-06,False,0.0034866516741087015,0.0,0.0034866516741087015,0.8625505431456081,0.8616930556383644,0.0,0.0,0.8912598024982483,0.9388607712640544,0.8930440628690175,0.9415444968469363,-0.9877291910613791,0.48400368429991614,3.140290796624407,3.0924670743741114,0.9847709255774328,3.140290796624407,3.0924670743741114,0.9847709255774328,0.006271958674755438,0.02066118408648984,0.0143892254117344,0.006271958674755438,0.02066118408648984,0.0143892254117344,0.02257998157850042,0.029938645955306892,0.007358664376806472,0.00628426873274551,0.03952039524459845,0.03323612651185294,-20.0,-20.0,0.0,0.0,0.0,0.0,7.336684626409775,7.336685103284276,7.336684639654586,0.1813832067345893,0.000560558295942389,0,none,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,,0,False,0,False,nan,nan,,nan,nan,,0.0,0,False,False,False,False,False,,2972,1550,0
6,True,6,6,1,0.003,0.0005,0.0005,0,0,0,False,False,,,none,1.0075,0.48936329396168576,0.47291858954651234,1.0220107465283188,0.010859648531840023,0.020192409345491016,True,2,1,4,1,True,2,,,2,2,2,198,,,,,,,,,6,0.8,1.2206084558084232e-06,1.3689548566152147e-06,1.5649390281422997e-07,8.608408546114639e-07,2.032107211843812e-06,False,0.0034014146923592985,0.0,0.0034014146923592985,0.8679560629693167,0.8668405203459376,0.0,0.0,0.8960122040262124,0.9422180076195018,0.8977897594353546,0.9444404932630116,-0.9873753816932435,0.45709533146047787,3.140290796624407,3.0985342183164173,0.986702958097742,3.140290796624407,3.0985342183164173,0.986702958097742,0.006228512887029497,0.020192409345491016,0.013963896458461519,0.006228512887029497,0.020192409345491016,0.013963896458461519,0.022714523342697614,0.029936876908466213,0.0072223535657685994,0.006242110662925923,0.040501450292445465,0.03425933962951954,-20.0,-20.0,0.0,0.0,0.0,0.0,7.117790874435741,7.117791324473957,7.1177908882295124,0.1705172868343715,0.0005613122659971243,0,none,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,,0,False,0,False,nan,nan,,nan,nan,,0.0,0,False,False,False,False,False,,2972,1550,0
7,True,7,7,1,0.0035,0.0005,0.0005,0,0,0,False,False,,,none,1.00875,0.47366183997856626,0.4590180079115736,1.0232878112086163,0.010062616853419672,0.019774633966448792,True,2,1,4,1,True,2,,,2,2,2,188,,,,,,,,,6,0.8,1.4080910106188096e-06,1.3847900210700676e-06,1.4567476592832633e-07,8.660358484162098e-07,2.1613891192497004e-06,False,0.0032158300112761495,0.0,0.0032158300112761495,0.875393878221459,0.8739530601269788,0.0,0.0,0.9015482355925264,0.9455665357495264,0.903312446886359,0.9479197278225854,-0.9871904358972448,0.42064582799933836,3.140290796624407,3.1046454021885808,0.9886490147746372,3.140290796624407,3.1046454021885808,0.9886490147746372,0.006160837451277139,0.019774633966448792,0.013613796515171653,0.006160837451277139,0.019774633966448792,0.013613796515171653,0.02289677086000331,0.029935952179486223,0.007039181319482914,0.006175241172204121,0.04140662877435364,0.035231387602149514,-20.0,-20.0,0.0,0.0,0.0,0.0,6.88742831187972,6.887428719290493,6.887428325857381,0.15717309954469375,0.000565282093482363,0,none,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,,0,False,0,False,nan,nan,,nan,nan,,0.0,0,False,False,False,False,False,,2972,1550,0
8,True,8,8,1,0.004,0.0005,0.0005,0,0,0,False,False,,,none,1.01,0.4579603859954463,0.4451485048544239,1.0244620676409113,0.009216115214336957,0.019407658044967434,True,2,1,4,1,True,2,,,2,2,2,198,,,,,,,,,6,0.8,1.7140617891593284e-06,1.410541452982468e-06,1.3744127077006703e-07,8.914511925602591e-07,2.3960822897525806e-06,False,0.002955247583783429,0.0,0.002955247583783429,0.8845848975989181,0.8827144659445849,0.0,0.0,0.9078231405894014,0.9490948184865672,0.9097015404116122,0.9510313732151878,-0.9870971702740792,0.3741467850667601,3.140290796624407,3.1108299470133174,0.990618432648735,3.140290796624407,3.1108299470133174,0.990618432648735,0.006070095347217377,0.019407658044967434,0.013337562697750056,0.006070095347217377,0.019407658044967434,0.013337562697750056,0.0231292660746662,0.029935485851370392,0.006806219776704193,0.0060850348106903035,0.04220803519420957,0.03612300038351927,-20.0,-20.0,0.0,0.0,0.0,0.0,6.642634949976088,6.642635302955046,6.642634963777075,0.14171793183950518,0.0005692089649728339,0,none,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,,0,False,0,False,nan,nan,,nan,nan,,0.0,0,False,False,False,False,False,,2972,1550,0
9,True,9,9,1,0.0045000000000000005,0.0005,0.0005,0,0,0,False,False,,,none,1.01125,0.4422589320123266,0.431299026292711,1.025474301453293,0.008321616958880524,0.019128299149527996,True,2,1,4,1,True,2,,,2,2,2,180,,,,,,,,,6,0.8,2.0556424728706006e-06,1.4459857935605626e-06,1.3114559521559364e-07,9.199365354695636e-07,2.6795565468720237e-06,False,0.002632651436054694,0.0,0.002632651436054694,0.8948069778655219,0.8923657391588672,0.0,0.0,0.9154302376925951,0.9528115323680408,0.9174556113622486,0.9549984549703177,-0.9870402813347439,0.31677013200678866,3.140290796624407,3.1171157188664083,0.9926200854446632,3.140290796624407,3.1171157188664083,0.9926200854446632,0.00595688880077836,0.019128299149527996,0.013171410348749635,0.00595688880077836,0.019128299149527996,0.013171410348749635,0.023416149339966056,0.029935201406673717,0.006519052066707661,0.005972253080716465,0.042864173600530464,0.036891920519814,-20.0,-20.0,0.0,0.0,0.0,0.0,6.380504908991312,6.38050520008771,6.380504922292656,0.12456507618756692,0.0005688774603895617,0,none,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,,0,False,0,False,nan,nan,,nan,nan,,0.0,0,False,False,False,False,False,,2972,1550,0
