step,time,threshold,roi_max_r,analysis_mode,mesh_index,n_components,lumen_node_fraction,largest_component_fraction,second_component_fraction,centroid_x,centroid_y,centroid_z,largest_centroid_x,largest_centroid_y,largest_centroid_z,total_component_volume,largest_component_volume,second_component_volume,min_pairwise_centroid_distance,mean_pairwise_centroid_distance,min_gap,edge_components,ref_n_components,ref_largest_component_fraction,ref_second_component_fraction,ref_centroid_x,ref_centroid_y,ref_centroid_z,ref_largest_centroid_x,ref_largest_centroid_y,ref_largest_centroid_z,ref_total_component_volume,ref_largest_component_volume,ref_second_component_volume,ref_min_pairwise_centroid_distance,ref_mean_pairwise_centroid_distance,ref_min_gap,ref_edge_components,def_n_components,def_largest_component_fraction,def_second_component_fraction,def_centroid_x,def_centroid_y,def_centroid_z,def_largest_centroid_x,def_largest_centroid_y,def_largest_centroid_z,def_total_component_volume,def_largest_component_volume,def_second_component_volume,def_min_pairwise_centroid_distance,def_mean_pairwise_centroid_distance,def_min_gap,def_edge_components
0,0.0,0.5,,scientific,0,4,0.003870967741935484,0.25000000003115835,0.2500000000311582,0.007804570421642356,0.0227754300805396,nan,-0.009659180067777119,0.4981020078334965,nan,0.0043061512127377955,0.0010765378033186215,0.0010765378033186206,0.5878570413974071,0.7382511411286349,0.5508342038205016,0,4,0.25000000003115835,0.2500000000311582,0.007804570421642356,0.0227754300805396,nan,-0.009659180067777119,0.4981020078334965,nan,0.0043061512127377955,0.0010765378033186215,0.0010765378033186206,0.5878570413974071,0.7382511411286349,0.5508342038205016,0,4,0.25000000003115835,0.2500000000311582,0.007804570421642356,0.0227754300805396,nan,-0.009659180067777119,0.4981020078334965,nan,0.0043061512127377955,0.0010765378033186215,0.0010765378033186206,0.5878570413974071,0.7382511411286349,0.5508342038205016,0
1,0.0005,0.5,,scientific,0,4,0.005806451612903226,0.4000854437086114,0.20052806392185285,0.008792077167847395,0.11299458348583001,nan,0.002924766772288158,0.4825461494395591,nan,0.004634968020784884,0.0018543832371709446,0.000929441163547695,0.5764914946679258,0.7216634533953181,0.5421131503119682,0,4,0.4000000000398826,0.20000000001994123,0.009534487931123138,0.11541741929829419,nan,0.0033974889502033775,0.4920436919783121,nan,0.005382689016056416,0.002153075606637242,0.0010765378033186206,0.5878570413974071,0.7356196568708091,0.5508342038205016,0,4,0.4000854437086114,0.20052806392185285,0.008792077167847395,0.11299458348583001,nan,0.002924766772288158,0.4825461494395591,nan,0.004634968020784884,0.0018543832371709446,0.000929441163547695,0.5764914946679258,0.7216634533953181,0.5421131503119682,0
2,0.001,0.5,,scientific,0,4,0.00967741935483871,0.3181247054011428,0.27247873574199205,0.04343877384382155,0.0596565816213807,nan,-0.007514815472841503,0.46895227188283045,nan,0.020417958324317816,0.006495456976816416,0.0055634594706428005,0.5790818213407806,0.7144240576092339,0.5062486179104967,0,4,0.31818181825259345,0.27272727278793685,0.044221801011172984,0.060845230544399775,nan,-0.007828209961704958,0.4776212007106843,nan,0.0236838316677415,0.0075357646232303436,0.006459226819911713,0.5908942104889877,0.7280823971004143,0.5124785821516179,0,4,0.3181247054011428,0.27247873574199205,0.04343877384382155,0.0596565816213807,nan,-0.007514815472841503,0.46895227188283045,nan,0.020417958324317816,0.006495456976816416,0.0055634594706428005,0.5790818213407806,0.7144240576092339,0.5062486179104967,0
3,0.0015,0.5,,scientific,0,4,0.014838709677419355,0.2887548722345539,0.26606313290092726,0.037848306929218006,0.041927645114347656,nan,0.47422389183592983,0.02183021832181019,nan,0.04184693373871068,0.012083506005129247,0.011133926292818876,0.5734348235515732,0.7234897840052348,0.46453161509086194,0,4,0.2888888889508516,0.26666666672386297,0.03879513775444192,0.043208477634379676,nan,0.48345112791603384,0.02194446729942823,nan,0.048444201138947304,0.013994991443142065,0.012918453639823444,0.5854060518073985,0.7378141389071388,0.4683295596355664,0,4,0.2887548722345539,0.26606313290092726,0.037848306929218006,0.041927645114347656,nan,0.47422389183592983,0.02183021832181019,nan,0.04184693373871068,0.012083506005129247,0.011133926292818876,0.5734348235515732,0.7234897840052348,0.46453161509086194,0
4,0.002,0.5,,scientific,0,4,0.023225806451612905,0.2803611655223322,0.26243656707783686,0.020744351422279345,0.04355853356377918,nan,-0.00413745712584546,0.4809325173185209,nan,0.05292899602495129,0.014839235015482233,0.01389050401566469,0.5752321329853549,0.7206256919658451,0.451112332546964,0,4,0.28070175446824747,0.2631578948139821,0.021643904439047856,0.04480202538294523,nan,-0.004282299533190499,0.49045392751806394,nan,0.06136265477117399,0.017224604853097916,0.0161480670497793,0.5876192578792389,0.7350694350260714,0.4541315186587861,0,4,0.2803611655223322,0.26243656707783686,0.020744351422279345,0.04355853356377918,nan,-0.00413745712584546,0.4809325173185209,nan,0.05292899602495129,0.014839235015482233,0.01389050401566469,0.5752321329853549,0.7206256919658451,0.451112332546964,0
5,0.0025,0.5,,scientific,0,4,0.02903225806451613,0.2918036149113642,0.2629425566887462,0.0333649577672871,0.04466560659702968,nan,0.47016996531331395,0.027421798454222435,nan,0.06692779392690396,0.019529772205913423,0.017598165248677668,0.5714943333072177,0.7157365674939963,0.43382871178599836,0,4,0.2916666667361176,0.2638888889517251,0.03423375669661189,0.0460120591351936,nan,0.4793544570325391,0.027771576111186212,nan,0.07751072182048405,0.022607293869691035,0.02045421826305377,0.5841423948441243,0.7301379837154153,0.4361234432394656,0,4,0.2918036149113642,0.2629425566887462,0.0333649577672871,0.04466560659702968,nan,0.47016996531331395,0.027421798454222435,nan,0.06692779392690396,0.019529772205913423,0.017598165248677668,0.5714943333072177,0.7157365674939963,0.43382871178599836,0
6,0.003,0.5,,scientific,0,4,0.031612903225806455,0.27096498178141004,0.259861234830539,0.01647801878100451,0.03795362786818407,nan,-0.005388712519923898,0.4768078954389646,nan,0.08580267835833924,0.023249521178163576,0.022296789949965604,0.573258972259819,0.717985341138707,0.4131829715722779,0,4,0.2717391306140764,0.26086956538951356,0.01774763314061044,0.039372100988156904,nan,-0.005602770570001444,0.48632568523835473,nan,0.09904147783996528,0.02691344508296548,0.02583690727964688,0.5863302229984175,0.7326568569700762,0.41467399485846385,0,4,0.27096498178141004,0.259861234830539,0.01647801878100451,0.03795362786818407,nan,-0.005388712519923898,0.4768078954389646,nan,0.08580267835833924,0.023249521178163576,0.022296789949965604,0.573258972259819,0.717985341138707,0.4131829715722779,0
7,0.0035,0.5,,scientific,0,4,0.03741935483870968,0.27474220891956097,0.27442631289178265,0.029554071235938745,0.042142892228424725,nan,0.46432482893247057,0.029829033447310426,nan,0.10191519911383763,0.028000406927012632,0.027968212320442335,0.5702485475302697,0.7141362258464028,0.399230973673002,0,4,0.2752293579659394,0.2752293579659394,0.030499133751549407,0.043763151943244157,nan,-0.005237503675198588,0.4859729759490703,nan,0.11734262049019979,0.032296134099558574,0.032296134099558574,0.5836785737083178,0.7289050724784504,0.40043441897285587,0,4,0.27474220891956097,0.27442631289178265,0.029554071235938745,0.042142892228424725,nan,0.46432482893247057,0.029829033447310426,nan,0.10191519911383763,0.028000406927012632,0.027968212320442335,0.5702485475302697,0.7141362258464028,0.399230973673002,0
8,0.004,0.5,,scientific,0,4,0.043225806451612905,0.2699100654712716,0.2618188914276817,0.02549941896295742,0.03567864212868025,nan,0.4730667959677093,0.024457731248718795,nan,0.12495112868420474,0.03372556732386298,0.032714565994736086,0.5631849181779092,0.716730177523966,0.37018425554888873,0,4,0.2706766920090707,0.2631578950088188,0.026812222183648638,0.037513329782680724,nan,0.4825121442359932,0.024670467900155365,nan,0.1431795276933987,0.03875536091947029,0.03767882311615168,0.5768562138955697,0.7316994633309228,0.37072177842684506,0,4,0.2699100654712716,0.2618188914276817,0.02549941896295742,0.03567864212868025,nan,0.4730667959677093,0.024457731248718795,nan,0.12495112868420474,0.03372556732386298,0.032714565994736086,0.5631849181779092,0.716730177523966,0.37018425554888873,0
9,0.0045000000000000005,0.5,,scientific,0,4,0.04967741935483871,0.2659688812638459,0.2657847141663962,0.01803455896840022,0.03877202083687049,nan,0.4712720350063304,0.023036673002844704,nan,0.13725080083918323,0.036504441951764485,0.036479164870151286,0.5681147721793086,0.7201812632497152,0.36586663510151113,0,4,0.26712328804962937,0.2671232880496292,0.019578433154594847,0.04065468316638291,nan,-0.009396271539725732,0.49516117399022086,nan,0.15717451906187113,0.04198497432942616,0.04198497432942614,0.5824584109401957,0.7354621897625493,0.3666033758890971,0,4,0.2659688812638459,0.2657847141663962,0.01803455896840022,0.03877202083687049,nan,0.4712720350063304,0.023036673002844704,nan,0.13725080083918323,0.036504441951764485,0.036479164870151286,0.5681147721793086,0.7201812632497152,0.36586663510151113,0
