step,accepted_step,attempt_step,attempt_index,attempt_number,time,dt,dt_base,dt_retry_attempts,dt_recovery_success_steps,dt_recovery_window_steps,dt_restore_attempt,dt_snap_applied,dt_snap_target_time,time_grid_error,dt_event,g,mass,lumen_mass_def,ratio,max_u,max_p,ch_converged,ch_snes_reason,ch_snes_its,ch_ksp_reason,ch_ksp_its,biot_converged,biot_iterations,biot_iterations_u,biot_iterations_tp,biot_snes_reason,biot_snes_its,biot_ksp_reason,biot_ksp_its,biot_u_snes_reason,biot_u_snes_its,biot_u_ksp_reason,biot_u_ksp_its,biot_tp_snes_reason,biot_tp_snes_its,biot_tp_ksp_reason,biot_tp_ksp_its,split_iterations,outer_omega,split_pf_increment,split_u_increment,split_theta_increment,split_p_increment,split_increment,step_failed,constraint_mismatch_max,constraint_mismatch_boundary_max,constraint_mismatch_interior_max,min_J,min_Je,J_fraction_ref_below_0_8,J_fraction_def_below_0_8,J_p01_ref,J_p05_ref,J_p01_def,J_p05_def,min_pf,max_pf,area_ref,area_def,area_ratio,domain_measure_ref,domain_measure_def,domain_measure_ratio,flow_potential_min,flow_potential_max,flow_potential_range,p_eff_min,p_eff_max,p_eff_range,theta_eq_min,theta_eq_max,theta_eq_range,storage_strain_min,storage_strain_max,storage_strain_range,source_pf_min,source_pf_max,source_pf_range,source_theta_min,source_theta_max,source_theta_range,energy_total_p,energy_total_theta,energy_total_cross,mu_elastic_l2,mu_storage_l2,lumen_n_components,lumen_component_event,lumen_total_volume,lumen_total_volume_ref,lumen_total_volume_def,lumen_interface_measure_ref,lumen_interface_measure_def,lumen_characteristic_length_ref,lumen_characteristic_length_def,lumen_active_cell_count,lumen_largest_volume,lumen_second_volume,lumen_largest_fraction,lumen_second_fraction,lumen_min_gap,lumen_edge_components,lumen_second_edge_touch,lumen_largest_edge_count,lumen_largest_edge_touch,lumen_largest_cx,lumen_largest_cy,lumen_largest_cz,lumen_cx,lumen_cy,lumen_cz,lumen_rmax,lumen_edge_count,lumen_edge_touch,lumen_any_component_edge_touch,lumen_edge_stop_trigger,lumen_steady_stop_trigger,lumen_amr_eligible,lumen_center_delta,mesh_num_cells,mesh_num_vertices,amr_event
0,True,0,0,0,0.0,0.0,0.0005,0,0,0,False,False,,0.0,initial_state,1.0,0.5835720178604035,0.5835720178604042,1.015043336656825,0.0,0.0,True,2,1,4,,,,,,,,,,,,,,,,,,0,,,,,,0.0,False,0.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,-0.994178505209978,0.5636662693841494,3.140290796624407,3.140290796624407,1.0,3.140290796624407,3.140290796624407,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.022181668653079252,0.02997089252604989,0.007789223872970638,0.0,0.0,0.0,30.0,30.0,0.0,0.0,0.0,0.0,8.692354450276143,8.692354450276143,8.692354450276143,0.0,2.347019459395552e-20,4,none,0.0043061512127377955,0.0043061512127377955,0.0043061512127377955,0.5983366016764622,0.5983366016764622,0.014393741585162979,0.014393741585162979,4,0.0010765378033186215,0.0010765378033186206,0.25000000003115835,0.2500000000311582,0.5508342038205016,0,False,0,False,-0.009659180067777119,0.4981020078334965,,0.007804570421642356,0.0227754300805396,,0.5148459305614005,0,False,False,False,False,False,,2972,1550,0
1,True,1,1,1,0.0005,0.0005,0.0005,0,0,0,False,False,,,none,1.00125,0.6071241988350832,0.5800024406587446,1.0147801068818976,0.01529802786154999,0.023991544320583386,True,2,1,4,1,True,1,,,2,1,2,150,,,,,,,,,8,0.8,7.370411668900569e-07,8.589599772567685e-07,1.1015105724696786e-08,1.0882434895681913e-06,1.5701710573569e-06,False,0.00262754124788786,0.0,0.00262754124788786,0.8618892936255035,0.8617496381923224,0.0,0.0,0.8859302340289907,0.9265393212964926,0.8872418690038352,0.9286869866525715,-0.9852238142977743,0.527889298623142,3.140290796624407,3.062290837258657,0.9751615489082748,3.140290796624407,3.062290837258657,0.9751615489082748,0.006622379968125232,0.023991544320583386,0.017369164352458152,0.006622379968125232,0.023991544320583386,0.017369164352458152,0.02236055350688429,0.02992611907148887,0.007565565564604582,0.0066372837713194995,0.03483840492736726,0.028201121156047764,30.0,30.0,0.0,0.0,0.0,0.0,8.625424621481216,8.625424939138759,8.625424621827596,0.20289814268239037,0.0006794434595588874,4,none,0.004634968020784884,0.005382689016056416,0.004634968020784884,0.6481979851526078,0.6013406855276178,0.01660816336783012,0.015415447955989047,5,0.0018543832371709446,0.000929441163547695,0.4000854437086114,0.20052806392185285,0.5421131503119682,0,False,0,False,0.002924766772288158,0.4825461494395591,,0.008792077167847395,0.11299458348583001,,0.5037821150774859,0,False,False,False,False,False,,2972,1550,0
2,True,2,2,1,0.001,0.0005,0.0005,0,0,0,False,False,,,none,1.0025,0.6306763798097619,0.6026125833410378,1.0153831597402085,0.015386385678395868,0.024339590639886725,True,2,1,4,1,True,2,,,2,2,2,219,,,,,,,,,6,0.8,2.9115398850779306e-06,2.6162634064806057e-07,2.754151421508988e-07,1.6336769702934055e-06,3.3600992229863603e-06,False,0.00301570747636384,0.0,0.00301570747636384,0.8545616938848815,0.8542545281917991,0.0,0.0,0.8795822676466071,0.9252831185272831,0.8811720673227608,0.9280438349167601,-0.9770366195514157,0.5643880479768031,3.140290796624407,3.0630471822624425,0.9754024008079137,3.140290796624407,3.0630471822624425,0.9754024008079137,0.0071155181415657204,0.024339590639886725,0.017224072498321003,0.0071155181415657204,0.024339590639886725,0.017224072498321003,0.022178059760115984,0.029885183097757076,0.007707123337641092,0.007304191561556719,0.034800165295267,0.02749597373371028,30.0,30.0,0.0,0.0,0.0,0.0,8.864509696205984,8.864510120589522,8.864509700867487,0.21438691416987482,0.0006503955101224125,4,none,0.020417958324317816,0.0236838316677415,0.020417958324317816,1.396118737041244,1.3023405973965398,0.03392810516666225,0.03135578874702146,22,0.006495456976816416,0.0055634594706428005,0.3181247054011428,0.27247873574199205,0.5062486179104967,0,False,0,False,-0.007514815472841503,0.46895227188283045,,0.04343877384382155,0.0596565816213807,,0.5421755283109952,0,False,False,False,False,False,0.06360295616910394,2972,1550,0
3,True,3,3,1,0.0015,0.0005,0.0005,0,0,0,False,False,,,none,1.00375,0.6542285607844411,0.625075143031639,1.0163029849862608,0.015551187146602679,0.024488224964322812,True,2,1,4,1,True,2,,,2,2,2,220,,,,,,,,,6,0.8,2.1483610576140046e-06,2.1502720784114074e-07,2.7543978763971476e-07,1.4702264769093352e-06,2.626618530355059e-06,False,0.003287432850303234,0.0,0.003287432850303234,0.8452823241613564,0.8448895120194955,0.0,0.0,0.8743457148244467,0.9240609312827983,0.8766825292656475,0.9274795372167011,-0.9705485279449716,0.6030458358092943,3.140290796624407,3.0633281666644425,0.97549187799974,3.140290796624407,3.0633281666644425,0.97549187799974,0.006479465941575793,0.024488224964322812,0.01800875902274702,0.006479465941575793,0.024488224964322812,0.01800875902274702,0.021984770820953528,0.02985274263972486,0.007867971818771333,0.008047317292882997,0.03448472589212684,0.02643740859924384,30.0,30.0,0.0,0.0,0.0,0.0,9.133678563072987,9.133679057986132,9.13367856767898,0.22416313314505043,0.0006351737989399222,4,none,0.04184693373871068,0.048444201138947304,0.04184693373871068,1.8448711883695186,1.721946514774236,0.05251770578276728,0.048604220142339574,45,0.012083506005129247,0.011133926292818876,0.2887548722345539,0.26606313290092726,0.46453161509086194,0,False,0,False,0.47422389183592983,0.02183021832181019,,0.037848306929218006,0.041927645114347656,,0.5471161012162661,0,False,False,False,False,False,0.018589473096182307,2972,1550,0
4,True,4,4,1,0.002,0.0005,0.0005,0,0,0,False,False,,,none,1.005,0.677780741759121,0.6474183002969947,1.017430261997981,0.015747820122818,0.02450092489987477,True,2,1,4,1,True,2,,,2,2,2,234,,,,,,,,,6,0.8,1.6465502893255406e-06,2.3249090049039703e-07,2.7722079210051873e-07,1.399382899290714e-06,2.1909595478896867e-06,False,0.0035136478584574388,0.0,0.0035136478584574388,0.8364064454529464,0.8359693211249015,0.0,0.0,0.8690918636012414,0.9227431072315407,0.871964173242336,0.9268387873729695,-0.9653158835385419,0.6383142591290002,3.140290796624407,3.0633184807500586,0.975488793599278,3.140290796624407,3.0633184807500586,0.975488793599278,0.005931745292627252,0.02450092489987477,0.018569179607247518,0.005931745292627252,0.02450092489987477,0.018569179607247518,0.021808428704355,0.029826579417692706,0.008018150713337707,0.008832436119369933,0.034085632693447304,0.02525319657407737,30.0,30.0,0.0,0.0,0.0,0.0,9.41076423286938,9.410764783521754,9.410764237028264,0.23247973027004787,0.0006280128849619691,4,none,0.05292899602495129,0.06136265477117399,0.05292899602495129,2.144039489079094,2.005179270272955,0.057240228161590835,0.052792283273252,57,0.014839235015482233,0.01389050401566469,0.2803611655223322,0.26243656707783686,0.451112332546964,0,False,0,False,-0.00413745712584546,0.4809325173185209,,0.020744351422279345,0.04355853356377918,,0.5468250462012569,0,False,False,False,False,False,0.017181533433248224,2972,1550,0
5,True,5,5,1,0.0025,0.0005,0.0005,0,0,0,False,False,,,none,1.00625,0.7013329227338003,0.6696567417334541,1.018743538053193,0.015969066107046175,0.024405671347787386,True,2,1,4,1,True,2,,,2,2,2,228,,,,,,,,,6,0.8,1.333251052928326e-06,2.658476380379402e-07,2.8091228910800113e-07,1.3459006139650673e-06,1.933544287992464e-06,False,0.0036620579372587826,0.0,0.0036620579372587826,0.8280210959628022,0.8275654528206569,0.0,0.0,0.8644539765341093,0.9215219303814248,0.8671000984199851,0.9258410027984472,-0.9610565855918406,0.6706061244879994,3.140290796624407,3.0631266354755344,0.9754277020358055,3.140290796624407,3.0631266354755344,0.9754277020358055,0.005457012562337824,0.024405671347787386,0.018948658785449563,0.005457012562337824,0.024405671347787386,0.018948658785449563,0.021646969377560003,0.0298052829279592,0.008158313550399199,0.009630909046602526,0.033643449285344726,0.0240125402387422,30.0,30.0,0.0,0.0,0.0,0.0,9.68534452677452,9.68534512557648,9.685344530232049,0.23954393958579667,0.0006258350084211655,4,none,0.06692779392690396,0.07751072182048405,0.06692779392690396,2.592791940371971,2.438799080917626,0.05978938812141177,0.054885861201589115,72,0.019529772205913423,0.017598165248677668,0.2918036149113642,0.2629425566887462,0.43382871178599836,0,False,0,False,0.47016996531331395,0.027421798454222435,,0.0333649577672871,0.04466560659702968,,0.5702082589598537,0,False,False,False,False,False,0.012669069232449578,2972,1550,0
6,True,6,6,1,0.003,0.0005,0.0005,0,0,0,False,False,,,none,1.0075,0.7248851037084794,0.6918028029517783,1.0202450712628146,0.016220609586104228,0.024473690111597703,True,2,1,4,1,True,2,,,2,2,2,228,,,,,,,,,6,0.8,1.1630388153578765e-06,2.982746725757666e-07,2.866241557479314e-07,1.2963238284605852e-06,1.7900379720056657e-06,False,0.003774234625028801,0.0,0.003774234625028801,0.819908656719964,0.8194536928947767,0.0,0.0,0.8606624976788467,0.9200142414444391,0.8636976781818243,0.9249830269370362,-0.9576763143204725,0.7006150297191792,3.140290796624407,3.062824027767668,0.9753313390785304,3.140290796624407,3.062824027767668,0.9753313390785304,0.00504481844434712,0.024473690111597703,0.01942887166725058,0.00504481844434712,0.024473690111597703,0.01942887166725058,0.021496924851404104,0.029788381571602362,0.008291456720198258,0.01043212276756772,0.03404215121119894,0.02361002844363122,30.0,30.0,0.0,0.0,0.0,0.0,9.951282445676535,9.951283088892868,9.951282448237007,0.24546322198351084,0.0006268140253545688,4,none,0.08580267835833924,0.09904147783996528,0.08580267835833924,3.0914057726330286,2.9273522170605335,0.06407536578778472,0.0586213560898367,92,0.023249521178163576,0.022296789949965604,0.27096498178141004,0.259861234830539,0.4131829715722779,0,False,0,False,-0.005388712519923898,0.4768078954389646,,0.01647801878100451,0.03795362786818407,,0.584754288828645,0,False,False,False,False,False,0.018171938993484068,2972,1550,0
7,True,7,7,1,0.0035,0.0005,0.0005,0,0,0,False,False,,,none,1.00875,0.7484372846831588,0.7138700180262536,1.0219455426548396,0.01650139538199142,0.024991793370882913,True,2,1,4,1,True,2,,,2,2,2,241,,,,,,,,,6,0.8,1.0938884546565901e-06,3.264746200472294e-07,2.941394644372349e-07,1.2501865725716277e-06,1.7183312019351169e-06,False,0.003940596296008701,0.0,0.003940596296008701,0.8119045850344426,0.8114652961542425,0.0,0.0,0.8558924791150136,0.9184805641525716,0.8594223154362777,0.9240934507413785,-0.955072193709101,0.7287071118460067,3.140290796624407,3.0624628091977995,0.9752163119701311,3.140290796624407,3.0624628091977995,0.9752163119701311,0.004688159176131735,0.024991793370882913,0.020303634194751178,0.004688159176131735,0.024991793370882913,0.020303634194751178,0.021356464440769964,0.02977536096854551,0.008418896527775544,0.01122720515360501,0.03431594604113464,0.02308874088752963,30.0,30.0,0.0,0.0,0.0,0.0,10.204487330185321,10.204488016226051,10.20448733168423,0.2502439893071597,0.0006297243412524719,4,none,0.10191519911383763,0.11734262049019979,0.10191519911383763,3.141267156104491,2.9721882418060277,0.07471037301756737,0.06857923578347086,109,0.028000406927012632,0.027968212320442335,0.27474220891956097,0.27442631289178265,0.399230973673002,0,False,0,False,0.46432482893247057,0.029829033447310426,,0.029554071235938745,0.042142892228424725,,0.5844538049365288,0,False,False,False,False,False,0.013730735001600393,2972,1550,0
8,True,8,8,1,0.004,0.0005,0.0005,0,0,0,False,False,,,none,1.01,0.7719894656578378,0.735874567477863,1.0238592508815783,0.01679273412011675,0.025621683289250147,True,2,1,4,1,True,2,,,2,2,2,251,,,,,,,,,6,0.8,1.0969365098285899e-06,3.5129678841223524e-07,3.031186900019545e-07,1.210507668223812e-06,1.6982016650565474e-06,False,0.0040706914074333,0.0,0.0040706914074333,0.8039567847383493,0.8035443886722724,0.0,0.0,0.8520321216144311,0.9167997493648261,0.855672078020234,0.9234256765328712,-0.9529975516267458,0.7549940956923697,3.140290796624407,3.062085319906267,0.9750961035830804,3.140290796624407,3.062085319906267,0.9750961035830804,0.004380108997172661,0.025621683289250147,0.021241574292077486,0.004380108997172661,0.025621683289250147,0.021241574292077486,0.02122502952153815,0.029764987758133733,0.008539958236595584,0.01200727291279677,0.03434789623095906,0.022340623318162292,30.0,30.0,0.0,0.0,0.0,0.0,10.442034054435817,10.442034782892058,10.442034054733123,0.25381808232499176,0.00063357492073992,4,none,0.12495112868420474,0.1431795276933987,0.12495112868420474,3.240989922948334,3.0642091815276578,0.08835542911108346,0.08155522112358564,133,0.03372556732386298,0.032714565994736086,0.2699100654712716,0.2618188914276817,0.37018425554888873,0,False,0,False,0.4730667959677093,0.024457731248718795,,0.02549941896295742,0.03567864212868025,,0.5918281349937746,0,False,False,False,False,False,0.007630644429328303,2972,1550,0
9,True,9,9,1,0.0045000000000000005,0.0005,0.0005,0,0,0,False,False,,,none,1.01125,0.7955416466325183,0.757836244421217,1.0260010660241172,0.017091916271430557,0.026205072104730595,True,2,1,4,1,True,2,,,2,2,2,259,,,,,,,,,6,0.8,1.1529470249733473e-06,3.7558438060645985e-07,3.1323082810233724e-07,1.1814571080286544e-06,1.7217156905643678e-06,False,0.004245509691930143,0.0,0.004245509691930143,0.7961174451657673,0.7957394743402347,0.0004570862479682837,0.0003744573664887107,0.8477706490913292,0.9145695305268389,0.8527452029865378,0.9226035364141632,-0.95201038750998,0.7794601090533024,3.140290796624407,3.061730017322127,0.9749829603721007,3.140290796624407,3.061730017322127,0.9749829603721007,0.0041200989014480655,0.026205072104730595,0.02208497320328253,0.0041200989014480655,0.026205072104730595,0.02208497320328253,0.02110269945473349,0.029760051937549898,0.008657352482816408,0.012765638341841141,0.03432881825098598,0.021563179909144838,30.0,30.0,0.0,0.0,0.0,0.0,10.661752668659675,10.661753439789603,10.661752667639698,0.2560722069396253,0.0006374526416266288,4,none,0.13725080083918323,0.15717451906187113,0.13725080083918323,3.2908513063605516,3.113701514833841,0.09552210320659855,0.08815925366340546,146,0.036504441951764485,0.036479164870151286,0.2659688812638459,0.2657847141663962,0.36586663510151113,0,False,0,False,0.4712720350063304,0.023036673002844704,,0.01803455896840022,0.03877202083687049,,0.591536537210834,0,False,False,False,False,False,0.008080416237461115,2972,1550,0
