step,time,threshold,roi_max_r,analysis_mode,mesh_index,n_components,lumen_node_fraction,largest_component_fraction,second_component_fraction,centroid_x,centroid_y,centroid_z,largest_centroid_x,largest_centroid_y,largest_centroid_z,total_component_volume,largest_component_volume,second_component_volume,min_pairwise_centroid_distance,mean_pairwise_centroid_distance,min_gap,edge_components,ref_n_components,ref_largest_component_fraction,ref_second_component_fraction,ref_centroid_x,ref_centroid_y,ref_centroid_z,ref_largest_centroid_x,ref_largest_centroid_y,ref_largest_centroid_z,ref_total_component_volume,ref_largest_component_volume,ref_second_component_volume,ref_min_pairwise_centroid_distance,ref_mean_pairwise_centroid_distance,ref_min_gap,ref_edge_components,def_n_components,def_largest_component_fraction,def_second_component_fraction,def_centroid_x,def_centroid_y,def_centroid_z,def_largest_centroid_x,def_largest_centroid_y,def_largest_centroid_z,def_total_component_volume,def_largest_component_volume,def_second_component_volume,def_min_pairwise_centroid_distance,def_mean_pairwise_centroid_distance,def_min_gap,def_edge_components
0,0.0,0.5,,scientific,0,4,0.003870967741935484,0.25000000003115835,0.2500000000311582,0.007804570421642356,0.0227754300805396,nan,-0.009659180067777119,0.4981020078334965,nan,0.0043061512127377955,0.0010765378033186215,0.0010765378033186206,0.5878570413974071,0.7382511411286349,0.5508342038205016,0,4,0.25000000003115835,0.2500000000311582,0.007804570421642356,0.0227754300805396,nan,-0.009659180067777119,0.4981020078334965,nan,0.0043061512127377955,0.0010765378033186215,0.0010765378033186206,0.5878570413974071,0.7382511411286349,0.5508342038205016,0,4,0.25000000003115835,0.2500000000311582,0.007804570421642356,0.0227754300805396,nan,-0.009659180067777119,0.4981020078334965,nan,0.0043061512127377955,0.0010765378033186215,0.0010765378033186206,0.5878570413974071,0.7382511411286349,0.5508342038205016,0
1,0.0005,0.5,,scientific,0,4,0.0032258064516129032,0.2508314364991714,0.2501943560968168,0.00724933421813193,0.021696461365167976,nan,-0.003971851199968619,-0.4044556461740054,nan,0.003708154946586323,0.0009301218320137555,0.0009277594391683911,0.5766037202001889,0.7242717082198813,0.5422123917312368,0,4,0.25000000003115835,0.2500000000311582,0.007804570421642356,0.0227754300805396,nan,-0.009659180067777119,0.4981020078334965,nan,0.0043061512127377955,0.0010765378033186215,0.0010765378033186206,0.5878570413974071,0.7382511411286349,0.5508342038205016,0,4,0.2508314364991714,0.2501943560968168,0.00724933421813193,0.021696461365167976,nan,-0.003971851199968619,-0.4044556461740054,nan,0.003708154946586323,0.0009301218320137555,0.0009277594391683911,0.5766037202001889,0.7242717082198813,0.5422123917312368,0
2,0.001,0.5,,scientific,0,4,0.008387096774193548,0.28537839012315186,0.28533521871102746,0.04330159991671769,0.04971081186314652,nan,-0.0019356677533020296,0.4720815919779289,nan,0.01295949202688133,0.0036983589714452165,0.0036977994918740006,0.5812303449269809,0.7180129979369506,0.521717925709484,0,4,0.285714285747285,0.28571428574728497,0.044628584665654183,0.0508408652046478,nan,0.48345112791603384,0.021944467299428283,nan,0.01507152924471997,0.004306151213274484,0.004306151213274483,0.5930035203531386,0.7315737154821701,0.5288780846302167,0,4,0.28537839012315186,0.28533521871102746,0.04330159991671769,0.04971081186314652,nan,-0.0019356677533020296,0.4720815919779289,nan,0.01295949202688133,0.0036983589714452165,0.0036977994918740006,0.5812303449269809,0.7180129979369506,0.521717925709484,0
3,0.0015,0.5,,scientific,0,4,0.012258064516129033,0.28097269174076783,0.28060589155468196,0.03196436677345236,0.04843622990569514,nan,0.4607568662033234,0.02815071830120502,nan,0.029670138558330443,0.00833649869505565,0.00832561568271126,0.5847633064022006,0.7149066782586105,0.49376239767763536,0,4,0.28125000006047063,0.2812500000604704,0.032761311508012696,0.04984445322472892,nan,-0.008235092207498775,0.4821724911824203,nan,0.034449209698789056,0.009688840229867587,0.009688840229867579,0.5969357904198151,0.7282934314410096,0.49898256937324703,0,4,0.28097269174076783,0.28060589155468196,0.03196436677345236,0.04843622990569514,nan,0.4607568662033234,0.02815071830120502,nan,0.029670138558330443,0.00833649869505565,0.00832561568271126,0.5847633064022006,0.7149066782586105,0.49376239767763536,0
4,0.002,0.5,,scientific,0,4,0.017419354838709676,0.27021143299484196,0.27019887864127223,0.027554806646293284,0.03873320673894391,nan,-0.0014491071684548812,0.4830176793709733,nan,0.044566254433292714,0.012042311473632753,0.012041751973117317,0.5752095361304196,0.7228953870806029,0.4610194861277965,0,4,0.2708333333954896,0.27083333339548954,0.02868781422909987,0.03999672066400767,nan,0.48345112791603384,0.02194446729942823,nan,0.05167381454743463,0.013994991443142065,0.01399499144314206,0.5870759286003556,0.7367604249826405,0.46428506769892797,0,4,0.27021143299484196,0.27019887864127223,0.027554806646293284,0.03873320673894391,nan,-0.0014491071684548812,0.4830176793709733,nan,0.044566254433292714,0.012042311473632753,0.012041751973117317,0.5752095361304196,0.7228953870806029,0.4610194861277965,0
5,0.0025,0.5,,scientific,0,4,0.02258064516129032,0.2853648678027336,0.2670694013618234,0.021817419678185943,0.05275459372748212,nan,-0.004128974211455397,0.4813774739733408,nan,0.051947479312454,0.014823985566683674,0.013873582202232795,0.5747293541160361,0.7195016162814202,0.4530937469295962,0,4,0.28571428577241437,0.26785714291163853,0.022886563028374315,0.0540582670825427,nan,-0.004282299533190499,0.49045392751806394,nan,0.06028611697357748,0.017224604853097916,0.0161480670497793,0.5868184065586365,0.7332820983066095,0.45594910122584287,0,4,0.2853648678027336,0.2670694013618234,0.021817419678185943,0.05275459372748212,nan,-0.004128974211455397,0.4813774739733408,nan,0.051947479312454,0.014823985566683674,0.013873582202232795,0.5747293541160361,0.7195016162814202,0.4530937469295962,0
6,0.003,0.5,,scientific,0,4,0.027096774193548386,0.278799912769823,0.2637612623668001,0.01888777260907901,0.04522763911433725,nan,-0.0042855088445100395,0.47532508922500405,nan,0.06318181903738967,0.017615085636262986,0.016664916347932622,0.5676003531417051,0.7126662835250746,0.43197389668825426,0,4,0.2794117647763285,0.2647058824196799,0.020029497465486767,0.04660763384952231,nan,-0.004456712736414446,0.48411595862788565,nan,0.07320457060720956,0.02045421826305377,0.019377680459735168,0.5796258617079575,0.7261884665023413,0.4338857698946058,0,4,0.278799912769823,0.2637612623668001,0.01888777260907901,0.04522763911433725,nan,-0.0042855088445100395,0.47532508922500405,nan,0.06318181903738967,0.017615085636262986,0.016664916347932622,0.5676003531417051,0.7126662835250746,0.43197389668825426,0
7,0.0035,0.5,,scientific,0,4,0.02903225806451613,0.2779172763523616,0.26465488192009645,0.0236461306810465,0.043545455184457085,nan,0.46781044295182034,0.025053693810037785,nan,0.07351608270028727,0.020431389472158806,0.01945639018627257,0.5584155058858301,0.7109823491825762,0.4121584793686059,0,4,0.2784810127186954,0.26582278486784533,0.02481454667137549,0.04514966310971957,nan,0.47632930845168076,0.025249003220437893,nan,0.08504648644370458,0.02368383167300965,0.022607293869691007,0.5704157625927554,0.724452733268747,0.4134018238664334,0,4,0.2779172763523616,0.26465488192009645,0.0236461306810465,0.043545455184457085,nan,0.46781044295182034,0.025053693810037785,nan,0.07351608270028727,0.020431389472158806,0.01945639018627257,0.5584155058858301,0.7109823491825762,0.4121584793686059,0
8,0.004,0.5,,scientific,0,4,0.031612903225806455,0.2966045102142133,0.2624518110192982,0.026824673040545883,0.05481308018696942,nan,-0.005020365148163323,0.4711104156999662,nan,0.08485663243464492,0.025168859901705382,0.02227077685947148,0.5642568492850678,0.7107186876758941,0.40991826607446014,0,4,0.2967032967952702,0.2637362638180181,0.02819618445639978,0.05620038360246472,nan,-0.005238671012817872,0.4797642309934186,nan,0.09796494007162672,0.02906652068960272,0.02583690727964688,0.576693479073739,0.7242119809442046,0.41112231602769655,0,4,0.2966045102142133,0.2624518110192982,0.026824673040545883,0.05481308018696942,nan,-0.005020365148163323,0.4711104156999662,nan,0.08485663243464492,0.025168859901705382,0.02227077685947148,0.5642568492850678,0.7107186876758941,0.40991826607446014,0
9,0.0045000000000000005,0.5,,scientific,0,4,0.036774193548387096,0.2794499815576769,0.270026897035074,0.02580580226390101,0.045769729991217416,nan,-0.0049687713528444345,0.47723529920845503,nan,0.10015313977610074,0.02798779306337479,0.027044041562060528,0.561254504163648,0.7111294142410998,0.3917696545814832,0,4,0.28037383193500226,0.2710280375371689,0.027118843165485476,0.04746187807992629,nan,-0.005237503675198588,0.4859729759490703,nan,0.11518954488964446,0.032296134099558574,0.031219596296239962,0.573962665831684,0.7247052047881716,0.3925885441372239,0,4,0.2794499815576769,0.270026897035074,0.02580580226390101,0.045769729991217416,nan,-0.0049687713528444345,0.47723529920845503,nan,0.10015313977610074,0.02798779306337479,0.027044041562060528,0.561254504163648,0.7111294142410998,0.3917696545814832,0
10,0.005000000000000001,0.5,,scientific,0,4,0.03935483870967742,0.27222706674253333,0.2635038525130462,0.01811675657455923,0.04137607608211675,nan,-0.0052637681596958375,0.478898319277552,nan,0.1096362364289989,0.029845951051757247,0.02888957067407239,0.5525080621671673,0.7098052483273564,0.3724958403462417,0,4,0.27350427364654106,0.26495726509508655,0.01965688564469715,0.043350242247772564,nan,-0.005593963391875405,0.4876270757534699,nan,0.12595492292276103,0.03444920970619582,0.03337267190287719,0.5653923234615771,0.7233983044951814,0.37301601637529563,0,4,0.27222706674253333,0.2635038525130462,0.01811675657455923,0.04137607608211675,nan,-0.0052637681596958375,0.478898319277552,nan,0.1096362364289989,0.029845951051757247,0.02888957067407239,0.5525080621671673,0.7098052483273564,0.3724958403462417,0
11,0.005500000000000001,0.5,,scientific,0,4,0.04387096774193548,0.27088748798414103,0.2706247775941381,0.02540768756586317,0.0442373603985805,nan,0.4749629098367425,0.021925314906458368,nan,0.12804601483170525,0.0346860633041407,0.034652424285645946,0.5520560144644547,0.7162292566435885,0.35875824823118807,0,4,0.2720588237353032,0.27205882373530305,0.02706199624781658,0.04617375041821334,nan,-0.004649538867770948,0.49503472264580667,nan,0.14640914114053125,0.03983189872278892,0.039831898722788896,0.5652958123216754,0.729925429621153,0.35918819801371593,0,4,0.27088748798414103,0.2706247775941381,0.02540768756586317,0.0442373603985805,nan,0.4749629098367425,0.021925314906458368,nan,0.12804601483170525,0.0346860633041407,0.034652424285645946,0.5520560144644547,0.7162292566435885,0.35875824823118807,0
12,0.006000000000000002,0.5,,scientific,0,4,0.04903225806451613,0.27634289347898255,0.2692578584955271,0.0227646215940421,0.04798816512660477,nan,-0.006873172623202948,0.4841426137326013,nan,0.13563551758617826,0.037481911388283926,0.03652092900118676,0.5536437415649517,0.7155790138847333,0.35561750796892144,0,4,0.2777777780429341,0.2708333335918606,0.024658199781045786,0.050073415249706904,nan,-0.007316175992804909,0.4928922909594282,nan,0.1550214435299035,0.04306151213274477,0.04198497432942614,0.5674515952484385,0.729368047868651,0.35644518515407253,0,4,0.27634289347898255,0.2692578584955271,0.0227646215940421,0.04798816512660477,nan,-0.006873172623202948,0.4841426137326013,nan,0.13563551758617826,0.037481911388283926,0.03652092900118676,0.5536437415649517,0.7155790138847333,0.35561750796892144,0
