step,time,threshold,roi_max_r,analysis_mode,mesh_index,n_components,lumen_node_fraction,largest_component_fraction,second_component_fraction,centroid_x,centroid_y,centroid_z,largest_centroid_x,largest_centroid_y,largest_centroid_z,total_component_volume,largest_component_volume,second_component_volume,min_pairwise_centroid_distance,mean_pairwise_centroid_distance,min_gap,edge_components,ref_n_components,ref_largest_component_fraction,ref_second_component_fraction,ref_centroid_x,ref_centroid_y,ref_centroid_z,ref_largest_centroid_x,ref_largest_centroid_y,ref_largest_centroid_z,ref_total_component_volume,ref_largest_component_volume,ref_second_component_volume,ref_min_pairwise_centroid_distance,ref_mean_pairwise_centroid_distance,ref_min_gap,ref_edge_components,def_n_components,def_largest_component_fraction,def_second_component_fraction,def_centroid_x,def_centroid_y,def_centroid_z,def_largest_centroid_x,def_largest_centroid_y,def_largest_centroid_z,def_total_component_volume,def_largest_component_volume,def_second_component_volume,def_min_pairwise_centroid_distance,def_mean_pairwise_centroid_distance,def_min_gap,def_edge_components
0,0.0,0.5,,scientific,0,4,0.003870967741935484,0.25000000003115835,0.2500000000311582,0.007804570421642356,0.0227754300805396,nan,-0.009659180067777119,0.4981020078334965,nan,0.0043061512127377955,0.0010765378033186215,0.0010765378033186206,0.5878570413974071,0.7382511411286349,0.5508342038205016,0,4,0.25000000003115835,0.2500000000311582,0.007804570421642356,0.0227754300805396,nan,-0.009659180067777119,0.4981020078334965,nan,0.0043061512127377955,0.0010765378033186215,0.0010765378033186206,0.5878570413974071,0.7382511411286349,0.5508342038205016,0,4,0.25000000003115835,0.2500000000311582,0.007804570421642356,0.0227754300805396,nan,-0.009659180067777119,0.4981020078334965,nan,0.0043061512127377955,0.0010765378033186215,0.0010765378033186206,0.5878570413974071,0.7382511411286349,0.5508342038205016,0
1,0.0005,0.5,,scientific,0,1,0.0025806451612903226,1.0,0.0,0.4744183554554204,0.02188522371919567,nan,0.4744183554554204,0.02188522371919567,nan,0.0009256290369716487,0.0009256290369716487,0.0,0.0,0.0,nan,0,1,1.0,0.0,0.48345112791603384,0.021944467299428273,nan,0.48345112791603384,0.021944467299428273,nan,0.0010765378033186206,0.0010765378033186206,0.0,0.0,0.0,nan,0,1,1.0,0.0,0.4744183554554204,0.02188522371919567,nan,0.4744183554554204,0.02188522371919567,nan,0.0009256290369716487,0.0009256290369716487,0.0,0.0,0.0,nan,0
2,0.001,0.5,,scientific,0,4,0.007741935483870968,0.29968830023601983,0.299652298176992,0.04771376573445723,0.06811401236703281,nan,0.4664053610699196,0.025635404366904126,nan,0.009250829623791805,0.002772365405727185,0.002772032356813013,0.5840489348793337,0.7208374307784678,0.535473346417906,0,4,0.3000000000223596,0.30000000002235916,0.048656519333181714,0.06978100491515503,nan,-0.00880472735161015,0.4885442978428508,nan,0.010765378032383862,0.003229613409955868,0.003229613409955863,0.5957339943122223,0.7342917877722162,0.5433757952917786,0,4,0.29968830023601983,0.299652298176992,0.04771376573445723,0.06811401236703281,nan,0.4664053610699196,0.025635404366904126,nan,0.009250829623791805,0.002772365405727185,0.002772032356813013,0.5840489348793337,0.7208374307784678,0.535473346417906,0
3,0.0015,0.5,,scientific,0,4,0.01096774193548387,0.33329595451352945,0.2854117327909017,0.04655754315134825,0.08399679917059642,nan,-0.007507132751827715,0.4694804681378139,nan,0.01941743934624433,0.006471753981115067,0.005541965010173827,0.5765310360919839,0.7117656389756145,0.5078771597240088,0,4,0.33333333336319165,0.2857142857398781,0.04748926757457811,0.08550409927342667,nan,-0.007828209961704958,0.4776212007106843,nan,0.022607293867665985,0.0075357646232303436,0.006459226819911713,0.5878570413919821,0.7245301885858512,0.5138113662376479,0,4,0.33329595451352945,0.2854117327909017,0.04655754315134825,0.08399679917059642,nan,-0.007507132751827715,0.4694804681378139,nan,0.01941743934624433,0.006471753981115067,0.005541965010173827,0.5765310360919839,0.7117656389756145,0.5078771597240088,0
4,0.002,0.5,,scientific,0,4,0.012258064516129033,0.2998070661457066,0.29943294301252893,0.0487199838284638,0.06591368239971464,nan,0.4611633976956258,0.02819223017838017,nan,0.027736034638077417,0.008315459171357686,0.008305082479176964,0.5710726177436893,0.7116291152607549,0.48695161809718707,0,4,0.30000000004911154,0.30000000004911126,0.049697854483276974,0.06746557524179037,nan,-0.008235092207498775,0.4821724911824203,nan,0.03229613409427158,0.009688840229867587,0.009688840229867579,0.5821908171728374,0.724263911380903,0.49150375628673454,0,4,0.2998070661457066,0.29943294301252893,0.0487199838284638,0.06591368239971464,nan,0.4611633976956258,0.02819223017838017,nan,0.027736034638077417,0.008315459171357686,0.008305082479176964,0.5710726177436893,0.7116291152607549,0.48695161809718707,0
5,0.0025,0.5,,scientific,0,4,0.014193548387096775,0.28138217015007816,0.2551564905075825,0.029957027113255087,0.032853676044795596,nan,0.4705595602067281,0.023977193379176004,nan,0.0360986337518479,0.01015751190454782,0.009210800700240076,0.5657555051251818,0.7153683350659864,0.46255253696009185,0,4,0.2820512821028774,0.25641025645716126,0.031145067467844935,0.034496152014870794,nan,0.4787032482731318,0.02414749124676797,nan,0.04198497432174592,0.011841915836504823,0.010765378033186203,0.5767350579961288,0.7280602903409865,0.46566654527358026,0,4,0.28138217015007816,0.2551564905075825,0.029957027113255087,0.032853676044795596,nan,0.4705595602067281,0.023977193379176004,nan,0.0360986337518479,0.01015751190454782,0.009210800700240076,0.5657555051251818,0.7153683350659864,0.46255253696009185,0
6,0.003,0.5,,scientific,0,4,0.016774193548387096,0.28830405273036624,0.2882814092093334,0.049682369813591566,0.054203375621544696,nan,0.4751989870693648,0.02192534499551811,nan,0.04167990067521435,0.012016484282063426,0.012015540502355837,0.5648051250276735,0.7169823891618811,0.4588489478291397,0,4,0.2888888889371106,0.2888888889371105,0.051013345941665005,0.05586169401144702,nan,0.48345112791603384,0.02194446729942823,nan,0.048444201141251544,0.013994991443142065,0.01399499144314206,0.5758334430976557,0.7296348200550868,0.4617609406473203,0,4,0.28830405273036624,0.2882814092093334,0.049682369813591566,0.054203375621544696,nan,0.4751989870693648,0.02192534499551811,nan,0.04167990067521435,0.012016484282063426,0.012015540502355837,0.5648051250276735,0.7169823891618811,0.4588489478291397,0
7,0.0035,0.5,,scientific,0,4,0.01870967741935484,0.2878275253046322,0.2877830618896224,0.04936741648211957,0.04888861372374015,nan,0.4686276576011954,0.02502074169523668,nan,0.04823748610524193,0.013884076252588366,0.013881931449224639,0.5708875789503899,0.7168723920248584,0.4568512835106202,0,4,0.28846153852474055,0.2884615385247405,0.05057286931502226,0.05049885930387384,nan,0.47648757110644424,0.025175569088859887,nan,0.055979965760303,0.0161480670497793,0.016148067049779297,0.5823149603424804,0.729431869700414,0.4596512785413181,0,4,0.2878275253046322,0.2877830618896224,0.04936741648211957,0.04888861372374015,nan,0.4686276576011954,0.02502074169523668,nan,0.04823748610524193,0.013884076252588366,0.013881931449224639,0.5708875789503899,0.7168723920248584,0.4568512835106202,0
8,0.004,0.5,,scientific,0,4,0.02193548387096774,0.2923734910137125,0.274864570659986,0.030421984634723193,0.05658041262364796,nan,-0.00397928331420589,0.4778874015802887,nan,0.05386708010491768,0.01574930626099008,0.014806151845745272,0.5665736673425952,0.7142128419972228,0.4447767459437906,0,4,0.2931034483334377,0.2758620690197062,0.03183786693775161,0.05806196356569204,nan,-0.004146229303136576,0.48584385048274764,nan,0.06243919258021472,0.01830114265641653,0.017224604853097923,0.5779309715961142,0.7265632535112446,0.44706166626332056,0,4,0.2923734910137125,0.274864570659986,0.030421984634723193,0.05658041262364796,nan,-0.00397928331420589,0.4778874015802887,nan,0.05386708010491768,0.01574930626099008,0.014806151845745272,0.5665736673425952,0.7142128419972228,0.4447767459437906,0
9,0.0045000000000000005,0.5,,scientific,0,4,0.023870967741935485,0.29623973683098753,0.28024169585837516,0.03602215169550663,0.06113628488637431,nan,-0.004261859535019675,0.47633472121925446,nan,0.059528671727399236,0.017634758046422998,0.016682415917082874,0.5627489245679435,0.7105914591851098,0.4360819602629537,0,4,0.29687500005454154,0.28125000005167117,0.03747978862119921,0.06268523560586847,nan,-0.004456712736414446,0.48411595862788565,nan,0.0688984193997337,0.02045421826305377,0.019377680459735168,0.5741280839047777,0.7226772216106433,0.43812082744517633,0,4,0.29623973683098753,0.28024169585837516,0.03602215169550663,0.06113628488637431,nan,-0.004261859535019675,0.47633472121925446,nan,0.059528671727399236,0.017634758046422998,0.016682415917082874,0.5627489245679435,0.7105914591851098,0.4360819602629537,0
10,0.005000000000000001,0.5,,scientific,0,4,0.025806451612903226,0.28051833277691546,0.2661287335733348,0.02223410596629254,0.04377330103894378,nan,-0.007907351921574721,0.47471710871586736,nan,0.06616636209354446,0.018560877580394788,0.01760877014910969,0.5510442222429737,0.706785522136894,0.41285413290657325,0,4,0.28169014089203803,0.2676056338474363,0.02374595499018735,0.04557199236949379,nan,-0.008249333086101587,0.4823317863489309,nan,0.07643418402287774,0.021530756066372392,0.020454218263053787,0.5621425284309253,0.7186460734666773,0.41405117813223896,0,4,0.28051833277691546,0.2661287335733348,0.02223410596629254,0.04377330103894378,nan,-0.007907351921574721,0.47471710871586736,nan,0.06616636209354446,0.018560877580394788,0.01760877014910969,0.5510442222429737,0.706785522136894,0.41285413290657325,0
11,0.005500000000000001,0.5,,scientific,0,4,0.026451612903225806,0.2785871916868873,0.26506379096425015,0.017191444535834658,0.049346625044020445,nan,-0.005312252541468559,0.4718010956046598,nan,0.0699336549274547,0.01948262053063945,0.018536879691056853,0.5533738841055562,0.7043011510245197,0.41089956346698364,0,4,0.28000000004419584,0.2666666667087582,0.01893547588654468,0.05132404420128932,nan,-0.005585354734327843,0.47919801006892876,nan,0.08074033523615223,0.02260729386969101,0.021530756066372413,0.5647776547971765,0.7159474707780169,0.4121946811235473,0,4,0.2785871916868873,0.26506379096425015,0.017191444535834658,0.049346625044020445,nan,-0.005312252541468559,0.4718010956046598,nan,0.0699336549274547,0.01948262053063945,0.018536879691056853,0.5533738841055562,0.7043011510245197,0.41089956346698364,0
12,0.006000000000000002,0.5,,scientific,0,4,0.02838709677419355,0.2954698937048968,0.26991093980078634,0.028833954919549893,0.05627111198370235,nan,-0.006756408570134249,0.4624118970800723,nan,0.0756545560865569,0.02235364364518612,0.020419992333533872,0.5516602257375595,0.7019040127380358,0.40699389239633776,0,4,0.29629629633973653,0.27160493831142535,0.030612805547098235,0.057998584204511344,nan,-0.007095821919276088,0.46942887786155924,nan,0.0871995620560238,0.025836907279646874,0.02368383167300965,0.5632684664027744,0.7133687955106721,0.4084066329371041,0,4,0.2954698937048968,0.26991093980078634,0.028833954919549893,0.05627111198370235,nan,-0.006756408570134249,0.4624118970800723,nan,0.0756545560865569,0.02235364364518612,0.020419992333533872,0.5516602257375595,0.7019040127380358,0.40699389239633776,0
13,0.006500000000000002,0.5,,scientific,0,4,0.032903225806451615,0.2857939530572473,0.2750632074160559,0.03483870050403925,0.05021793750353952,nan,-0.0049255207616277635,0.47264055248262193,nan,0.08819234787963397,0.025204839729920533,0.024258470077324713,0.5350767733316362,0.7006532330686257,0.37806875139530793,0,4,0.2872340426061166,0.276595744731816,0.036576487880198474,0.05240508505628978,nan,-0.005238671012817872,0.4797642309934186,nan,0.10119455349330432,0.02906652068960272,0.027989982886284098,0.5465618296157075,0.7119819438991689,0.37894627026879324,0,4,0.2857939530572473,0.2750632074160559,0.03483870050403925,0.05021793750353952,nan,-0.0049255207616277635,0.47264055248262193,nan,0.08819234787963397,0.025204839729920533,0.024258470077324713,0.5350767733316362,0.7006532330686257,0.37806875139530793,0
14,0.007000000000000003,0.5,,scientific,0,4,0.035483870967741936,0.28434182051953466,0.2733100200824031,0.035839553250786325,0.04397017990282466,nan,0.46179856712483763,0.02882860211228163,nan,0.09201406436892852,0.02616344657606278,0.02514836578053539,0.5297069386832163,0.6986682190652224,0.3687476851972367,0,4,0.2857142857647555,0.2755102041303,0.03760739963898542,0.046526659221036194,nan,0.4685292204669132,0.028868256848210292,nan,0.10550070470658858,0.030143058492921333,0.02906652068960272,0.5414066073110386,0.7098914413492325,0.3697503790826424,0,4,0.28434182051953466,0.2733100200824031,0.035839553250786325,0.04397017990282466,nan,0.46179856712483763,0.02882860211228163,nan,0.09201406436892852,0.02616344657606278,0.02514836578053539,0.5297069386832163,0.6986682190652224,0.3687476851972367,0
15,0.007500000000000003,0.5,,scientific,0,4,0.036774193548387096,0.2841445450146871,0.2737703471792311,0.03793199498179046,0.040786488509793495,nan,0.464129418503476,0.024332367261037234,nan,0.0987866653047812,0.02806969206654523,0.02704485965716845,0.5241731892732734,0.7008759965221798,0.3574761616679697,0,4,0.2857142857817622,0.2761904762557035,0.039799592273892744,0.043527658462040576,nan,0.4707362399845202,0.02417969915835423,nan,0.11303646932175948,0.03229613409955859,0.031219596296239965,0.5361252575748774,0.712052816572465,0.358611946284196,0,4,0.2841445450146871,0.2737703471792311,0.03793199498179046,0.040786488509793495,nan,0.464129418503476,0.024332367261037234,nan,0.0987866653047812,0.02806969206654523,0.02704485965716845,0.5241731892732734,0.7008759965221798,0.3574761616679697,0
16,0.008000000000000004,0.5,,scientific,0,4,0.03806451612903226,0.2744915578538971,0.2741531448224993,0.02437508377455496,0.04712169938712147,nan,0.4660304433963049,0.02718124946372214,nan,0.10561409013419966,0.02899017613225837,0.028954434947857734,0.5201084125482872,0.7020264618295302,0.3459395935181545,0,4,0.27678571434699667,0.2767857143469966,0.02682302403655982,0.05002322890348344,nan,-0.008584223424857327,0.48607779203881313,nan,0.12057223394498978,0.033372671902877196,0.03337267190287719,0.5325339090983999,0.7131294944195267,0.3474567626022175,0,4,0.2744915578538971,0.2741531448224993,0.02437508377455496,0.04712169938712147,nan,0.4660304433963049,0.02718124946372214,nan,0.10561409013419966,0.02899017613225837,0.028954434947857734,0.5201084125482872,0.7020264618295302,0.3459395935181545,0
17,0.008500000000000004,0.5,,scientific,0,4,0.04129032258064516,0.2744142806323159,0.2660191795335574,0.019528275489966114,0.04473279250790857,nan,-0.002001866886442361,0.47990367741797524,nan,0.11248614224299057,0.030867803804714614,0.029923471268375385,0.5091344086267433,0.6998296419381861,0.3277555135474366,0,4,0.2773109244275749,0.26890756308128483,0.022387121846160988,0.04788098810847829,nan,-0.0025518986807256602,0.48647581530615336,nan,0.1281079985682016,0.03552574750951443,0.03444920970619582,0.5219284338124716,0.7108057508761304,0.3295851271485053,0,4,0.2744142806323159,0.2660191795335574,0.019528275489966114,0.04473279250790857,nan,-0.002001866886442361,0.47990367741797524,nan,0.11248614224299057,0.030867803804714614,0.029923471268375385,0.5091344086267433,0.6998296419381861,0.3277555135474366,0
18,0.009000000000000005,0.5,,scientific,0,4,0.044516129032258066,0.27412974861796946,0.26566524035482453,0.02505952939766591,0.039082469711428855,nan,0.4746127096110142,0.021379100514711053,nan,0.12341453851206247,0.033831596418114396,0.03278695303708682,0.4935564992345769,0.6990008105570653,0.30341208488124516,0,4,0.27692307697593715,0.26923076928216116,0.027982855905256183,0.04258770643735001,nan,0.48076325909108,0.020901332214029907,nan,0.13994991440470625,0.03875536091947029,0.03767882311615167,0.5068463345262221,0.7098408414337037,0.30576807713550225,0,4,0.27412974861796946,0.26566524035482453,0.02505952939766591,0.039082469711428855,nan,0.4746127096110142,0.021379100514711053,nan,0.12341453851206247,0.033831596418114396,0.03278695303708682,0.4935564992345769,0.6990008105570653,0.30341208488124516,0
19,0.009500000000000005,0.5,,scientific,0,4,0.04838709677419355,0.27333557609987064,0.2730547394301568,0.02808736405351021,0.04599909474793104,nan,0.4748381153013063,0.023773068289115736,nan,0.1343602505453051,0.036725436487723924,0.03668770320241886,0.48101441816085055,0.6973252832996778,0.2840429076797304,0,4,0.27659574472956117,0.2765957447295611,0.03131702342716165,0.0496801037657076,nan,-0.005181653522770132,0.4910914514215535,nan,0.1517918302411939,0.04198497432942615,0.04198497432942614,0.4948794117408388,0.7079965532719149,0.28709579588285916,0,4,0.27333557609987064,0.2730547394301568,0.02808736405351021,0.04599909474793104,nan,0.4748381153013063,0.023773068289115736,nan,0.1343602505453051,0.036725436487723924,0.03668770320241886,0.48101441816085055,0.6973252832996778,0.2840429076797304,0
20,0.010000000000000005,0.5,,scientific,0,4,0.05419354838709677,0.263989265566965,0.25722835146542555,0.01379631015374079,0.03667672978020059,nan,-0.006289181807796378,0.4869656191513522,nan,0.14247337578932973,0.037611441837471365,0.03664819158200336,0.4585955979720219,0.6931758959929324,0.2502276874360523,0,4,0.268456375883703,0.2617449664866104,0.01792211334079297,0.041137692032563566,nan,-0.007316175992804909,0.4928922909594282,nan,0.16040413266771986,0.04306151213274477,0.04198497432942614,0.4730696463668444,0.7036540487657894,0.254061941187478,0,4,0.263989265566965,0.25722835146542555,0.01379631015374079,0.03667672978020059,nan,-0.006289181807796378,0.4869656191513522,nan,0.14247337578932973,0.037611441837471365,0.03664819158200336,0.4585955979720219,0.6931758959929324,0.2502276874360523,0
21,0.010500000000000006,0.5,,scientific,0,4,0.05935483870967742,0.267005323025904,0.2490085467711698,-0.002458274470042465,0.025505991947325526,nan,-0.3762105415142447,-0.0582536132464112,nan,0.15471462933357788,0.04130962958204497,0.038525265014594426,0.4331550274816147,0.6853757416392156,0.20950223982722904,0,4,0.26086956525766386,0.25465838513248124,0.0025755168729709073,0.030835030153765403,nan,-0.3839137619864325,-0.055253283898645915,nan,0.1733225863075406,0.04521458773938204,0.04413804993606339,0.44821406044034323,0.6955893414112349,0.21413430612652928,0,4,0.267005323025904,0.2490085467711698,-0.002458274470042465,0.025505991947325526,nan,-0.3762105415142447,-0.0582536132464112,nan,0.15471462933357788,0.04130962958204497,0.038525265014594426,0.4331550274816147,0.6853757416392156,0.20950223982722904,0
22,0.011000000000000006,0.5,,scientific,0,3,0.06709677419354838,0.5470877941698764,0.23212962271403045,-0.018358349242833662,0.005362971133930378,nan,-0.2250836726721204,-0.20578506944190264,nan,0.17429087655156536,0.09535241119653012,0.040458075416412526,0.6625221053904129,0.7087191706505808,0.43677524235046594,0,3,0.5333333332688953,0.238888888921875,-0.012338415074727906,0.011661700109662502,nan,-0.22737294889301918,-0.20764036614637696,nan,0.19377680457059443,0.10334762909183044,0.04629112554270061,0.671815619757196,0.7166132479627874,0.428839973904014,0,3,0.5470877941698764,0.23212962271403045,-0.018358349242833662,0.005362971133930378,nan,-0.2250836726721204,-0.20578506944190264,nan,0.17429087655156536,0.09535241119653012,0.040458075416412526,0.6625221053904129,0.7087191706505808,0.43677524235046594,0
23,0.011500000000000007,0.5,,scientific,0,3,0.07225806451612904,0.5657170011468737,0.22487943594775625,-0.02860294157807964,-0.0030728334828237372,nan,-0.22593170728024908,-0.2068269820405918,nan,0.19297597330225588,0.10916978890995137,0.04339632802768057,0.6571424262486192,0.7065661029415864,0.4190841051654385,0,3,0.5505050504485789,0.23232323235241994,-0.02197961466898494,0.0038369584782697763,nan,-0.22802572070339017,-0.20844586323446154,nan,0.21315448503030726,0.11734262053495015,0.04952073895265649,0.6663283430713051,0.7139909823953882,0.41067015777727434,0,3,0.5657170011468737,0.22487943594775625,-0.02860294157807964,-0.0030728334828237372,nan,-0.22593170728024908,-0.2068269820405918,nan,0.19297597330225588,0.10916978890995137,0.04339632802768057,0.6571424262486192,0.7065661029415864,0.4190841051654385,0
24,0.012000000000000007,0.5,,scientific,0,3,0.07483870967741936,0.575788925161209,0.2166728038794084,-0.03367021426592105,-0.007486647764832296,nan,-0.22703084680960753,-0.2051946505519317,nan,0.21378585952689722,0.12309553027165737,0.04632158161346216,0.6523019740612231,0.7034636250122591,0.4005289102203614,0,3,0.5596330274726689,0.22477064222749202,-0.026773765201096672,-0.00013645820736666618,nan,-0.22896353228797708,-0.20663012379973902,nan,0.2346852410966701,0.1313376119780827,0.05275035236261234,0.6614221408312873,0.710466182122366,0.3917242532087041,0,3,0.575788925161209,0.2166728038794084,-0.03367021426592105,-0.007486647764832296,nan,-0.22703084680960753,-0.2051946505519317,nan,0.21378585952689722,0.12309553027165737,0.04632158161346216,0.6523019740612231,0.7034636250122591,0.4005289102203614,0
25,0.012500000000000008,0.5,,scientific,0,3,0.07806451612903226,0.5830866391219864,0.21058855364917925,-0.03743456511087585,-0.011374999188652259,nan,-0.23062312673517707,-0.20329938753217422,nan,0.22442388306470504,0.13085856771490456,0.04726110093892877,0.6585960044862671,0.7071948170011021,0.3912876676902006,0,3,0.5657894736368203,0.2192982456379696,-0.030021830259801267,-0.003550587926099867,nan,-0.23246266625582349,-0.20449309913789418,nan,0.24545061912985633,0.13887337660131308,0.05382689016593095,0.6676273901251618,0.7137849965485931,0.38214484487622413,0,3,0.5830866391219864,0.21058855364917925,-0.03743456511087585,-0.011374999188652259,nan,-0.23062312673517707,-0.20329938753217422,nan,0.22442388306470504,0.13085856771490456,0.04726110093892877,0.6585960044862671,0.7071948170011021,0.3912876676902006,0
26,0.013000000000000008,0.5,,scientific,0,3,0.08193548387096775,0.5918083666706457,0.20838098755847426,-0.035421916955053485,-0.017921913675206208,nan,-0.22653361945501313,-0.20234575483357126,nan,0.2412080058321975,0.1427489159594364,0.050263162462323534,0.6599179429255612,0.7060920742150216,0.38120591196641396,0,3,0.5737704917524123,0.21721311478002048,-0.02774820667150527,-0.009838290317623162,nan,-0.22817450798786548,-0.20342399142851536,nan,0.2626752239783954,0.15071529243325898,0.057056503575886784,0.6688564852665818,0.7122896402340099,0.3717285651851303,0,3,0.5918083666706457,0.20838098755847426,-0.035421916955053485,-0.017921913675206208,nan,-0.22653361945501313,-0.20234575483357126,nan,0.2412080058321975,0.1427489159594364,0.050263162462323534,0.6599179429255612,0.7060920742150216,0.38120591196641396,0
27,0.013500000000000009,0.5,,scientific,0,3,0.08451612903225807,0.5880624229695217,0.21202949586263187,-0.03388475018156096,-0.01819229655676171,nan,-0.2292320892063508,-0.20537518244643044,nan,0.25588938164530567,0.15047892978251112,0.05425609658685476,0.671516144069012,0.7152892209337315,0.38023408305218903,0,3,0.5697674418119072,0.22093023258307473,-0.02604500522239358,-0.00988114972814584,nan,-0.2307040377598932,-0.20627001432934236,nan,0.2777467532248561,0.15825105705648934,0.061362654789161315,0.6803349598278349,0.7210764782360742,0.37039234084598405,0,3,0.5880624229695217,0.21202949586263187,-0.03388475018156096,-0.01819229655676171,nan,-0.2292320892063508,-0.20537518244643044,nan,0.25588938164530567,0.15047892978251112,0.05425609658685476,0.671516144069012,0.7152892209337315,0.38023408305218903,0
28,0.014000000000000009,0.5,,scientific,0,3,0.08709677419354839,0.593487500327498,0.20719029776512185,-0.038292109643653954,-0.019573646498469342,nan,-0.22993321809376166,-0.20608946292913857,nan,0.2664663020201682,0.15814441950746175,0.055209232459929536,0.6732184088228759,0.7169012314439523,0.37660731669170167,0,3,0.5746268656254182,0.21641791047127854,-0.030178686912194976,-0.01097843856620253,nan,-0.23123512764282134,-0.2068224345048113,nan,0.28851213125803843,0.16578682167971587,0.062439192592479924,0.6819900672748717,0.7223515064491863,0.36640996342263776,0,3,0.593487500327498,0.20719029776512185,-0.038292109643653954,-0.019573646498469342,nan,-0.22993321809376166,-0.20608946292913857,nan,0.2664663020201682,0.15814441950746175,0.055209232459929536,0.6732184088228759,0.7169012314439523,0.37660731669170167,0
29,0.01450000000000001,0.5,,scientific,0,3,0.09096774193548388,0.5959548349236077,0.20210693372583355,-0.04004881221096452,-0.018007654771591032,nan,-0.2277869162875874,-0.20626850316262932,nan,0.27285925601793504,0.16261179287754687,0.055146747572497046,0.6767997753216131,0.7188812963824995,0.37515619767813724,0,3,0.576642335721412,0.21167883213929406,-0.03172018526547315,-0.009238417126918525,nan,-0.22893204901065606,-0.2069241889635709,nan,0.2949713580779403,0.17009297289298048,0.062439192592479924,0.685480692103973,0.7240211400884689,0.3646739881773928,0,3,0.5959548349236077,0.20210693372583355,-0.04004881221096452,-0.018007654771591032,nan,-0.2277869162875874,-0.20626850316262932,nan,0.27285925601793504,0.16261179287754687,0.055146747572497046,0.6767997753216131,0.7188812963824995,0.37515619767813724,0
30,0.01500000000000001,0.5,,scientific,0,3,0.09290322580645162,0.6114126244581176,0.19437146724663174,-0.04405033401918195,-0.02860495328159385,nan,-0.22267961680227957,-0.21192671757708353,nan,0.28342665342050133,0.17329063400921002,0.05509005448214542,0.6768156842120404,0.71929560299461,0.37196241494352467,0,3,0.5915492956788937,0.2042253521605532,-0.03547414966830118,-0.019562201902676882,nan,-0.22353923508046192,-0.21260929113644464,nan,0.30573673607081314,0.18085835088585334,0.062439192592479924,0.685480692103973,0.7241866719838815,0.36128204400274166,0,3,0.6114126244581176,0.19437146724663174,-0.04405033401918195,-0.02860495328159385,nan,-0.22267961680227957,-0.21192671757708353,nan,0.28342665342050133,0.17329063400921002,0.05509005448214542,0.6768156842120404,0.71929560299461,0.37196241494352467,0
31,0.01550000000000001,0.5,,scientific,0,3,0.0967741935483871,0.6087627042059724,0.19570359408905905,-0.041494646265923044,-0.02736415176153954,nan,-0.22273512045668659,-0.21222135574428044,nan,0.2918181069933394,0.17764797994953307,0.057109852358862095,0.6770615809765129,0.7212015711221026,0.370004624721507,0,3,0.5890410957967079,0.20547945210164617,-0.03291901383810034,-0.01837882225231592,nan,-0.2234719503935752,-0.21281932297097084,nan,0.3143490384973618,0.18516450209912752,0.06459226819911718,0.6856707412394227,0.7258356008085703,0.35903804770433634,0,3,0.6087627042059724,0.19570359408905905,-0.041494646265923044,-0.02736415176153954,nan,-0.22273512045668659,-0.21222135574428044,nan,0.2918181069933394,0.17764797994953307,0.057109852358862095,0.6770615809765129,0.7212015711221026,0.370004624721507,0
32,0.01600000000000001,0.5,,scientific,0,3,0.09870967741935484,0.609652238850395,0.1969263192904784,-0.040271225594354934,-0.026788285646164336,nan,-0.2205983950168276,-0.21104865933874517,nan,0.30017289100903044,0.183001075045851,0.0591119425771903,0.6761187387273265,0.7200108515076442,0.36393496303291545,0,3,0.589999999909008,0.2066666667125327,-0.031781784427974344,-0.01785483812435132,nan,-0.2212596887996521,-0.21161237944249933,nan,0.3229613409239104,0.19054719111572022,0.06674534380575443,0.6846938516548062,0.7244797381688403,0.35283059880598033,0,3,0.609652238850395,0.1969263192904784,-0.040271225594354934,-0.026788285646164336,nan,-0.2205983950168276,-0.21104865933874517,nan,0.30017289100903044,0.183001075045851,0.0591119425771903,0.6761187387273265,0.7200108515076442,0.36393496303291545,0
33,0.01650000000000001,0.5,,scientific,0,3,0.10258064516129033,0.6090625762104481,0.1987949346285836,-0.039709514679943145,-0.027290182769637367,nan,-0.2242367678882934,-0.21078187352019873,nan,0.31270300607291973,0.1904556984675239,0.06216377365042766,0.6760812534991097,0.7230002256191358,0.3574697528240004,0,3,0.5897435896149779,0.20833333339864413,-0.03126820452104894,-0.01846663681101321,nan,-0.22484616499671706,-0.21117779263447,nan,0.3358797945301141,0.1980829557053307,0.06997495721571034,0.6846267792610157,0.7272364314839814,0.34604933191755255,0,3,0.6090625762104481,0.1987949346285836,-0.039709514679943145,-0.027290182769637367,nan,-0.2242367678882934,-0.21078187352019873,nan,0.31270300607291973,0.1904556984675239,0.06216377365042766,0.6760812534991097,0.7230002256191358,0.3574697528240004,0
