step,time,threshold,roi_max_r,analysis_mode,mesh_index,n_components,lumen_node_fraction,largest_component_fraction,second_component_fraction,centroid_x,centroid_y,centroid_z,largest_centroid_x,largest_centroid_y,largest_centroid_z,total_component_volume,largest_component_volume,second_component_volume,min_pairwise_centroid_distance,mean_pairwise_centroid_distance,min_gap,edge_components,ref_n_components,ref_largest_component_fraction,ref_second_component_fraction,ref_centroid_x,ref_centroid_y,ref_centroid_z,ref_largest_centroid_x,ref_largest_centroid_y,ref_largest_centroid_z,ref_total_component_volume,ref_largest_component_volume,ref_second_component_volume,ref_min_pairwise_centroid_distance,ref_mean_pairwise_centroid_distance,ref_min_gap,ref_edge_components,def_n_components,def_largest_component_fraction,def_second_component_fraction,def_centroid_x,def_centroid_y,def_centroid_z,def_largest_centroid_x,def_largest_centroid_y,def_largest_centroid_z,def_total_component_volume,def_largest_component_volume,def_second_component_volume,def_min_pairwise_centroid_distance,def_mean_pairwise_centroid_distance,def_min_gap,def_edge_components
0,0.0,0.5,,scientific,0,4,0.003870967741935484,0.25000000003115835,0.2500000000311582,0.007804570421642356,0.0227754300805396,nan,-0.009659180067777119,0.4981020078334965,nan,0.0043061512127377955,0.0010765378033186215,0.0010765378033186206,0.5878570413974071,0.7382511411286349,0.5508342038205016,0,4,0.25000000003115835,0.2500000000311582,0.007804570421642356,0.0227754300805396,nan,-0.009659180067777119,0.4981020078334965,nan,0.0043061512127377955,0.0010765378033186215,0.0010765378033186206,0.5878570413974071,0.7382511411286349,0.5508342038205016,0,4,0.25000000003115835,0.2500000000311582,0.007804570421642356,0.0227754300805396,nan,-0.009659180067777119,0.4981020078334965,nan,0.0043061512127377955,0.0010765378033186215,0.0010765378033186206,0.5878570413974071,0.7382511411286349,0.5508342038205016,0
1,0.0005,0.5,,scientific,0,0,0.0012903225806451613,0.0,0.0,nan,nan,nan,nan,nan,nan,0.0,0.0,0.0,0.0,0.0,nan,0,0,0.0,0.0,nan,nan,nan,nan,nan,nan,0.0,0.0,0.0,0.0,0.0,nan,0,0,0.0,0.0,nan,nan,nan,nan,nan,nan,0.0,0.0,0.0,0.0,0.0,nan,0
2,0.001,0.5,,scientific,0,2,0.0025806451612903226,0.5001458251642525,0.4998541748357474,0.232802515925099,0.25551059014553856,nan,-0.009181581474709722,0.4889475859133543,nan,0.0018456560663211137,0.0009230971762595819,0.0009225588900615318,0.6726517817740084,0.6726517817740084,0.6383737841687771,0,2,0.5000000000000002,0.4999999999999998,0.23689597392412826,0.26002323756646245,nan,-0.009659180067777119,0.4981020078334965,nan,0.002153075606637242,0.0010765378033186215,0.0010765378033186206,0.6854806921039729,0.6854806921039729,0.6484578545224531,0,2,0.5001458251642525,0.4998541748357474,0.232802515925099,0.25551059014553856,nan,-0.009181581474709722,0.4889475859133543,nan,0.0018456560663211137,0.0009230971762595819,0.0009225588900615318,0.6726517817740084,0.6726517817740084,0.6383737841687771,0
3,0.0015,0.5,,scientific,0,2,0.005161290322580645,0.6675017541322714,0.33249824586772864,0.15994723813672412,0.33010210797454237,nan,0.0029061643826063634,0.4835834102009464,nan,0.0027596293196912357,0.0018420574116487466,0.0009175719080424891,0.6604152293384862,0.6604152293384862,0.6191105456137154,0,2,0.6666666666666667,0.33333333333333326,0.16341536860548014,0.3353439504186842,nan,0.0033974889502033775,0.4920436919783121,nan,0.0032296134099558628,0.002153075606637242,0.0010765378033186206,0.6718964037171382,0.6718964037171382,0.6272058854137175,0,2,0.6675017541322714,0.33249824586772864,0.15994723813672412,0.33010210797454237,nan,0.0029061643826063634,0.4835834102009464,nan,0.0027596293196912357,0.0018420574116487466,0.0009175719080424891,0.6604152293384862,0.6604152293384862,0.6191105456137154,0
4,0.002,0.5,,scientific,0,2,0.004516129032258065,0.6675606552790087,0.3324393447209914,0.16000928852828342,0.33033776287372785,nan,0.0029041797467453676,0.4838752598538134,nan,0.0027529937712539336,0.001837790325917305,0.0009152034453366285,0.6607881470504441,0.6607881470504441,0.6195335968441592,0,2,0.6666666666666667,0.33333333333333326,0.16341536860548014,0.3353439504186842,nan,0.0033974889502033775,0.4920436919783121,nan,0.0032296134099558628,0.002153075606637242,0.0010765378033186206,0.6718964037171382,0.6718964037171382,0.6272058854137175,0,2,0.6675606552790087,0.3324393447209914,0.16000928852828342,0.33033776287372785,nan,0.0029041797467453676,0.4838752598538134,nan,0.0027529937712539336,0.001837790325917305,0.0009152034453366285,0.6607881470504441,0.6607881470504441,0.6195335968441592,0
5,0.0025,0.5,,scientific,0,2,0.0025806451612903226,0.500367361242876,0.4996326387571241,0.23313133959654267,0.2561079635312186,nan,-0.009141732600781646,0.4898122502714992,nan,0.0018323857751504635,0.0009168660350910192,0.0009155197400594443,0.673737715824989,0.673737715824989,0.6395831720915817,0,2,0.5000000000000002,0.4999999999999998,0.23689597392412826,0.26002323756646245,nan,-0.009659180067777119,0.4981020078334965,nan,0.002153075606637242,0.0010765378033186215,0.0010765378033186206,0.6854806921039729,0.6854806921039729,0.6484578545224531,0,2,0.500367361242876,0.4996326387571241,0.23313133959654267,0.2561079635312186,nan,-0.009141732600781646,0.4898122502714992,nan,0.0018323857751504635,0.0009168660350910192,0.0009155197400594443,0.673737715824989,0.673737715824989,0.6395831720915817,0
6,0.003,0.5,,scientific,0,0,0.0012903225806451613,0.0,0.0,nan,nan,nan,nan,nan,nan,0.0,0.0,0.0,0.0,0.0,nan,0,0,0.0,0.0,nan,nan,nan,nan,nan,nan,0.0,0.0,0.0,0.0,0.0,nan,0,0,0.0,0.0,nan,nan,nan,nan,nan,nan,0.0,0.0,0.0,0.0,0.0,nan,0
7,0.0035,0.5,,scientific,0,0,0.0012903225806451613,0.0,0.0,nan,nan,nan,nan,nan,nan,0.0,0.0,0.0,0.0,0.0,nan,0,0,0.0,0.0,nan,nan,nan,nan,nan,nan,0.0,0.0,0.0,0.0,0.0,nan,0,0,0.0,0.0,nan,nan,nan,nan,nan,nan,0.0,0.0,0.0,0.0,0.0,nan,0
8,0.004,0.5,,scientific,0,0,0.0,0.0,0.0,nan,nan,nan,nan,nan,nan,0.0,0.0,0.0,0.0,0.0,nan,0,0,0.0,0.0,nan,nan,nan,nan,nan,nan,0.0,0.0,0.0,0.0,0.0,nan,0,0,0.0,0.0,nan,nan,nan,nan,nan,nan,0.0,0.0,0.0,0.0,0.0,nan,0
9,0.0045000000000000005,0.5,,scientific,0,0,0.0,0.0,0.0,nan,nan,nan,nan,nan,nan,0.0,0.0,0.0,0.0,0.0,nan,0,0,0.0,0.0,nan,nan,nan,nan,nan,nan,0.0,0.0,0.0,0.0,0.0,nan,0,0,0.0,0.0,nan,nan,nan,nan,nan,nan,0.0,0.0,0.0,0.0,0.0,nan,0
