step,accepted_step,attempt_step,attempt_index,attempt_number,time,dt,dt_base,dt_retry_attempts,dt_recovery_success_steps,dt_recovery_window_steps,dt_restore_attempt,dt_snap_applied,dt_snap_target_time,time_grid_error,dt_event,g,mass,lumen_mass_def,ratio,max_u,max_p,ch_converged,ch_snes_reason,ch_snes_its,ch_ksp_reason,ch_ksp_its,biot_converged,biot_iterations,biot_iterations_u,biot_iterations_tp,biot_snes_reason,biot_snes_its,biot_ksp_reason,biot_ksp_its,biot_u_snes_reason,biot_u_snes_its,biot_u_ksp_reason,biot_u_ksp_its,biot_tp_snes_reason,biot_tp_snes_its,biot_tp_ksp_reason,biot_tp_ksp_its,split_iterations,outer_omega,split_pf_increment,split_u_increment,split_theta_increment,split_p_increment,split_increment,step_failed,constraint_mismatch_max,constraint_mismatch_boundary_max,constraint_mismatch_interior_max,min_J,min_Je,J_fraction_ref_below_0_8,J_fraction_def_below_0_8,J_p01_ref,J_p05_ref,J_p01_def,J_p05_def,min_pf,max_pf,area_ref,area_def,area_ratio,domain_measure_ref,domain_measure_def,domain_measure_ratio,flow_potential_min,flow_potential_max,flow_potential_range,p_eff_min,p_eff_max,p_eff_range,theta_eq_min,theta_eq_max,theta_eq_range,storage_strain_min,storage_strain_max,storage_strain_range,source_pf_min,source_pf_max,source_pf_range,source_theta_min,source_theta_max,source_theta_range,energy_total_p,energy_total_theta,energy_total_cross,mu_elastic_l2,mu_storage_l2,lumen_n_components,lumen_component_event,lumen_total_volume,lumen_total_volume_ref,lumen_total_volume_def,lumen_interface_measure_ref,lumen_interface_measure_def,lumen_characteristic_length_ref,lumen_characteristic_length_def,lumen_active_cell_count,lumen_largest_volume,lumen_second_volume,lumen_largest_fraction,lumen_second_fraction,lumen_min_gap,lumen_edge_components,lumen_second_edge_touch,lumen_largest_edge_count,lumen_largest_edge_touch,lumen_largest_cx,lumen_largest_cy,lumen_largest_cz,lumen_cx,lumen_cy,lumen_cz,lumen_rmax,lumen_edge_count,lumen_edge_touch,lumen_any_component_edge_touch,lumen_edge_stop_trigger,lumen_steady_stop_trigger,lumen_amr_eligible,lumen_center_delta,mesh_num_cells,mesh_num_vertices,amr_event
0,True,0,0,0,0.0,0.0,0.0005,0,0,0,False,False,,0.0,initial_state,1.0,0.5835720178604035,0.5835720178604042,1.015043336656825,0.0,0.0,True,2,1,4,,,,,,,,,,,,,,,,,,0,,,,,,0.0,False,0.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,-0.994178505209978,0.5636662693841494,3.140290796624407,3.140290796624407,1.0,3.140290796624407,3.140290796624407,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.022181668653079252,0.02997089252604989,0.007789223872970638,0.0,0.0,0.0,20.0,20.0,0.0,0.0,0.0,0.0,8.692354450276143,8.692354450276143,8.692354450276143,0.0,2.347019459395552e-20,4,none,0.0043061512127377955,0.0043061512127377955,0.0043061512127377955,0.5983366016764622,0.5983366016764622,0.014393741585162979,0.014393741585162979,4,0.0010765378033186215,0.0010765378033186206,0.25000000003115835,0.2500000000311582,0.5508342038205016,0,False,0,False,-0.009659180067777119,0.4981020078334965,,0.007804570421642356,0.0227754300805396,,0.5148459305614005,0,False,False,False,False,False,,2972,1550,0
1,True,1,1,1,0.0005,0.0005,0.0005,0,0,0,False,False,,,none,1.00125,0.5992734718435225,0.5726352720614654,1.0149167970715713,0.015138005015621748,0.023779009490520028,True,2,1,4,1,True,1,,,2,1,2,150,,,,,,,,,8,0.8,7.407032795030046e-07,8.491189340826194e-07,1.086258374832324e-08,1.0747056639888717e-06,1.5571623461988671e-06,False,0.002636763495959916,0.0,0.002636763495959916,0.8625514175934446,0.8624116548736198,0.0,0.0,0.8865069647993579,0.927023138725907,0.8877716074351093,0.929158288638192,-0.9868212961148987,0.5226813015085764,3.140290796624407,3.0633839293537526,0.9755096351734929,3.140290796624407,3.0633839293537526,0.9755096351734929,0.006529902683736131,0.023779009490520028,0.017249106806783897,0.006529902683736131,0.023779009490520028,0.017249106806783897,0.022386593492457117,0.029934106480574495,0.007547512988117379,0.006540454663955818,0.03501669793365306,0.02847624326969724,20.0,20.0,0.0,0.0,0.0,0.0,8.536685034703366,8.53668535208885,8.536685035196491,0.20116396364582811,0.0006736827652000811,4,none,0.003708154946586323,0.0043061512127377955,0.003708154946586323,0.5983366016764622,0.5552459078246025,0.014393741585162979,0.013356802434130495,4,0.0009301218320137555,0.0009277594391683911,0.2508314364991714,0.2501943560968168,0.5422123917312368,0,False,0,False,-0.003971851199968619,-0.4044556461740054,,0.00724933421813193,0.021696461365167976,,0.5038906486347469,0,False,False,False,False,False,,2972,1550,0
2,True,2,2,1,0.001,0.0005,0.0005,0,0,0,False,False,,,none,1.0025,0.6149749258266431,0.5879366386700774,1.0156153482933699,0.01505901284289535,0.023969804502756663,True,2,1,4,1,True,2,,,2,2,2,231,,,,,,,,,6,0.8,3.0615511145142887e-06,4.4100796374570867e-07,2.6539371478980846e-07,1.3467451464374153e-06,3.384041897520403e-06,False,0.0030130991280208144,0.0,0.0030130991280208144,0.856045406173748,0.8557315523275059,0.0,0.0,0.8809178645095781,0.9261806686357774,0.8825607657735751,0.9289489924086537,-0.9797626251845684,0.5535263226217556,3.140290796624407,3.0653355834027463,0.9761311234926929,3.140290796624407,3.0653355834027463,0.9761311234926929,0.007039980151317154,0.023969804502756663,0.01692982435143951,0.007039980151317154,0.023969804502756663,0.01692982435143951,0.022232368386891223,0.029898813125922838,0.007666444739031615,0.007076333910924781,0.03519931924249233,0.02812298533156755,20.0,20.0,0.0,0.0,0.0,0.0,8.680091966539331,8.68009239060429,8.680091972313091,0.21080754837582777,0.0006394062800424926,4,none,0.01295949202688133,0.01507152924471997,0.01295949202688133,1.09695043642874,1.0197757247365646,0.027478961207741032,0.025416357170551622,14,0.0036983589714452165,0.0036977994918740006,0.28537839012315186,0.28533521871102746,0.521717925709484,0,False,0,False,-0.0019356677533020296,0.4720815919779289,,0.04330159991671769,0.04971081186314652,,0.5233328091604219,0,False,False,False,False,False,0.045657088122492154,2972,1550,0
3,True,3,3,1,0.0015,0.0005,0.0005,0,0,0,False,False,,,none,1.00375,0.6306763798097623,0.6031466108825503,1.0166001977491381,0.015040704986410542,0.024013755424374228,True,2,1,4,1,True,2,,,2,2,2,222,,,,,,,,,6,0.8,2.29680655176852e-06,3.258887060760078e-07,2.597663538509733e-07,1.114322415375025e-06,2.586641990882185e-06,False,0.0032957695078840617,0.0,0.0032957695078840617,0.8478890298448138,0.8474768375063505,0.0,0.0,0.8765225829207346,0.9258004471724071,0.8786966299757563,0.9290450022151938,-0.9742132497053622,0.586131809084281,3.140290796624407,3.06687397924544,0.9766210131055745,3.140290796624407,3.06687397924544,0.9766210131055745,0.006857437035842065,0.024013755424374228,0.01715631838853216,0.006857437035842065,0.024013755424374228,0.01715631838853216,0.022069340954578593,0.02987106624852681,0.007801725293948215,0.0076629555647798366,0.03511329072710539,0.02745033516232555,20.0,20.0,0.0,0.0,0.0,0.0,8.852731531900742,8.852732023597474,8.852731538029454,0.21870296886364612,0.0006187080498021027,4,none,0.029670138558330443,0.034449209698789056,0.029670138558330443,1.795009804694114,1.6765785300852636,0.038383310897468347,0.035393675901147975,32,0.00833649869505565,0.00832561568271126,0.28097269174076783,0.28060589155468196,0.49376239767763536,0,False,0,False,0.4607568662033234,0.02815071830120502,,0.03196436677345236,0.04843622990569514,,0.5422342017345597,0,False,False,False,False,False,0.011408655245514893,2972,1550,0
4,True,4,4,1,0.002,0.0005,0.0005,0,0,0,False,False,,,none,1.005,0.646377833792882,0.6182890972570536,1.0177667959127865,0.015061256578845307,0.023991184601363152,True,2,1,4,1,True,2,,,2,2,2,220,,,,,,,,,6,0.8,1.7767428322428827e-06,2.5792339686118836e-07,2.555209553060865e-07,1.0223016892513797e-06,2.0817615792932756e-06,False,0.0035193647998721777,0.0,0.0035193647998721777,0.840429140013431,0.8399546142149527,0.0,0.0,0.8724138939658009,0.9252609097567173,0.8748638268993865,0.9288242424446757,-0.9697675353462362,0.6151496566321116,3.140290796624407,3.0681590471067097,0.977030232488267,3.140290796624407,3.0681590471067097,0.977030232488267,0.00641091118950348,0.023991184601363152,0.017580273411859672,0.00641091118950348,0.023991184601363152,0.017580273411859672,0.02192425171683944,0.02984883767673118,0.00792458595989174,0.008274655174796565,0.03491243219305566,0.026637777018259097,20.0,20.0,0.0,0.0,0.0,0.0,9.035952781311545,9.03595332429915,9.035952787485487,0.22519232017744964,0.0006056678928669888,4,none,0.044566254433292714,0.05167381454743463,0.044566254433292714,1.9944553387958779,1.862812543015718,0.05181746970441756,0.047848351247564765,48,0.012042311473632753,0.012041751973117317,0.27021143299484196,0.27019887864127223,0.4610194861277965,0,False,0,False,-0.0014491071684548812,0.4830176793709733,,0.027554806646293284,0.03873320673894391,,0.5473690587882685,0,False,False,False,False,False,0.010657996016585023,2972,1550,0
5,True,5,5,1,0.0025,0.0005,0.0005,0,0,0,False,False,,,none,1.00625,0.6620792877760012,0.633372830806738,1.019097254332552,0.015103125689679225,0.023883721233056317,True,2,1,4,1,True,2,,,2,2,2,238,,,,,,,,,6,0.8,1.4381921119684294e-06,2.1969372205252984e-07,2.53012759920768e-07,9.71348089805725e-07,1.7675390945293009e-06,False,0.0036717110043906383,0.0,0.0036717110043906383,0.8337039029814313,0.8331886079705324,0.0,0.0,0.8691174068249824,0.9245771199862021,0.8722370537533572,0.9286486392154201,-0.9661701110582126,0.6412668677049578,3.140290796624407,3.0692808870191652,0.9773874732615296,3.140290796624407,3.0692808870191652,0.9773874732615296,0.006016314689691422,0.023883721233056317,0.017867406543364897,0.006016314689691422,0.023883721233056317,0.017867406543364897,0.02179366566147521,0.029830850555291062,0.00803718489381585,0.008895153201566955,0.034639473563995285,0.02574432036242833,20.0,20.0,0.0,0.0,0.0,0.0,9.221743068479096,9.22174365383508,9.22174307451012,0.2306084293905166,0.0005971198436643802,4,none,0.051947479312454,0.06028611697357748,0.051947479312454,2.0941781057466935,1.9576807688021773,0.0575749663394385,0.05307042919386543,56,0.014823985566683674,0.013873582202232795,0.2853648678027336,0.2670694013618234,0.4530937469295962,0,False,0,False,-0.004128974211455397,0.4813774739733408,,0.021817419678185943,0.05275459372748212,,0.5472438809782434,0,False,False,False,False,False,0.01514981525643651,2972,1550,0
6,True,6,6,1,0.003,0.0005,0.0005,0,0,0,False,False,,,none,1.0075,0.6777807417591214,0.6484027998160062,1.0205965402724673,0.015174382884103096,0.0236994453805312,True,2,1,4,1,True,2,,,2,2,2,251,,,,,,,,,6,0.8,1.2362157598930273e-06,2.016582679283066e-07,2.5246775395796164e-07,9.345752301950898e-07,1.5830559970242754e-06,False,0.003785139997541244,0.0,0.003785139997541244,0.8274198465897941,0.826880429127738,0.0,0.0,0.8658045404032015,0.9241065103139623,0.8694911521070824,0.928416824852939,-0.9632352829443533,0.6654637605307783,3.140290796624407,3.070295519878207,0.9777105748227393,3.140290796624407,3.070295519878207,0.9777105748227393,0.005660265228908108,0.0236994453805312,0.01803918015162309,0.005660265228908108,0.0236994453805312,0.01803918015162309,0.02167268119734611,0.029816176414721767,0.008143495217375656,0.009510209598929316,0.0343237130487971,0.024813503449867783,20.0,20.0,0.0,0.0,0.0,0.0,9.405725952242188,9.405726575269005,9.405725957991786,0.23519854738267418,0.0005912160536184076,4,none,0.06318181903738967,0.07320457060720956,0.06318181903738967,2.4930691734196797,2.342791285102748,0.05872646566544859,0.05393721535430648,68,0.017615085636262986,0.016664916347932622,0.278799912769823,0.2637612623668001,0.43197389668825426,0,False,0,False,-0.0042855088445100395,0.47532508922500405,,0.01888777260907901,0.04522763911433725,,0.547127376637582,0,False,False,False,False,False,0.008076996824183459,2972,1550,0
7,True,7,7,1,0.0035,0.0005,0.0005,0,0,0,False,False,,,none,1.00875,0.6934821957422408,0.6633838990499199,1.0222775672663045,0.015254930752577188,0.023668773885771176,True,2,1,4,1,True,2,,,2,2,2,243,,,,,,,,,6,0.8,1.1261837626875748e-06,1.9745367306845256e-07,2.53758272531928e-07,9.043594493460265e-07,1.4797084492727624e-06,False,0.003879639198043093,0.0,0.003879639198043093,0.8213143957839186,0.8207653905900631,0.0,0.0,0.8630940429829571,0.9235019351162848,0.8667137598118788,0.9279675929035552,-0.9610586763051777,0.6883604660272358,3.140290796624407,3.071241267203104,0.978011740347255,3.140290796624407,3.071241267203104,0.978011740347255,0.005336871988481316,0.023668773885771176,0.018331901897289858,0.005336871988481316,0.023668773885771176,0.018331901897289858,0.021558197669863822,0.029805293381525887,0.008247095711662066,0.010116010343861705,0.034041055495974436,0.02392504515211273,20.0,20.0,0.0,0.0,0.0,0.0,9.585105619469992,9.5851062780246,9.585105624823939,0.23910097725764143,0.0005868324619199473,4,none,0.07351608270028727,0.08504648644370458,0.07351608270028727,2.6426533238433967,2.4886346602476905,0.06436446708796104,0.05908145849979467,79,0.020431389472158806,0.01945639018627257,0.2779172763523616,0.26465488192009645,0.4121584793686059,0,False,0,False,0.46781044295182034,0.025053693810037785,,0.0236461306810465,0.043545455184457085,,0.5856133320064204,0,False,False,False,False,False,0.005046950991936143,2972,1550,0
8,True,8,8,1,0.004,0.0005,0.0005,0,0,0,False,False,,,none,1.01,0.7091836497253601,0.6783222054125504,1.0241573585407466,0.015344992076136732,0.023681274913551785,True,2,1,4,1,True,2,,,2,2,2,218,,,,,,,,,6,0.8,1.0771424966496554e-06,2.029360136024652e-07,2.566280044853181e-07,8.791322324520408e-07,1.428338334753968e-06,False,0.003994590025988429,0.0,0.003994590025988429,0.8152157565664404,0.8146700781883819,0.0,0.0,0.8604184126269555,0.9228051381991849,0.8641289857256086,0.9272494017069093,-0.9593129499283113,0.7102620565782958,3.140290796624407,3.07214694118917,0.9783001448437556,3.140290796624407,3.07214694118917,0.9783001448437556,0.005044207100168656,0.023681274913551785,0.01863706781338313,0.005044207100168656,0.023681274913551785,0.01863706781338313,0.021448689717108522,0.029796564749641555,0.008347875032533033,0.010709496437450863,0.03375793116861641,0.023048434731165548,20.0,20.0,0.0,0.0,0.0,0.0,9.757890388803906,9.757891082278245,9.75789039366294,0.24236002762773667,0.0005832256888836934,4,none,0.08485663243464492,0.09796494007162672,0.08485663243464492,2.8420988575808317,2.6844409244535603,0.06893844653596151,0.06322108388503142,91,0.025168859901705382,0.02227077685947148,0.2966045102142133,0.2624518110192982,0.40991826607446014,0,False,0,False,-0.005020365148163323,0.4711104156999662,,0.026824673040545883,0.05481308018696942,,0.5854955296582176,0,False,False,False,False,False,0.01170736967590812,2972,1550,0
9,True,9,9,1,0.0045000000000000005,0.0005,0.0005,0,0,0,False,False,,,none,1.01125,0.7248851037084796,0.693225496325971,1.026255830500887,0.015443508657313528,0.02396578891819585,True,2,1,4,1,True,2,,,2,2,2,230,,,,,,,,,6,0.8,1.070916073552489e-06,2.1599370291351638e-07,2.607890614540182e-07,8.595144152684277e-07,1.4143162591583496e-06,False,0.004093759186166675,0.0,0.004093759186166675,0.809035116154102,0.8085038625992857,0.0,0.0,0.8576705346174082,0.9221056789655843,0.8614134320034381,0.9272052628775824,-0.9579283986447142,0.7312735187927849,3.140290796624407,3.0730364258825875,0.9785833939920108,3.140290796624407,3.0730364258825875,0.9785833939920108,0.004781807969396315,0.02396578891819585,0.019183980948799535,0.004781807969396315,0.02396578891819585,0.019183980948799535,0.021343632406036074,0.02978964199322357,0.008446009587187497,0.011287295114280078,0.033472422381397075,0.022185127267116998,20.0,20.0,0.0,0.0,0.0,0.0,9.922553748105342,9.922554476796337,9.922553752381763,0.24495159587042253,0.0005798268483813982,4,none,0.10015313977610074,0.11518954488964446,0.10015313977610074,3.1412671561105263,2.974259396290184,0.07333954048803068,0.06734660729391827,107,0.02798779306337479,0.027044041562060528,0.2794499815576769,0.270026897035074,0.3917696545814832,0,False,0,False,-0.0049687713528444345,0.47723529920845503,,0.02580580226390101,0.045769729991217416,,0.5853717668838871,0,False,False,False,False,False,0.009100564840849645,2972,1550,0
