step,accepted_step,attempt_step,attempt_index,attempt_number,time,dt,dt_base,dt_retry_attempts,dt_recovery_success_steps,dt_recovery_window_steps,dt_restore_attempt,dt_snap_applied,dt_snap_target_time,time_grid_error,dt_event,g,mass,lumen_mass_def,ratio,max_u,max_p,ch_converged,ch_snes_reason,ch_snes_its,ch_ksp_reason,ch_ksp_its,biot_converged,biot_iterations,biot_iterations_u,biot_iterations_tp,biot_snes_reason,biot_snes_its,biot_ksp_reason,biot_ksp_its,biot_u_snes_reason,biot_u_snes_its,biot_u_ksp_reason,biot_u_ksp_its,biot_tp_snes_reason,biot_tp_snes_its,biot_tp_ksp_reason,biot_tp_ksp_its,split_iterations,outer_omega,split_pf_increment,split_u_increment,split_theta_increment,split_p_increment,split_increment,step_failed,constraint_mismatch_max,constraint_mismatch_boundary_max,constraint_mismatch_interior_max,min_J,min_Je,J_fraction_ref_below_0_8,J_fraction_def_below_0_8,J_p01_ref,J_p05_ref,J_p01_def,J_p05_def,min_pf,max_pf,area_ref,area_def,area_ratio,domain_measure_ref,domain_measure_def,domain_measure_ratio,flow_potential_min,flow_potential_max,flow_potential_range,p_eff_min,p_eff_max,p_eff_range,theta_eq_min,theta_eq_max,theta_eq_range,storage_strain_min,storage_strain_max,storage_strain_range,source_pf_min,source_pf_max,source_pf_range,source_theta_min,source_theta_max,source_theta_range,energy_total_p,energy_total_theta,energy_total_cross,mu_elastic_l2,mu_storage_l2,lumen_n_components,lumen_component_event,lumen_total_volume,lumen_total_volume_ref,lumen_total_volume_def,lumen_interface_measure_ref,lumen_interface_measure_def,lumen_characteristic_length_ref,lumen_characteristic_length_def,lumen_active_cell_count,lumen_largest_volume,lumen_second_volume,lumen_largest_fraction,lumen_second_fraction,lumen_min_gap,lumen_edge_components,lumen_second_edge_touch,lumen_largest_edge_count,lumen_largest_edge_touch,lumen_largest_cx,lumen_largest_cy,lumen_largest_cz,lumen_cx,lumen_cy,lumen_cz,lumen_rmax,lumen_edge_count,lumen_edge_touch,lumen_any_component_edge_touch,lumen_edge_stop_trigger,lumen_steady_stop_trigger,lumen_amr_eligible,lumen_center_delta,mesh_num_cells,mesh_num_vertices,amr_event
0,True,0,0,0,0.0,0.0,0.0005,0,0,0,False,False,,0.0,initial_state,1.0,0.5835720178604035,0.5835720178604042,1.015043336656825,0.0,0.0,True,2,1,4,,,,,,,,,,,,,,,,,,0,,,,,,0.0,False,0.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,-0.994178505209978,0.5636662693841494,3.140290796624407,3.140290796624407,1.0,3.140290796624407,3.140290796624407,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.022181668653079252,0.02997089252604989,0.007789223872970638,0.0,0.0,0.0,-30.0,-30.0,0.0,0.0,0.0,0.0,8.692354450276143,8.692354450276143,8.692354450276143,0.0,2.347019459395552e-20,4,none,0.0043061512127377955,0.0043061512127377955,0.0043061512127377955,0.5983366016764622,0.5983366016764622,0.014393741585162979,0.014393741585162979,4,0.0010765378033186215,0.0010765378033186206,0.25000000003115835,0.2500000000311582,0.5508342038205016,0,False,0,False,-0.009659180067777119,0.4981020078334965,,0.007804570421642356,0.0227754300805396,,0.5148459305614005,0,False,False,False,False,False,,2972,1550,0
1,True,1,1,1,0.0005,0.0005,0.0005,0,0,0,False,False,,,none,1.00125,0.5600198368857239,0.5357044473762185,1.0156474032184324,0.014347650713036253,0.022678368221198477,True,2,1,4,1,True,1,,,2,1,2,148,,,,,,,,,8,0.8,7.564908189248986e-07,8.012794846419651e-07,1.0259033271983879e-08,1.0098181535483208e-06,1.494712387927916e-06,False,0.002672042534849449,0.0,0.002672042534849449,0.8659257857832453,0.8657854763007972,0.0,0.0,0.8891237224244807,0.929491018816363,0.8905059705633586,0.931482373957136,-0.9948776138759818,0.4957502845458131,3.140290796624407,3.068676870299699,0.977195129062032,3.140290796624407,3.068676870299699,0.977195129062032,0.006095554433606211,0.022678368221198477,0.016582813787592264,0.006095554433606211,0.022678368221198477,0.016582813787592264,0.022521248577270937,0.02997438806937991,0.007453139492108973,0.006092144882834905,0.0359068690734783,0.029814724190643398,-30.0,-30.0,0.0,0.0,0.0,0.0,8.105128800728085,8.105129116159256,8.105128801915813,0.19243033252906183,0.0006490345929889716,0,none,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,,0,False,0,False,nan,nan,,nan,nan,,0.0,0,False,False,False,False,False,,2972,1550,0
2,True,2,2,1,0.001,0.0005,0.0005,0,0,0,False,False,,,none,1.0025,0.5364676559110442,0.5141853857144199,1.016928169449168,0.01347682170577601,0.021925187066518213,True,2,1,4,1,True,2,,,2,2,2,207,,,,,,,,,6,0.8,3.58630293193216e-06,1.7420182490908022e-06,2.251103342585902e-07,1.8458227141642706e-06,4.399310452157856e-06,False,0.003062565466764467,0.0,0.003062565466764467,0.86399915414047,0.8636495364639106,0.0,0.0,0.8879354482513775,0.9318883376129812,0.8895202740580224,0.9340586595022355,-0.9938537970648293,0.49439205664445096,3.140290796624407,3.0761876407313755,0.9795868726673536,3.140290796624407,3.0761876407313755,0.9795868726673536,0.006061340489385457,0.021925187066518213,0.015863846577132756,0.006061340489385457,0.021925187066518213,0.015863846577132756,0.022528039716777744,0.029969268985324145,0.007441229268546401,0.006060468831368255,0.03719311181121278,0.031132642979844524,-30.0,-30.0,0.0,0.0,0.0,0.0,7.789924989018373,7.789925405820896,7.789924999668756,0.19195088471101301,0.0006016978755171563,0,none,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,,0,False,0,False,nan,nan,,nan,nan,,0.0,0,False,False,False,False,False,,2972,1550,0
3,True,3,3,1,0.0015,0.0005,0.0005,0,0,0,False,False,,,none,1.00375,0.5129154749363645,0.4926970473494673,1.018345816243906,0.01261792045025411,0.021111033072272918,True,2,1,4,1,True,2,,,2,2,2,197,,,,,,,,,6,0.8,2.5545160059811765e-06,1.679050797554739e-06,2.0094662578464788e-07,1.5206068435988316e-06,3.420144488877197e-06,False,0.0032687915560289677,0.0,0.0032687915560289677,0.8628342749454595,0.862308714823312,0.0,0.0,0.8885172228034263,0.9350825059242478,0.8905391522910615,0.937318666930637,-0.9933111871530524,0.4871752498245899,3.140290796624407,3.0834722930632315,0.9819066108074286,3.140290796624407,3.0834722930632315,0.9819066108074286,0.005988727826346083,0.021111033072272918,0.015122305245926835,0.005988727826346083,0.021111033072272918,0.015122305245926835,0.02256412375087705,0.029966555935765263,0.007402432184888213,0.0059893869761963245,0.038330697113340764,0.03234131013714444,-30.0,-30.0,0.0,0.0,0.0,0.0,7.487871329856686,7.4878717869945906,7.487871342077822,0.18747436845129534,0.0005759832651932642,0,none,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,,0,False,0,False,nan,nan,,nan,nan,,0.0,0,False,False,False,False,False,,2972,1550,0
4,True,4,4,1,0.002,0.0005,0.0005,0,0,0,False,False,,,none,1.005,0.489363293961685,0.47126552512839776,1.0197600822248134,0.011718768289447573,0.020334975498730395,True,2,1,4,1,True,2,,,2,2,2,189,,,,,,,,,6,0.8,1.7340076582037128e-06,1.6578858281609035e-06,1.7942769947436114e-07,1.3545656764895312e-06,2.7608713206500756e-06,False,0.003387959901560345,0.0,0.003387959901560345,0.8651885852190841,0.864466477618147,0.0,0.0,0.8917513212232673,0.9385716598324916,0.8936740357169917,0.9412638182765788,-0.9932162714063519,0.46684791301752115,3.140290796624407,3.0906710735653924,0.9841990037634882,3.140290796624407,3.0906710735653924,0.9841990037634882,0.0058791685951883514,0.020334975498730395,0.014455806903542045,0.0058791685951883514,0.020334975498730395,0.014455806903542045,0.022665760434912394,0.029966081357031757,0.0073003209221193625,0.005880621539129286,0.039511815802792574,0.03363119426366329,-30.0,-30.0,0.0,0.0,0.0,0.0,7.182129189759727,7.182129651257094,7.182129203223138,0.17860012042642115,0.0005648415722982297,0,none,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,,0,False,0,False,nan,nan,,nan,nan,,0.0,0,False,False,False,False,False,,2972,1550,0
5,True,5,5,1,0.0025,0.0005,0.0005,0,0,0,False,False,,,none,1.00625,0.465811112987007,0.4498920019392817,1.0210989317725034,0.010751873448661343,0.019612690060546598,True,2,1,4,1,True,2,,,2,2,2,195,,,,,,,,,6,0.8,1.4324757983737132e-06,1.6655337343566516e-06,1.630715069329941e-07,1.2874889119821386e-06,2.5515112282834987e-06,False,0.003315074411884127,0.0,0.003315074411884127,0.8711785336704044,0.8702013449286563,0.0,0.0,0.897280102092705,0.9427132011857333,0.8990814060162803,0.9452427759919285,-0.9934328257697974,0.4323172531388522,3.140290796624407,3.0978752714336526,0.9864931218356121,3.140290796624407,3.0978752714336526,0.9864931218356121,0.005735357225385003,0.019612690060546598,0.013877332835161595,0.005735357225385003,0.019612690060546598,0.013877332835161595,0.02283841373430574,0.029967164128848985,0.007128750394543245,0.0057370637976470774,0.04076294776157126,0.035025883963924184,-30.0,-30.0,0.0,0.0,0.0,0.0,6.863263873152647,6.8632643088357215,6.863263887422955,0.1653408604309549,0.0005631050237574726,0,none,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,,0,False,0,False,nan,nan,,nan,nan,,0.0,0,False,False,False,False,False,,2972,1550,0
6,True,6,6,1,0.003,0.0005,0.0005,0,0,0,False,False,,,none,1.0075,0.44225893201232686,0.42856574555965077,1.0222880802941738,0.009763792301877584,0.018950126185398958,True,2,1,4,1,True,2,,,2,2,2,194,,,,,,,,,6,0.8,1.7391880185492057e-06,1.6952601936518882e-06,1.52338737885139e-07,1.2836636954780254e-06,2.7513054469096095e-06,False,0.003080602927052419,0.0,0.003080602927052419,0.8802500414526385,0.8789108142533935,0.0,0.0,0.9047730640060491,0.9470812753271451,0.9062448349910848,0.9493041621123604,-0.9938354625183384,0.38268602179585237,3.140290796624407,3.1051518623937144,0.9888102928975672,3.140290796624407,3.1051518623937144,0.9888102928975672,0.0055589789027969475,0.018950126185398958,0.01339114728260201,0.0055589789027969475,0.018950126185398958,0.01339114728260201,0.023086569891020738,0.029969177312591692,0.006882607421570954,0.005560638407430082,0.0418487498517122,0.036288111444282116,-30.0,-30.0,0.0,0.0,0.0,0.0,6.523912318221706,6.523912703354831,6.523912332762816,0.1480406053735298,0.0005651692961299637,0,none,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,,0,False,0,False,nan,nan,,nan,nan,,0.0,0,False,False,False,False,False,,2972,1550,0
7,True,7,7,1,0.0035,0.0005,0.0005,0,0,0,False,False,,,none,1.00875,0.41870675103764743,0.4072678616128698,1.023227540056603,0.008690280721392387,0.018404972975548883,True,2,1,4,1,True,2,,,2,2,2,191,,,,,,,,,6,0.8,2.302544653885258e-06,1.744500368440453e-06,1.46062492768006e-07,1.3085723776049136e-06,3.1746951566801874e-06,False,0.0027332729427727576,0.0,0.0027332729427727576,0.8920195449507425,0.8901828922533047,0.0,0.0,0.9132502869622012,0.9519227415612056,0.9146527340186178,0.9537544648014524,-0.9943257034999915,0.3165306400197709,3.140290796624407,3.112558085799832,0.9911687443550178,3.140290796624407,3.112558085799832,0.9911687443550178,0.005350579292141644,0.018404972975548883,0.01305439368340724,0.005350579292141644,0.018404972975548883,0.01305439368340724,0.023417346799901144,0.029971628517499956,0.006554281717598812,0.00535208102252838,0.04275454762960418,0.0374024666070758,-30.0,-30.0,0.0,0.0,0.0,0.0,6.157292405806324,6.1572927223974325,6.15729242005077,0.12732813951112287,0.0005635325193076246,0,none,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,,0,False,0,False,nan,nan,,nan,nan,,0.0,0,False,False,False,False,False,,2972,1550,0
8,True,8,8,1,0.004,0.0005,0.0005,0,0,0,False,False,,,none,1.01,0.39515457006296806,0.3859697057065545,1.0237820883716866,0.007533630635229238,0.01906293650461229,True,2,1,4,1,True,2,,,2,2,2,187,,,,,,,,,6,0.8,2.902695440865593e-06,1.8126090523284343e-06,1.440638283806918e-07,1.3227072815207685e-06,3.671716402207644e-06,False,0.0023005869405864996,0.0,0.0023005869405864996,0.9054558977001069,0.9029141397485905,0.0,0.0,0.923376083271884,0.9570922966389134,0.9247921537914632,0.9587396480733541,-0.9948521671700726,0.2321795892244499,3.140290796624407,3.1201479031598094,0.993585659810152,3.140290796624407,3.1201479031598094,0.993585659810152,0.00510946195214746,0.01906293650461229,0.013953474552464828,0.00510946195214746,0.01906293650461229,0.013953474552464828,0.02383910205387775,0.029974260835850364,0.006135158781972613,0.005110814931687336,0.042920440586570595,0.03780962565488326,-30.0,-30.0,0.0,0.0,0.0,0.0,5.757049116472562,5.757049355366613,5.757049129898675,0.10419707621801198,0.0005477786226926185,0,none,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,,0,False,0,False,nan,nan,,nan,nan,,0.0,0,False,False,False,False,False,,2972,1550,0
9,True,9,9,1,0.0045000000000000005,0.0005,0.0005,0,0,0,False,False,,,none,1.01125,0.3716023890882879,0.36462769556644226,1.0237840542685597,0.006294258459177367,0.020625556150770847,True,2,1,4,1,True,2,,,2,2,2,190,,,,,,,,,6,0.8,3.4414274473288067e-06,1.8973241782552098e-06,1.489596777612819e-07,1.293846292320851e-06,4.139986609443445e-06,False,0.0018980045403966805,0.0,0.0018980045403966805,0.9194861439648756,0.9160040099992727,0.0,0.0,0.9349932275837699,0.9627347421858018,0.9354325168722583,0.963932814785765,-0.9953476709834862,0.1286044008010008,3.140290796624407,3.127969157441077,0.9960762744658631,3.140290796624407,3.127969157441077,0.9960762744658631,0.004834104365930757,0.020625556150770847,0.01579145178484009,0.004834104365930757,0.020625556150770847,0.01579145178484009,0.024356977995994997,0.02997673835491743,0.005619760358922435,0.00483537613784139,0.04186941533054405,0.037034039192702664,-30.0,-30.0,0.0,0.0,0.0,0.0,5.318365391711014,5.318365554565169,5.318365403883681,0.08015732470583674,0.0005056006616577986,0,none,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,,0,False,0,False,nan,nan,,nan,nan,,0.0,0,False,False,False,False,False,,2972,1550,0
