step,time,threshold,roi_max_r,analysis_mode,mesh_index,n_components,lumen_node_fraction,largest_component_fraction,second_component_fraction,centroid_x,centroid_y,centroid_z,largest_centroid_x,largest_centroid_y,largest_centroid_z,total_component_volume,largest_component_volume,second_component_volume,min_pairwise_centroid_distance,mean_pairwise_centroid_distance,min_gap,edge_components,ref_n_components,ref_largest_component_fraction,ref_second_component_fraction,ref_centroid_x,ref_centroid_y,ref_centroid_z,ref_largest_centroid_x,ref_largest_centroid_y,ref_largest_centroid_z,ref_total_component_volume,ref_largest_component_volume,ref_second_component_volume,ref_min_pairwise_centroid_distance,ref_mean_pairwise_centroid_distance,ref_min_gap,ref_edge_components,def_n_components,def_largest_component_fraction,def_second_component_fraction,def_centroid_x,def_centroid_y,def_centroid_z,def_largest_centroid_x,def_largest_centroid_y,def_largest_centroid_z,def_total_component_volume,def_largest_component_volume,def_second_component_volume,def_min_pairwise_centroid_distance,def_mean_pairwise_centroid_distance,def_min_gap,def_edge_components
0,0.0,0.45,,scientific,0,8,0.012903225806451613,0.19999999975690147,0.16666666671731215,-0.010570717518681955,-0.023665861241827336,nan,-0.0008450171323492692,-0.44043451600558076,nan,0.03229613408974467,0.006459226810097791,0.005382689016593098,0.30314463658315305,0.5527933133865146,0.23456885413140563,0,8,0.19999999975690147,0.16666666671731215,-0.010570717518681955,-0.023665861241827336,nan,-0.0008450171323492692,-0.44043451600558076,nan,0.03229613408974467,0.006459226810097791,0.005382689016593098,0.30314463658315305,0.5527933133865146,0.23456885413140563,0,8,0.19999999975690147,0.16666666671731215,-0.010570717518681955,-0.023665861241827336,nan,-0.0008450171323492692,-0.44043451600558076,nan,0.03229613408974467,0.006459226810097791,0.005382689016593098,0.30314463658315305,0.5527933133865146,0.23456885413140563,0
1,0.001,0.45,,scientific,0,0,0.0012903225806451613,0.0,0.0,nan,nan,nan,nan,nan,nan,0.0,0.0,0.0,0.0,0.0,nan,0,0,0.0,0.0,nan,nan,nan,nan,nan,nan,0.0,0.0,0.0,0.0,0.0,nan,0,0,0.0,0.0,nan,nan,nan,nan,nan,nan,0.0,0.0,0.0,0.0,0.0,nan,0
2,0.002,0.45,,scientific,0,4,0.00967741935483871,0.26111453214519825,0.26094231531177187,-0.0002633632443220623,-0.016959824326825988,nan,0.3882290003939567,0.0002443367030521771,nan,0.02247468551803988,0.0058684669941534455,0.0058645964749812745,0.5445082592054623,0.631387970719946,0.45808199009887673,0,4,0.26086956525847715,0.2608695652584767,-0.0005607542312253235,-0.017555998613731628,nan,-0.41561531100254717,-0.000626870678294497,nan,0.02476036947242859,0.006459226819911716,0.006459226819911705,0.5638110217814194,0.6539025164680267,0.4731239608904469,0,4,0.26111453214519825,0.26094231531177187,-0.0002633632443220623,-0.016959824326825988,nan,0.3882290003939567,0.0002443367030521771,nan,0.02247468551803988,0.0058684669941534455,0.0058645964749812745,0.5445082592054623,0.631387970719946,0.45808199009887673,0
3,0.0025,0.45,,scientific,0,4,0.025806451612903226,0.2741350079535189,0.24656749584449106,-0.0015077121555596578,-0.013114972952102469,nan,-0.005207792082728056,-0.3623353906963628,nan,0.07159816241678846,0.019627562823583643,0.017653779614174685,0.5169620158466599,0.5915116653457674,0.3630687534763844,0,4,0.27397260267227064,0.24657534248866278,-0.0016385915995603012,-0.013503784509325436,nan,-0.005435073977290165,-0.3750921487051171,nan,0.07858725963495755,0.0215307560590708,0.019377680459735123,0.5351313595763744,0.6123168416760296,0.3739665744609425,0,4,0.2741350079535189,0.24656749584449106,-0.0015077121555596578,-0.013114972952102469,nan,-0.005207792082728056,-0.3623353906963628,nan,0.07159816241678846,0.019627562823583643,0.017653779614174685,0.5169620158466599,0.5915116653457674,0.3630687534763844,0
4,0.003,0.45,,scientific,0,4,0.04258064516129032,0.2631919895994949,0.24564108265204,0.0019629321546924703,0.008827473233893022,nan,0.0015233253179551063,0.36025185364695783,nan,0.11190687979724719,0.02945299434370901,0.0274889271096075,0.5012082381257221,0.5737620652293248,0.3108446786252524,0,4,0.26315789476342394,0.245614035112529,0.0020035312692069517,0.009073319336865329,nan,0.001534150514011098,0.37289600695603786,nan,0.12272530956592594,0.03229613409955856,0.030143058492921322,0.5188157948279085,0.5939109003928155,0.31947135732602944,0,4,0.2631919895994949,0.24564108265204,0.0019629321546924703,0.008827473233893022,nan,0.0015233253179551063,0.36025185364695783,nan,0.11190687979724719,0.02945299434370901,0.0274889271096075,0.5012082381257221,0.5737620652293248,0.3108446786252524,0
5,0.0035,0.45,,scientific,0,4,0.05032258064516129,0.2550800216738347,0.2550318031400085,-0.0019792404738143135,0.0012897368355867115,nan,0.0026592583004574283,-0.3432027305116172,nan,0.146523014837167,0.03737509380038016,0.03736802867543292,0.4842481413638964,0.5566709472490831,0.2690394409786346,0,4,0.255033557069363,0.25503355698159724,-0.0020377125591675618,0.001334174313700853,nan,-0.003296954454683492,0.3606243107443654,nan,0.16040413268039616,0.04090843652610749,0.040908436512029495,0.5012551086654132,0.5762476364052852,0.2760745467319058,0,4,0.2550800216738347,0.2550318031400085,-0.0019792404738143135,0.0012897368355867115,nan,0.0026592583004574283,-0.3432027305116172,nan,0.146523014837167,0.03737509380038016,0.03736802867543292,0.4842481413638964,0.5566709472490831,0.2690394409786346,0
6,0.00375,0.45,,scientific,0,4,0.05806451612903226,0.26047076096016686,0.2544509645744254,0.0016251340826750312,-0.0008383512510930501,nan,0.0030510072141015183,-0.3390912268608172,nan,0.16638625607791033,0.04333875473392649,0.04233714335095163,0.4764723999114506,0.5457989815560462,0.2466611257420253,0,4,0.26035502952818473,0.2544378698423042,0.0016239813545707612,-0.0008647404151370015,nan,0.003112478525926207,-0.3510747953693537,nan,0.1819348887466749,0.047367663331847554,0.04629112554270057,0.4932788033993789,0.5650489405415596,0.25294162582614105,0,4,0.26047076096016686,0.2544509645744254,0.0016251340826750312,-0.0008383512510930501,nan,0.0030510072141015183,-0.3390912268608172,nan,0.16638625607791033,0.04333875473392649,0.04233714335095163,0.4764723999114506,0.5457989815560462,0.2466611257420253,0
7,0.004,0.45,,scientific,0,4,0.06516129032258064,0.255562056629103,0.2554805647211933,0.003761616382930038,0.0022225244734599896,nan,0.3331707498096404,-0.0008400156625835728,nan,0.18136798837777296,0.046350776116506905,0.04633599609310026,0.47183853471823634,0.5382657886822763,0.23119391601326175,0,4,0.2554347826269741,0.2554347826269737,0.003791690998912702,0.002232199986944355,nan,0.34489834329120284,-0.00089607725974835,nan,0.19808295579645147,0.050597276755975105,0.05059727675597503,0.48862396993252427,0.5573266898614418,0.23706513389286937,0,4,0.255562056629103,0.2554805647211933,0.003761616382930038,0.0022225244734599896,nan,0.3331707498096404,-0.0008400156625835728,nan,0.18136798837777296,0.046350776116506905,0.04633599609310026,0.47183853471823634,0.5382657886822763,0.23119391601326175,0
8,0.00425,0.45,,scientific,0,4,0.0696774193548387,0.25782668359856586,0.2526488486668884,-0.0027290669754372393,0.004417467429685985,nan,-0.0037213308640980476,0.3319054917309246,nan,0.19143226447481043,0.04935634588330393,0.04836514121725614,0.4648139872269799,0.5332660720124877,0.21639095710084863,0,4,0.25773195878038374,0.25257731960477664,-0.0028159263704642685,0.004469691377163916,nan,-0.0038657112595584693,0.34370365253572166,nan,0.20884833382963336,0.05382689016593088,0.052750352362612385,0.48148481239360913,0.5522525122054253,0.22189762667050378,0,4,0.25782668359856586,0.2526488486668884,-0.0027290669754372393,0.004417467429685985,nan,-0.0037213308640980476,0.3319054917309246,nan,0.19143226447481043,0.04935634588330393,0.04836514121725614,0.4648139872269799,0.5332660720124877,0.21639095710084863,0
9,0.0045000000000000005,0.45,,scientific,0,4,0.07290322580645162,0.26210484933968214,0.24758979509280687,-0.003264085071634443,0.006414231758423747,nan,-0.006576150424383562,0.3271792841019622,nan,0.20759438851582565,0.05441149592570392,0.051398252115049815,0.45586171496179234,0.5233179870788871,0.19634886807344115,0,4,0.2619047619211925,0.24761904763458262,-0.0033745871787645553,0.006499095030222396,nan,-0.0068012214490984525,0.33886940277217087,nan,0.226072938682727,0.05920957918252396,0.05597996577256825,0.47220379493258213,0.5420806598872117,0.20143169963920995,0,4,0.26210484933968214,0.24758979509280687,-0.003264085071634443,0.006414231758423747,nan,-0.006576150424383562,0.3271792841019622,nan,0.20759438851582565,0.05441149592570392,0.051398252115049815,0.45586171496179234,0.5233179870788871,0.19634886807344115,0
