step,accepted_step,attempt_step,attempt_index,attempt_number,time,dt,dt_base,dt_retry_attempts,dt_recovery_success_steps,dt_recovery_window_steps,dt_restore_attempt,dt_snap_applied,dt_snap_target_time,time_grid_error,dt_event,g,mass,lumen_mass_def,ratio,max_u,max_p,ch_converged,ch_snes_reason,ch_snes_its,ch_ksp_reason,ch_ksp_its,biot_converged,biot_iterations,biot_iterations_u,biot_iterations_tp,biot_snes_reason,biot_snes_its,biot_ksp_reason,biot_ksp_its,biot_u_snes_reason,biot_u_snes_its,biot_u_ksp_reason,biot_u_ksp_its,biot_tp_snes_reason,biot_tp_snes_its,biot_tp_ksp_reason,biot_tp_ksp_its,split_iterations,outer_omega,split_pf_increment,split_u_increment,split_theta_increment,split_p_increment,split_increment,step_failed,constraint_mismatch_max,constraint_mismatch_boundary_max,constraint_mismatch_interior_max,min_J,min_Je,min_pf,max_pf,area_ref,area_def,area_ratio,flow_potential_min,flow_potential_max,flow_potential_range,p_eff_min,p_eff_max,p_eff_range,theta_eq_min,theta_eq_max,theta_eq_range,storage_strain_min,storage_strain_max,storage_strain_range,energy_total_p,energy_total_theta,energy_total_cross,mu_elastic_l2,mu_storage_l2,lumen_n_components,lumen_component_event,lumen_total_volume,lumen_total_volume_ref,lumen_total_volume_def,lumen_interface_measure_ref,lumen_interface_measure_def,lumen_characteristic_length_ref,lumen_characteristic_length_def,lumen_active_cell_count,lumen_largest_volume,lumen_second_volume,lumen_largest_fraction,lumen_second_fraction,lumen_min_gap,lumen_edge_components,lumen_second_edge_touch,lumen_largest_edge_count,lumen_largest_edge_touch,lumen_largest_cx,lumen_largest_cy,lumen_largest_cz,lumen_cx,lumen_cy,lumen_cz,lumen_rmax,lumen_edge_count,lumen_edge_touch,lumen_any_component_edge_touch,lumen_edge_stop_trigger,lumen_steady_stop_trigger,lumen_amr_eligible,lumen_center_delta,mesh_num_cells,mesh_num_vertices,amr_event
0,True,0,0,0,0.0,0.0,0.001,0,0,0,False,False,,0.0,initial_state,1.0,0.734055680222959,0.7340556802229583,1.000375447762369,0.0,0.0,True,2,1,4,,,,,,,,,,,,,,,,,,0,,,,,,0.0,False,0.0,0.0,0.0,1.0,1.0,-0.9890442369437414,0.5795859912114573,3.140290796624407,3.140290796624407,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.022102070043942712,0.029945221184718707,0.007843151140775995,0.0,0.0,0.0,10.543397147979135,10.543397147979135,10.543397147979135,0.0,2.2718679246641272e-20,8,none,0.03229613408974467,0.03229613408974467,0.03229613408974467,2.193900872723137,2.193900872723137,0.02944174414740782,0.02944174414740782,30,0.006459226810097791,0.005382689016593098,0.19999999975690147,0.16666666671731215,0.23456885413140563,0,False,0,False,-0.0008450171323492692,-0.44043451600558076,,-0.010570717518681955,-0.023665861241827336,,0.5150296924843095,0,False,False,False,False,False,,2972,1550,0
1,True,1,1,1,0.001,0.001,0.001,0,0,0,False,False,,,none,1.0,0.7348724513201192,0.6955156465249457,0.9999410797315473,0.019348165230840545,0.03502959514729853,True,2,1,4,1,True,1,,,2,1,2,155,,,,,,,,,8,0.8,1.1783961225660617e-06,1.257328899787791e-06,4.2611142890772944e-08,1.340539433616606e-06,2.1836563526571426e-06,False,0.00215243192504138,0.0,0.00215243192504138,0.8956314955297323,0.8956314955297323,-0.9849015533654496,0.46484110164163717,3.140290796624407,3.0372574968830617,0.9671898857736044,0.007491194789127062,0.03502959514729853,0.02753840035817147,0.007491194789127062,0.03502959514729853,0.02753840035817147,0.022675794491791815,0.029924507766827247,0.007248713275035432,0.011812410684691145,0.03947469915346438,0.027662288468773236,9.58003319419795,9.580033422938204,9.580033192753936,0.21405236721519957,0.0009252652673365379,0,none,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,,0,False,0,False,nan,nan,,nan,nan,,0.0,0,False,False,False,False,False,,2972,1550,0
2,True,2,2,1,0.002,0.001,0.001,0,0,4,False,False,,,component_split;component_dt_reduce,1.0,0.7356699275299075,0.6967115171761102,0.9999219050508069,0.019032059855795133,0.03829211341664449,True,2,1,4,1,True,2,,,2,2,2,257,,,,,,,,,7,0.8,1.274388072948457e-06,2.2034784598265478e-07,1.9770313526047425e-07,5.096343887172411e-07,1.404076875942872e-06,False,0.0026692491230975585,0.0,0.0026692491230975585,0.9027867766312536,0.9027867766312536,-0.9803643946199737,0.4934801135956822,3.140290796624407,3.040600447752821,0.9682544212215167,0.006380704049204374,0.03829211341664449,0.03191140936744012,0.006380704049204374,0.03829211341664449,0.03191140936744012,0.02253259943202159,0.02990182197309987,0.007369222541078281,0.01224747413561717,0.04259890034151362,0.030351426205896447,9.243173590993981,9.243173866255127,9.243173590652686,0.20095052286492654,0.0008320331737773748,4,split,0.023430931432589043,0.025836907275550994,0.023430931432589043,1.4958415042137343,1.4261659781395062,0.034544979802698765,0.032858631872786204,24,0.00684093708536022,0.0058613892404779325,0.29196180719668124,0.25015604938033265,0.45507334685635364,0,False,0,False,0.0024892132464620405,-0.3848933219820357,,-0.0015355666137254664,-0.03127929970386234,,0.45243915027820086,0,False,False,False,False,False,,2972,1550,0
3,True,3,3,1,0.0025,0.0005,0.001,0,1,4,False,False,,,reduced_hold,1.0,0.7360610572747566,0.697375382483414,0.9999771809871385,0.01872449601920151,0.04052654335855394,True,2,1,4,1,True,2,,,2,2,2,276,,,,,,,,,6,0.8,2.9106459963333504e-06,6.845210995594927e-07,4.894320339322179e-07,1.3320098751774837e-06,3.309716494674863e-06,False,0.0028995979971429865,0.0,0.0028995979971429865,0.9021914401883486,0.9021914401883486,-0.9784366873633181,0.5398812186229703,3.140290796624407,3.0428989989064408,0.9689863760952789,0.005516750811631636,0.04052654335855394,0.035009792546922304,0.005516750811631636,0.04052654335855394,0.035009792546922304,0.022300593906885147,0.02989218343681659,0.007591589529931442,0.012447508065095337,0.044407450492805596,0.03195994242771026,9.072567270213387,9.072567600681184,9.072567269356307,0.19295011219015812,0.0007704705600639311,4,none,0.071498050416596,0.07858725963495755,0.071498050416596,2.5429305570653717,2.4306561582030723,0.061808419751461806,0.05883024645448236,73,0.019599984196571937,0.017629103108087612,0.2741331278596993,0.2465676057650318,0.36278896117368964,0,False,0,False,-0.00520116649209584,-0.3620618616680164,,-0.0015054778034839498,-0.013102951702384392,,0.4644693631866342,0,False,False,False,False,False,0.018176372905707373,2972,1550,0
4,True,4,4,1,0.003,0.0005,0.001,0,2,4,False,False,,,reduced_hold,1.0,0.7364453269207035,0.6980009053435607,1.0000551415434011,0.01840887958535916,0.04299099765798799,True,2,1,4,1,True,2,,,2,2,2,295,,,,,,,,,6,0.8,2.4194580724225096e-06,6.380116460896366e-07,4.870464879415316e-07,1.0896632721762117e-06,2.7722583849458194e-06,False,0.0033063236767997377,0.0,0.0033063236767997377,0.8996978105224664,0.8996978105224664,-0.9769380814118226,0.5885701274485108,3.140290796624407,3.0450359390139807,0.9696668672491036,0.004796549155412641,0.04299099765798799,0.03819444850257535,0.004796549155412641,0.04299099765798799,0.03819444850257535,0.022057149362757444,0.029884690407059114,0.00782754104430167,0.012653789654631818,0.046511780972720684,0.033857991318088865,8.92720017694947,8.92720057247305,8.927200175291608,0.185580860863381,0.0007232486478067381,4,none,0.11173171667690483,0.12272530956592594,0.11173171667690483,3.2908513089906797,3.15142796798488,0.07458575185736142,0.0709086279692755,114,0.02940624726440941,0.02744638522189546,0.26318621192802044,0.24564542672571935,0.3105526787534612,0,False,0,False,0.0015223151490573559,0.3599322777613455,,0.0019603232679941693,0.008817220751205734,,0.468402134531814,0,False,False,False,False,False,0.022192470287513966,2972,1550,0
5,True,5,5,1,0.0035,0.0005,0.001,0,0,8,False,False,,,component_gap;component_dt_reduce,1.0,0.7368236156394182,0.6986124943607602,1.0001373412626928,0.018190007199463367,0.04561153348955657,True,2,1,4,1,True,2,,,2,2,2,244,,,,,,,,,6,0.8,2.1304508689952966e-06,5.929565206209612e-07,4.863338162825329e-07,9.409474964698492e-07,2.452003489500482e-06,False,0.0036133989753917694,0.0,0.0036133989753917694,0.8972128368516734,0.8972128368516734,-0.9758874659265817,0.6271416845377659,3.140290796624407,3.04699145697103,0.9702895859983198,0.004287812659909665,0.04561153348955657,0.04132372082964691,0.004287812659909665,0.04561153348955657,0.04132372082964691,0.021864291577311172,0.029879437329632906,0.008015145752321734,0.01284765508369257,0.049072940409784875,0.0362252853260923,8.79427272253944,8.794273184932296,8.794272719794161,0.17871958440896712,0.0006920413969117475,4,none,0.1462695969855149,0.16040413268039616,0.1462695969855149,3.839326527227362,3.684735753133082,0.08355847388486379,0.07939217723341153,149,0.03731022126260378,0.0373024546063163,0.2550784444035804,0.2550253461764195,0.26873671982678554,0,False,0,False,0.0026560659149372084,-0.34285409723043175,,-0.001975099404676332,0.0012875708740264556,,0.4683599910901291,0,False,False,False,False,False,0.008496068436958059,2972,1550,0
6,True,6,6,1,0.00375,0.00025,0.001,0,1,8,False,False,,,component_gap,1.0,0.7370110160913406,0.6989689151499348,1.000191507143136,0.018081076703592984,0.0472914397224534,True,2,1,4,1,True,2,,,2,2,2,249,,,,,,,,,6,0.8,1.0381003726543426e-06,3.3750762400611226e-07,2.4320980905866245e-07,5.176803810308836e-07,1.2323586199211527e-06,False,0.003761321987399563,0.0,0.003761321987399563,0.8955105353801539,0.8955105353801539,-0.975430884658349,0.6477707681282718,3.140290796624407,3.0481232314411337,0.9706499903504646,0.0040500712992305055,0.0472914397224534,0.043241368423222896,0.0040500712992305055,0.0472914397224534,0.043241368423222896,0.02176114615935864,0.02987715442329174,0.008116008263933102,0.01291623827961526,0.05067629246879404,0.037760054189178785,8.723194425392487,8.723194932156137,8.723194422388149,0.17481322307275493,0.0006770061441848774,4,none,0.1680764455095894,0.18408796435331215,0.1680764455095894,4.238217595042009,4.0749994760991335,0.08687046392741309,0.0824915176040629,171,0.043259650630758935,0.043254763660577546,0.2573808037146455,0.25735172783690086,0.24201156861247175,0,False,0,False,0.0030483168078436354,-0.33872009058504216,,0.002493905438331656,0.00017129554911560506,,0.4683577371131231,0,False,False,False,False,False,0.004606308162491268,2972,1550,0
7,True,7,7,1,0.004,0.00025,0.001,0,2,8,False,False,,,component_gap,1.0,0.737196850648931,0.699323494839315,1.0002423715117863,0.017979466839496996,0.04894815894262624,True,2,1,4,1,True,2,,,2,2,2,286,,,,,,,,,6,0.8,9.39693632938096e-07,3.193802582525867e-07,2.4364755753765027e-07,4.7396281339288107e-07,1.1265135391637527e-06,False,0.003866104545796027,0.0,0.003866104545796027,0.894520946346542,0.894520946346542,-0.9750266471181857,0.6641057262595037,3.140290796624407,3.049178308921534,0.970985971171583,0.0038648472888813926,0.04894815894262624,0.045083311653744844,0.0038648472888813926,0.04894815894262624,0.045083311653744844,0.02167947136870248,0.029875133235590927,0.008195661866888446,0.01298385501149761,0.05233783501813233,0.03935398000663472,8.653794951242768,8.65379549733035,8.653794947475427,0.17110381433409821,0.0006681921762919048,4,none,0.1810291804205888,0.19808295579645147,0.1810291804205888,4.28807897851797,4.126665720615645,0.09238773669458493,0.08773629495416535,184,0.046263137993538296,0.04624799299608589,0.2555562472638621,0.2554725867323543,0.2308786274584685,0,False,0,False,0.3327905019770462,-0.0008379286760595026,,0.0037547386000896716,0.0022171180013847466,,0.4683657710351845,0,False,False,False,False,False,0.0024031416454294236,2972,1550,0
8,True,8,8,1,0.00425,0.00025,0.001,0,3,8,False,False,,,component_gap,1.0,0.7373812785580602,0.6996762743216862,1.0002907722492358,0.017881987849408722,0.05055217929816406,True,2,1,4,1,True,2,,,2,2,2,303,,,,,,,,,5,0.8,3.9401426946857645e-06,1.4723162494504331e-06,1.2201730817174084e-06,2.152217367043976e-06,4.879887451287668e-06,False,0.004025271222139821,0.0,0.004025271222139821,0.89399540404419,0.89399540404419,-0.9747001147681911,0.6768246436770771,3.140290796624407,3.050165502946302,0.9713003350597392,0.003716198725152878,0.05055217929816406,0.04683598057301118,0.003716198725152878,0.05055217929816406,0.04683598057301118,0.021615876781614612,0.029873500573840955,0.008257623792226342,0.013052168247421725,0.05402798007244589,0.04097581182502417,8.584751437253562,8.584752013284401,8.584751430328932,0.16761269062650833,0.0006649538884962412,4,none,0.19406918574017312,0.2120779472395892,0.19406918574017312,4.437663128946107,4.2741531765663545,0.09558091323166985,0.09081058994524796,197,0.05026521951323161,0.049272056398382016,0.25900670073675947,0.25388912830473376,0.21317511451373697,0,False,0,False,-0.006017472554769337,0.3323351591800257,,-0.00329690417234192,0.005989153747719728,,0.46838366890631705,0,False,False,False,False,False,0.007997119447752147,2972,1550,0
9,True,9,9,1,0.0045000000000000005,0.00025,0.001,0,4,8,False,False,,,component_gap,1.0,0.7375644163299729,0.7000277433853532,1.000337238305282,0.0177853589216935,0.05208018492586821,True,2,1,4,1,True,2,,,2,2,2,259,,,,,,,,,5,0.8,3.7759564185881988e-06,1.418141540895428e-06,1.2244758798430688e-06,1.987638712377136e-06,4.660367060259135e-06,False,0.004170986025524423,0.0,0.004170986025524423,0.8937827775540083,0.8937827775540083,-0.9744482289554989,0.6868834668862727,3.140290796624407,3.051096610580965,0.9715968386942637,0.003592262202438339,0.05208018492586821,0.048487922723429874,0.003592262202438339,0.05208018492586821,0.048487922723429874,0.021565582665568638,0.029872241144777493,0.008306658479208855,0.013122653853028328,0.05572694766795289,0.04260429381492457,8.515115345566803,8.515115951015353,8.515115337619246,0.16436629621448776,0.0006667450257617756,4,none,0.21018624230241525,0.22930255209268766,0.21018624230241525,4.836554196754616,4.663641861372854,0.09482062756437314,0.0901382432657648,213,0.05429867342000069,0.05229582620308077,0.25833600156320385,0.24880708475599328,0.19509682707860354,0,False,0,False,-0.00655903991858341,0.3267642935972743,,-0.002469303693969501,0.003412646917221935,,0.46841204670111625,0,False,False,False,False,False,0.002706161488049824,2972,1550,0
