step,accepted_step,attempt_step,attempt_index,attempt_number,time,dt,dt_base,dt_retry_attempts,dt_recovery_success_steps,dt_recovery_window_steps,dt_restore_attempt,dt_snap_applied,dt_snap_target_time,time_grid_error,dt_event,g,mass,lumen_mass_def,ratio,max_u,max_p,ch_converged,ch_snes_reason,ch_snes_its,ch_ksp_reason,ch_ksp_its,biot_converged,biot_iterations,biot_iterations_u,biot_iterations_tp,biot_snes_reason,biot_snes_its,biot_ksp_reason,biot_ksp_its,biot_u_snes_reason,biot_u_snes_its,biot_u_ksp_reason,biot_u_ksp_its,biot_tp_snes_reason,biot_tp_snes_its,biot_tp_ksp_reason,biot_tp_ksp_its,split_iterations,outer_omega,split_pf_increment,split_u_increment,split_theta_increment,split_p_increment,split_increment,step_failed,constraint_mismatch_max,constraint_mismatch_boundary_max,constraint_mismatch_interior_max,min_J,min_Je,min_pf,max_pf,area_ref,area_def,area_ratio,flow_potential_min,flow_potential_max,flow_potential_range,p_eff_min,p_eff_max,p_eff_range,theta_eq_min,theta_eq_max,theta_eq_range,storage_strain_min,storage_strain_max,storage_strain_range,energy_total_p,energy_total_theta,energy_total_cross,mu_elastic_l2,mu_storage_l2,lumen_n_components,lumen_component_event,lumen_total_volume,lumen_total_volume_ref,lumen_total_volume_def,lumen_interface_measure_ref,lumen_interface_measure_def,lumen_characteristic_length_ref,lumen_characteristic_length_def,lumen_active_cell_count,lumen_largest_volume,lumen_second_volume,lumen_largest_fraction,lumen_second_fraction,lumen_min_gap,lumen_edge_components,lumen_second_edge_touch,lumen_largest_edge_count,lumen_largest_edge_touch,lumen_largest_cx,lumen_largest_cy,lumen_largest_cz,lumen_cx,lumen_cy,lumen_cz,lumen_rmax,lumen_edge_count,lumen_edge_touch,lumen_any_component_edge_touch,lumen_edge_stop_trigger,lumen_steady_stop_trigger,lumen_amr_eligible,lumen_center_delta,mesh_num_cells,mesh_num_vertices,amr_event
0,True,0,0,0,0.0,0.0,0.001,0,0,0,False,False,,0.0,initial_state,1.0,0.734055680222959,0.7340556802229583,1.000375447762369,0.0,0.0,True,2,1,4,,,,,,,,,,,,,,,,,,0,,,,,,0.0,False,0.0,0.0,0.0,1.0,1.0,-0.9890442369437414,0.5795859912114573,3.140290796624407,3.140290796624407,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.022102070043942712,0.029945221184718707,0.007843151140775995,0.0,0.0,0.0,10.543397147979135,10.543397147979135,10.543397147979135,0.0,2.2718679246641272e-20,8,none,0.03229613408974467,0.03229613408974467,0.03229613408974467,2.193900872723137,2.193900872723137,0.02944174414740782,0.02944174414740782,30,0.006459226810097791,0.005382689016593098,0.19999999975690147,0.16666666671731215,0.23456885413140563,0,False,0,False,-0.0008450171323492692,-0.44043451600558076,,-0.010570717518681955,-0.023665861241827336,,0.5150296924843095,0,False,False,False,False,False,,2972,1550,0
1,True,1,1,1,0.001,0.001,0.001,0,0,0,False,False,,,none,1.0,0.7342011572234288,0.6948879417489984,0.9999408874087079,0.019338081662523567,0.03423355126886048,True,2,1,4,1,True,1,,,2,1,2,159,,,,,,,,,8,0.8,1.126646108900349e-06,1.2366814521503268e-06,2.234815846922982e-08,1.2871153565871032e-06,2.110895035320859e-06,False,0.0021550326046426635,0.0,0.0021550326046426635,0.8956457841079467,0.8956457841079467,-0.9850185305116675,0.4645375855102791,3.140290796624407,3.0373362972285185,0.967214979101121,0.007488449958629908,0.03423355126886048,0.026745101310230574,0.007488449958629908,0.03423355126886048,0.026745101310230574,0.022677312072448604,0.02992509265255834,0.007247780580109737,0.011445165653740935,0.03906166140021777,0.027616495746476837,9.574166329105074,9.574166558203785,9.57416632786624,0.2139226395036357,0.0009127477557646099,0,none,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,,0,False,0,False,nan,nan,,nan,nan,,0.0,0,False,False,False,False,False,,2972,1550,0
2,True,2,2,1,0.002,0.001,0.001,0,0,4,False,False,,,component_split;component_dt_reduce,1.0,0.7343326680821916,0.6954596716864535,0.9999221707686622,0.019014585548419904,0.0366431692035888,True,2,1,4,1,True,2,,,2,2,2,244,,,,,,,,,7,0.8,1.2757110004720868e-06,2.2289156630775282e-07,1.1640493458122228e-07,5.490829678866159e-07,1.4114394855871962e-06,False,0.0026717595945640916,0.0,0.0026717595945640916,0.9027948898772998,0.9027948898772998,-0.980565907528056,0.4928569909961395,3.140290796624407,3.0407521822281334,0.9683027398280214,0.006376707384440472,0.0366431692035888,0.03026646181914833,0.006376707384440472,0.0366431692035888,0.03026646181914833,0.022535715045019302,0.02990282953764028,0.007367114492620976,0.011495575416011327,0.040881903664990324,0.029386328248978997,9.231717068861208,9.23171734438776,9.231717068761592,0.20073554833194568,0.0008085883092414655,4,split,0.022447681283987244,0.02476036947242859,0.022447681283987244,1.4459801207385548,1.3782427787155398,0.034247178252743725,0.03257434993406237,23,0.005861411534874972,0.005857568750735247,0.26111434231098657,0.2609431538442978,0.45782667260939364,0,False,0,False,0.38801003061560213,0.0002448158255689298,,-0.00026231797786736627,-0.01694869560054552,,0.45244946088057725,0,False,False,False,False,False,,2972,1550,0
3,True,3,3,1,0.0025,0.0005,0.001,0,1,4,False,False,,,reduced_hold,1.0,0.7343937280866777,0.695812428081479,0.9999782107178414,0.018701913397094556,0.0384102009643317,True,2,1,4,1,True,2,,,2,2,2,276,,,,,,,,,6,0.8,2.922477952014613e-06,6.914606460096852e-07,2.952867372736407e-07,1.462763532078645e-06,3.3534857406854382e-06,False,0.0029041109084644683,0.0,0.0029041109084644683,0.9022069029586866,0.9022069029586866,-0.9786695294860235,0.5392717093950142,3.140290796624407,3.0430845098576236,0.9690454505451299,0.005507727980721596,0.0384102009643317,0.032902472983610105,0.005507727980721596,0.0384102009643317,0.032902472983610105,0.02230364145302493,0.029893347647430114,0.0075897061944051845,0.011500083124160797,0.04223480213766792,0.030734719013507123,9.058400873427244,9.05840120422431,9.058400872908127,0.1927288656116541,0.000742022368797871,4,none,0.07149797382976542,0.07858725963495755,0.07149797382976542,2.5429305570653717,2.43067915989604,0.061808419751461806,0.0588296267227826,73,0.019599962979811314,0.017629073415374345,0.27413312475788826,0.24656745458757548,0.3628046792671411,0,False,0,False,-0.005201307867962325,-0.3620730441108336,,-0.0015058312425363573,-0.01310366843921983,,0.4644827891734833,0,False,False,False,False,False,0.0040411086487175795,2972,1550,0
4,True,4,4,1,0.003,0.0005,0.001,0,2,4,False,False,,,reduced_hold,1.0,0.7344506715738823,0.6961280121420752,1.0000571667201255,0.018381171191566875,0.04038344514099147,True,2,1,4,1,True,2,,,2,2,2,278,,,,,,,,,6,0.8,2.431549153287918e-06,6.443343681393887e-07,3.0510739961772884e-07,1.2403706050026866e-06,2.8212068031034168e-06,False,0.0033117807774159843,0.0,0.0033117807774159843,0.8996632131803857,0.8996632131803857,-0.9772027783694258,0.5878356879683502,3.140290796624407,3.0452513663786567,0.9697354683369097,0.004789497470349842,0.04038344514099147,0.03559394767064163,0.004789497470349842,0.04038344514099147,0.03559394767064163,0.02206082156015825,0.029886013891847127,0.007825192331688876,0.011507277059536176,0.04381088231103443,0.03230360525149825,8.91057637470436,8.910576770775368,8.910576373582938,0.1853755645672974,0.000689681251248009,4,none,0.11173156472769963,0.12272530956592594,0.11173156472769963,3.2908513089906797,3.1514883986101445,0.07458575185736142,0.07090717184741976,114,0.02940640587552249,0.027446192201858823,0.2631879894207933,0.2456440332572786,0.31057077402741595,0,False,0,False,0.0015223305062890653,0.3599456328614917,,0.001960865957079417,0.008818298663369096,,0.4684188429150648,0,False,False,False,False,False,0.022194382873168942,2972,1550,0
5,True,5,5,1,0.0035,0.0005,0.001,0,0,8,False,False,,,component_gap;component_dt_reduce,1.0,0.7345041361879547,0.6964307842897213,1.0001405477081273,0.018163072885796397,0.04249931990376215,True,2,1,4,1,True,2,,,2,2,2,281,,,,,,,,,6,0.8,2.1416555170383495e-06,5.985462115578685e-07,3.15199538721761e-07,1.0991011460527063e-06,2.5004639568479805e-06,False,0.003615657303989196,0.0,0.003615657303989196,0.8971383396719781,0.8971383396719781,-0.9761817883891017,0.6263925302123974,3.140290796624407,3.0472331198530043,0.9703665415726997,0.004277996611353462,0.04249931990376215,0.03822132329240869,0.004277996611353462,0.04249931990376215,0.03822132329240869,0.021868037348938014,0.02988090894194551,0.008012871593007495,0.011498854916409368,0.045680976532831055,0.03418212161642169,8.775428626813314,8.775429090025472,8.775428624865347,0.17854219580860692,0.0006529523964036413,4,none,0.14527497564088399,0.15932759487707754,0.14527497564088399,3.789465143751216,3.6358656780537304,0.08408975347869706,0.07991217965931531,148,0.03731013337015673,0.037302616245360284,0.2568242273355214,0.2567724832222405,0.2677671439715643,0,False,0,False,0.0026563082235818,-0.3428685254878293,,0.0008750667509142416,0.0017806706217530634,,0.46838004045540305,0,False,False,False,False,False,0.007120896598620797,2972,1550,0
6,True,6,6,1,0.00375,0.00025,0.001,0,1,8,False,False,,,component_gap,1.0,0.7345299143610962,0.6966330856519345,1.0001955297517575,0.01805148174776755,0.04391615178623922,True,2,1,4,1,True,2,,,2,2,2,284,,,,,,,,,6,0.8,1.0452494390191572e-06,3.4043989100989946e-07,1.6062153961998133e-07,5.960927770549171e-07,1.2607821330458452e-06,False,0.0037606407883700836,0.0,0.0037606407883700836,0.8954268443387321,0.8954268443387321,-0.9757374907097444,0.6469812058589254,3.140290796624407,3.048377373497209,0.9707309198160888,0.00404122199974196,0.04391615178623922,0.03987492978649726,0.00404122199974196,0.04391615178623922,0.03987492978649726,0.02176509397070537,0.029878687453548724,0.008113593482843354,0.011465859915095635,0.04701146059976018,0.035545600684664544,8.703267758537883,8.703268266303315,8.703267756494062,0.17465386741375777,0.0006350455779764025,4,none,0.1660859680770207,0.1819348887466749,0.1660859680770207,4.138494828089718,3.978952615031528,0.08792321667858842,0.08348225482735722,169,0.04325970497424253,0.04225981919916594,0.2604657423809655,0.2544454518853054,0.246371732652243,0,False,0,False,0.003048099409712984,-0.3387351707340774,,0.0016234106103927013,-0.0008368292927871858,,0.4683798279796872,0,False,False,False,False,False,0.0027223747601381643,2972,1550,0
7,True,7,7,1,0.004,0.00025,0.001,0,2,8,False,False,,,component_gap,1.0,0.7345548601424258,0.6968339489442147,1.000247197717794,0.017947257341378708,0.04530991766270447,True,2,1,4,1,True,2,,,2,2,2,295,,,,,,,,,6,0.8,9.45810826574341e-07,3.2201809218050413e-07,1.6420720320920293e-07,5.53435322485379e-07,1.153910062837262e-06,False,0.0038621002785296874,0.0,0.0038621002785296874,0.8944364105469123,0.8944364105469123,-0.9753460713698994,0.663249884195579,3.140290796624407,3.04944390290728,0.9710705474108382,0.0038569776130678085,0.04530991766270447,0.04145294004963666,0.0038569776130678085,0.04530991766270447,0.04145294004963666,0.021683750579022103,0.0298767303568495,0.008192979777827396,0.011431293779184707,0.04839476579181262,0.03696347201262792,8.632842531124856,8.632843078398494,8.632842528496756,0.17096086863485593,0.0006231002577992142,4,none,0.1790298023046967,0.19592988018981428,0.1790298023046967,4.28807897851797,4.125821577157492,0.09138352216522412,0.08678504339397067,182,0.04626311821118949,0.04426527691516821,0.2584101507996572,0.24725088418425265,0.2321145021893715,0,False,0,False,0.33280575571405074,-0.0008377841132218476,,0.003598933837169677,-0.0012135716658375644,,0.4683898914681747,0,False,False,False,False,False,0.0020111257631453446,2972,1550,0
8,True,8,8,1,0.00425,0.00025,0.001,0,3,8,False,False,,,component_gap,1.0,0.7345790766986335,0.6970338695783007,1.0002964120680926,0.017847068883438094,0.04665505855932229,True,2,1,4,1,True,2,,,2,2,2,308,,,,,,,,,6,0.8,8.815963829823077e-07,3.075504296273306e-07,1.6760045453668328e-07,5.162432491742496e-07,1.079998358299832e-06,False,0.004035938995069422,0.0,0.004035938995069422,0.8938333845967505,0.8938333845967505,-0.9750318523571473,0.6758808712972111,3.140290796624407,3.0504428516773436,0.9713886545017921,0.003709094621889899,0.04665505855932229,0.04294596393743239,0.003709094621889899,0.04665505855932229,0.04294596393743239,0.021620595643513946,0.029875159261785734,0.008254563618271787,0.011396865304608615,0.04980469305130068,0.03840782774669207,8.562818721901756,8.562819304157973,8.562818718711286,0.16748172372904457,0.0006164654575893915,4,none,0.19006614838547234,0.20777179602631474,0.19006614838547234,4.537385895898399,4.3705619040738535,0.09158215800605873,0.08697561208699933,193,0.04827239021336887,0.04826137186085355,0.2539767897830383,0.25391881863662996,0.21897634263439833,0,False,0,False,-0.328292914435525,-0.0018321762951831893,,-0.002036678070587419,0.0031325748852778904,,0.46841009519929694,0,False,False,False,False,False,0.0071168189114678435,2972,1550,0
9,True,9,9,1,0.0045000000000000005,0.00025,0.001,0,4,8,False,False,,,component_gap,1.0,0.7346026548570503,0.6972321341538539,1.00034368721106,0.01774802378087502,0.04792634424829472,True,2,1,4,1,True,2,,,2,2,2,332,,,,,,,,,5,0.8,3.789783334242133e-06,1.427699520049243e-06,8.523032371331246e-07,2.395785623199961e-06,4.781944499929656e-06,False,0.004179303441150478,0.0,0.004179303441150478,0.8935893769542864,0.8935893769542864,-0.974791711907824,0.6859814178533441,3.140290796624407,3.0513828507930643,0.9716879895559632,0.003586150021459768,0.04792634424829472,0.04434019422683495,0.003586150021459768,0.04792634424829472,0.04434019422683495,0.02157009291073328,0.02987395855953912,0.00830386564880584,0.011364120412917532,0.05121803049658637,0.039853910083668835,8.492240355507697,8.492240962709166,8.492240349202762,0.16424361954279573,0.0006145454253495729,4,none,0.207178023337791,0.226072938682727,0.207178023337791,4.786692813278804,4.614289258086272,0.09445892916110105,0.08979845508155937,210,0.05429945046119689,0.05129614064406603,0.26209078350296344,0.24759450745618336,0.1960624731056083,0,False,0,False,-0.006559985714548577,0.32678182109345855,,-0.0032548639607241953,0.00640066164675526,,0.4684356568588833,0,False,False,False,False,False,0.003487745395448465,2972,1550,0
