step,accepted_step,attempt_step,attempt_index,attempt_number,time,dt,dt_base,dt_retry_attempts,dt_recovery_success_steps,dt_recovery_window_steps,dt_restore_attempt,dt_snap_applied,dt_snap_target_time,time_grid_error,dt_event,g,mass,lumen_mass_def,ratio,max_u,max_p,ch_converged,ch_snes_reason,ch_snes_its,ch_ksp_reason,ch_ksp_its,biot_converged,biot_iterations,biot_iterations_u,biot_iterations_tp,biot_snes_reason,biot_snes_its,biot_ksp_reason,biot_ksp_its,biot_u_snes_reason,biot_u_snes_its,biot_u_ksp_reason,biot_u_ksp_its,biot_tp_snes_reason,biot_tp_snes_its,biot_tp_ksp_reason,biot_tp_ksp_its,split_iterations,outer_omega,split_pf_increment,split_u_increment,split_theta_increment,split_p_increment,split_increment,step_failed,constraint_mismatch_max,constraint_mismatch_boundary_max,constraint_mismatch_interior_max,min_J,min_Je,min_pf,max_pf,area_ref,area_def,area_ratio,flow_potential_min,flow_potential_max,flow_potential_range,p_eff_min,p_eff_max,p_eff_range,theta_eq_min,theta_eq_max,theta_eq_range,storage_strain_min,storage_strain_max,storage_strain_range,energy_total_p,energy_total_theta,energy_total_cross,mu_elastic_l2,mu_storage_l2,lumen_n_components,lumen_component_event,lumen_total_volume,lumen_total_volume_ref,lumen_total_volume_def,lumen_interface_measure_ref,lumen_interface_measure_def,lumen_characteristic_length_ref,lumen_characteristic_length_def,lumen_active_cell_count,lumen_largest_volume,lumen_second_volume,lumen_largest_fraction,lumen_second_fraction,lumen_min_gap,lumen_edge_components,lumen_second_edge_touch,lumen_largest_edge_count,lumen_largest_edge_touch,lumen_largest_cx,lumen_largest_cy,lumen_largest_cz,lumen_cx,lumen_cy,lumen_cz,lumen_rmax,lumen_edge_count,lumen_edge_touch,lumen_any_component_edge_touch,lumen_edge_stop_trigger,lumen_steady_stop_trigger,lumen_amr_eligible,lumen_center_delta,mesh_num_cells,mesh_num_vertices,amr_event
0,True,0,0,0,0.0,0.0,0.001,0,0,0,False,False,,0.0,initial_state,1.0,0.734055680222959,0.7340556802229583,1.000375447762369,0.0,0.0,True,2,1,4,,,,,,,,,,,,,,,,,,0,,,,,,0.0,False,0.0,0.0,0.0,1.0,1.0,-0.9890442369437414,0.5795859912114573,3.140290796624407,3.140290796624407,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.022102070043942712,0.029945221184718707,0.007843151140775995,0.0,0.0,0.0,10.543397147979135,10.543397147979135,10.543397147979135,0.0,2.2718679246641272e-20,8,none,0.03229613408974467,0.03229613408974467,0.03229613408974467,2.193900872723137,2.193900872723137,0.02944174414740782,0.02944174414740782,30,0.006459226810097791,0.005382689016593098,0.19999999975690147,0.16666666671731215,0.23456885413140563,0,False,0,False,-0.0008450171323492692,-0.44043451600558076,,-0.010570717518681955,-0.023665861241827336,,0.5150296924843095,0,False,False,False,False,False,,2972,1550,0
1,True,1,1,1,0.001,0.001,0.001,0,0,0,False,False,,,none,1.0,0.7347237272906852,0.6953808724143818,0.9999411457352164,0.01934478838846955,0.03489545476830208,True,2,1,4,1,True,1,,,2,1,2,155,,,,,,,,,8,0.8,1.1620330251804181e-06,1.2519652497120204e-06,3.594697440345608e-08,1.3348770882363968e-06,2.1681620704559147e-06,False,0.0021506073043909037,0.0,0.0021506073043909037,0.8956403945082344,0.8956403945082344,-0.9849028734343239,0.46462780661146397,3.140290796624407,3.0372741254998266,0.9671951810210327,0.007447268135371379,0.03489545476830208,0.0274481866329307,0.007447268135371379,0.03489545476830208,0.0274481866329307,0.02267686096694268,0.02992451436717162,0.00724765340022894,0.011810566237242418,0.03919256684219145,0.02738200060494903,9.57942151582932,9.579421744577951,9.579421514434141,0.21401907695777023,0.0009160494853070108,0,none,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,,0,False,0,False,nan,nan,,nan,nan,,0.0,0,False,False,False,False,False,,2972,1550,0
2,True,2,2,1,0.002,0.001,0.001,0,0,4,False,False,,,component_split;component_dt_reduce,1.0,0.7353836301822207,0.6964500954326385,0.9999221157378335,0.01902596418995789,0.03800506954790343,True,2,1,4,1,True,2,,,2,2,2,241,,,,,,,,,7,0.8,1.2784390094364643e-06,2.202404283807565e-07,1.7240941630517162e-07,5.203028986254405e-07,1.408315398016706e-06,False,0.0026654067075741507,0.0,0.0026654067075741507,0.902790902915591,0.902790902915591,-0.9803655966719843,0.49306399601619966,3.140290796624407,3.0406270769803694,0.9682629010819096,0.006302808656173419,0.03800506954790343,0.03170226089173001,0.006302808656173419,0.03800506954790343,0.03170226089173001,0.022534680019919002,0.02990182798335992,0.007367147963440918,0.012244495643922092,0.04223167454983138,0.02998717890590929,9.24229369998352,9.242293975010318,9.242293699634848,0.2009223939252216,0.0008154304794212482,4,split,0.02244760749803286,0.02476036947242859,0.02244760749803286,1.4459801207385548,1.378238835570456,0.034247178252743725,0.03257433605655401,23,0.005861404767407986,0.005857556123261524,0.2611148991232868,0.260943449041277,0.457821800047499,0,False,0,False,0.38800659061684756,0.00024486316339366926,,-0.0002614810348655755,-0.016948451895536346,,0.45244530697323226,0,False,False,False,False,False,,2972,1550,0
3,True,3,3,1,0.0025,0.0005,0.001,0,1,4,False,False,,,reduced_hold,1.0,0.7357100384293309,0.6970531478802022,0.9999775246111408,0.01871748839467542,0.04015632638114027,True,2,1,4,1,True,2,,,2,2,2,290,,,,,,,,,6,0.8,2.9182901915051393e-06,6.844941584181234e-07,4.302276606870634e-07,1.356024020390249e-06,3.3179582394356977e-06,False,0.0028944731938473876,0.0,0.0028944731938473876,0.9021924827905256,0.9021924827905256,-0.9784371967722176,0.5393860810422962,3.140290796624407,3.0429275026897495,0.9689954528926695,0.005428384740262578,0.04015632638114027,0.034727941640877696,0.005428384740262578,0.04015632638114027,0.034727941640877696,0.02230306959478852,0.029892185983861088,0.007589116389072569,0.012444414317815846,0.0439415019010689,0.03149708758325306,9.07168359611807,9.071683926268793,9.071683595274346,0.19294642518296298,0.0007511282700583414,4,none,0.07149781649251044,0.07858725963495755,0.07149781649251044,2.5429305570653717,2.4306589841610307,0.061808419751461806,0.05882998557873697,73,0.019599937986722632,0.01762903770698113,0.2741333784476589,0.24656749774768033,0.36279901062745157,0,False,0,False,-0.0052011679977490705,-0.36206881329407137,,-0.0015054963554577095,-0.013103367388323335,,0.4644763067207339,0,False,False,False,False,False,0.00404131772884507,2972,1550,0
4,True,4,4,1,0.003,0.0005,0.001,0,2,4,False,False,,,reduced_hold,1.0,0.7360331171219947,0.6976203469965652,1.0000556513455123,0.018401192646327637,0.04253485779887105,True,2,1,4,1,True,2,,,2,2,2,293,,,,,,,,,6,0.8,2.424233809641694e-06,6.377288108125853e-07,4.3212623803105827e-07,1.1156180504825915e-06,2.7775788593859522e-06,False,0.003300090576671943,0.0,0.003300090576671943,0.8996822360881893,0.8996822360881893,-0.9769375131168364,0.5880230413710785,3.140290796624407,3.0450649001715213,0.9696760896935892,0.004704575479018145,0.04253485779887105,0.0378302823198529,0.004704575479018145,0.04253485779887105,0.0378302823198529,0.022059884793144607,0.029884687565584184,0.007824802772439576,0.012650754898696399,0.04600565976343494,0.033354904864738535,8.926385399735292,8.92638579483257,8.926385398098612,0.18560833537771584,0.0007015481510054063,4,none,0.11173062611618166,0.12272530956592594,0.11173062611618166,3.2908513089906797,3.151431001839957,0.07458575185736142,0.07090786760106627,114,0.029405994138028232,0.027446091793666402,0.26318651528409753,0.24564519816730407,0.3105647389177247,0,False,0,False,0.0015222648623798192,0.35994021036608825,,0.0019603710351677964,0.00881748980798855,,0.468409878512796,0,False,False,False,False,False,0.022193156985667897,2972,1550,0
5,True,5,5,1,0.0035,0.0005,0.001,0,0,8,False,False,,,component_gap;component_dt_reduce,1.0,0.7363531468969706,0.6981757118974168,1.0001380449556678,0.018181587164898354,0.04506681453446098,True,2,1,4,1,True,2,,,2,2,2,240,,,,,,,,,6,0.8,2.132753662334971e-06,5.92430567824612e-07,4.3506904745172937e-07,9.658449172824289e-07,2.4539261688541243e-06,False,0.003605828533826424,0.0,0.003605828533826424,0.8971781251775438,0.8971781251775438,-0.9758854961986488,0.6265541951700159,3.140290796624407,3.0470197682011686,0.9702986014787235,0.004189777223625459,0.04506681453446098,0.04087703731083552,0.004189777223625459,0.04506681453446098,0.04087703731083552,0.02186722902414992,0.029879427480993242,0.008012198456843322,0.012844755722629438,0.04847091522495553,0.03562615950232609,8.793600424904538,8.793600886790708,8.793600422194896,0.17877827605668548,0.0006681935663649839,4,none,0.14626707967252822,0.16040413268039616,0.14626707967252822,3.839326527227362,3.68473277086346,0.08355847388486379,0.07939087514248845,149,0.03730962602372368,0.037301839835987144,0.2550787648680399,0.25502553219426277,0.26875081162103376,0,False,0,False,0.002656119327803932,-0.3428628199867525,,-0.001975140224774525,0.0012875247976056499,,0.4683683589023755,0,False,False,False,False,False,0.008496388758450471,2972,1550,0
6,True,6,6,1,0.00375,0.00025,0.001,0,1,8,False,False,,,component_gap,1.0,0.7365122425756974,0.6985044156128579,1.0001923223418425,0.018072418603125126,0.046699953522781244,True,2,1,4,1,True,2,,,2,2,2,263,,,,,,,,,6,0.8,1.038335473123065e-06,3.37149557018338e-07,2.1846715397960072e-07,5.280903887534878e-07,1.232240940159479e-06,False,0.0037529389427476603,0.0,0.0037529389427476603,0.8954670485628435,0.8954670485628435,-0.9754282348714167,0.6471779992331425,3.140290796624407,3.0481505813326244,0.9706586997004141,0.00395144781853703,0.046699953522781244,0.04274850570424421,0.00395144781853703,0.046699953522781244,0.04274850570424421,0.021764110003834287,0.029877141174357084,0.008113031170522797,0.012913532851356465,0.05002462867985029,0.037111095828493826,8.722628454124097,8.72262896029204,8.722628451140558,0.17488826560156523,0.0006522755593957497,4,none,0.16608264582490864,0.1819348887466749,0.16608264582490864,4.138494828089718,3.9787847317230343,0.08792321667858842,0.08348410734600645,169,0.04325875191809812,0.042258827646362955,0.26046521419042984,0.2544445714750595,0.24636587678781485,0,False,0,False,0.0030484447082028843,-0.33872909523121303,,0.0016233387257725608,-0.000836890997750799,,0.4683663760994204,0,False,False,False,False,False,0.004178778916034016,2972,1550,0
7,True,7,7,1,0.004,0.00025,0.001,0,2,8,False,False,,,component_gap,1.0,0.7366704798711945,0.6988318386212593,1.0002433077656814,0.017970643575304313,0.048310347823726334,True,2,1,4,1,True,2,,,2,2,2,283,,,,,,,,,6,0.8,9.393667833407978e-07,3.189416313315907e-07,2.1984054498102144e-07,4.836469661620487e-07,1.1253346039893202e-06,False,0.0038569678664386545,0.0,0.0038569678664386545,0.8944691389022783,0.8944691389022783,-0.9750231254626597,0.6635040928768413,3.140290796624407,3.0492045292035344,0.9709943208066004,0.0037651272855973384,0.048310347823726334,0.044545220538128996,0.0037651272855973384,0.048310347823726334,0.044545220538128996,0.021682479535615792,0.029875115627313296,0.008192636091697503,0.012981309360571038,0.051635499281977415,0.03865418992140637,8.653355325635301,8.653355871100896,8.653355321897163,0.1711921859950887,0.0006425584850546312,4,none,0.18002704005841763,0.19700641799313284,0.18002704005841763,4.337940361994116,4.1742841238277535,0.09082947276968584,0.08625528819697861,183,0.04626193748566253,0.04524947482469045,0.25697216079679375,0.25134821307958677,0.23210839282669676,0,False,0,False,0.3327997775052,-0.000838048319883915,,0.004248039976188799,0.0008347498954648752,,0.4683745984981886,0,False,False,False,False,False,0.0031118226057742213,2972,1550,0
8,True,8,8,1,0.00425,0.00025,0.001,0,3,8,False,False,,,component_gap,1.0,0.7368279154594535,0.699157992614019,1.0002918396912885,0.01787306143036785,0.04986838949428819,True,2,1,4,1,True,2,,,2,2,2,309,,,,,,,,,5,0.8,3.936537705482683e-06,1.4699525202569473e-06,1.1054381517985977e-06,2.1965728505316655e-06,4.868676957207298e-06,False,0.004016688015747404,0.0,0.004016688015747404,0.8939224307278455,0.8939224307278455,-0.9746956003015091,0.6762109571657737,3.140290796624407,3.050190512580644,0.9713082991738807,0.00361491098538532,0.04986838949428819,0.04625347850890287,0.00361491098538532,0.04986838949428819,0.04625347850890287,0.021618945214171133,0.029873478001507543,0.00825453278733641,0.013049726692341116,0.05327358773880979,0.040223861046468676,8.584457216517041,8.58445779220878,8.584457209777108,0.16771002704796045,0.0006383833117175425,4,none,0.19005987848338926,0.20777179602631474,0.19005987848338926,4.537385895898399,4.3703231803001925,0.09158215800605873,0.08697749371950761,193,0.04827095556469848,0.04825953500089712,0.25397761984214484,0.25391753054874694,0.21897154260286744,0,False,0,False,-0.32828702046774627,-0.0018320100649466592,,-0.0020367144662178497,0.00313195362544886,,0.4683926472732856,0,False,False,False,False,False,0.006691433581707469,2972,1550,0
9,True,9,9,1,0.0045000000000000005,0.00025,0.001,0,4,8,False,False,,,component_gap,1.0,0.7369845856230937,0.6994833405684637,1.0003384493057108,0.017776381203434166,0.05135069501307432,True,2,1,4,1,True,2,,,2,2,2,258,,,,,,,,,5,0.8,3.7702956167987685e-06,1.4156259429278587e-06,1.114100876537978e-06,2.0294238426799738e-06,4.645310295844943e-06,False,0.004161742611028859,0.0,0.004161742611028859,0.8936942634508617,0.8936942634508617,-0.9744426353990244,0.6862562238608495,3.140290796624407,3.0511203991734104,0.971604413977569,0.0034890019183754376,0.05135069501307432,0.047861693094698884,0.0034890019183754376,0.05135069501307432,0.047861693094698884,0.021568718880695753,0.029872213176995118,0.008303494296299365,0.01312024603070123,0.05491866657566576,0.041798420544964535,8.514985067968768,8.514985673109805,8.514985060228593,0.16446714162501838,0.0006391891237145557,4,none,0.20716979951924258,0.226072938682727,0.20716979951924258,4.786692813278804,4.614032440941413,0.09445892916110105,0.08979988856644154,210,0.05429677182275458,0.051294307137265634,0.26208825779025446,0.24759548571412918,0.19605843065667233,0,False,0,False,-0.006559218626472987,0.3267742353656122,,-0.003254090048207856,0.00639975345110373,,0.46841582241389296,0,False,False,False,False,False,0.003487193571939405,2972,1550,0
