step,time,threshold,roi_max_r,analysis_mode,mesh_index,n_components,lumen_node_fraction,largest_component_fraction,second_component_fraction,centroid_x,centroid_y,centroid_z,largest_centroid_x,largest_centroid_y,largest_centroid_z,total_component_volume,largest_component_volume,second_component_volume,min_pairwise_centroid_distance,mean_pairwise_centroid_distance,min_gap,edge_components,ref_n_components,ref_largest_component_fraction,ref_second_component_fraction,ref_centroid_x,ref_centroid_y,ref_centroid_z,ref_largest_centroid_x,ref_largest_centroid_y,ref_largest_centroid_z,ref_total_component_volume,ref_largest_component_volume,ref_second_component_volume,ref_min_pairwise_centroid_distance,ref_mean_pairwise_centroid_distance,ref_min_gap,ref_edge_components,def_n_components,def_largest_component_fraction,def_second_component_fraction,def_centroid_x,def_centroid_y,def_centroid_z,def_largest_centroid_x,def_largest_centroid_y,def_largest_centroid_z,def_total_component_volume,def_largest_component_volume,def_second_component_volume,def_min_pairwise_centroid_distance,def_mean_pairwise_centroid_distance,def_min_gap,def_edge_components
0,0.0,0.5,,scientific,0,4,0.018590600127810376,0.25273595404025906,0.25250903238287953,0.011247649355269491,0.02680125915120288,-0.0006503255157424946,0.48996852666193325,0.03840111761759044,-0.0005242422163608612,0.0913737753055667,0.023093438276112665,0.023072703587579298,0.5585462485531513,0.731662189479115,0.2057203840856875,0,4,0.25273595404025906,0.25250903238287953,0.011247649355269491,0.02680125915120288,-0.0006503255157424946,0.48996852666193325,0.03840111761759044,-0.0005242422163608612,0.0913737753055667,0.023093438276112665,0.023072703587579298,0.5585462485531513,0.731662189479115,0.2057203840856875,0,4,0.25273595404025906,0.25250903238287953,0.011247649355269491,0.02680125915120288,-0.0006503255157424946,0.48996852666193325,0.03840111761759044,-0.0005242422163608612,0.0913737753055667,0.023093438276112665,0.023072703587579298,0.5585462485531513,0.731662189479115,0.2057203840856875,0
1,0.00025,0.5,,scientific,0,4,0.022192528902573637,0.2568850441090052,0.2511278609716566,0.013413808036166713,0.035282147285435904,-0.003138152190802392,-0.006926303569706746,0.4980404169122319,-0.0036086606555805834,0.1014502385138649,0.026061048995503284,0.025476981393051268,0.5571277771597255,0.727439860338452,0.19455860074779,0,4,0.25883174607326453,0.2526511510199626,0.014841273345172913,0.03756707504933029,-0.0013332866833609576,-0.00752623246942959,0.5084683320744992,-0.0016411384645874285,0.1137453363882598,0.029440904025064118,0.028737890161646677,0.5698546916044838,0.7431455009774242,0.19408041874973814,0,4,0.2568850441090052,0.2511278609716566,0.013413808036166713,0.035282147285435904,-0.003138152190802392,-0.006926303569706746,0.4980404169122319,-0.0036086606555805834,0.1014502385138649,0.026061048995503284,0.025476981393051268,0.5571277771597255,0.727439860338452,0.19455860074779,0
2,0.0005,0.5,,scientific,0,4,0.02620112705513275,0.25423385594572273,0.2514569810549239,0.012069120288894664,0.03391023657015155,-0.0024557569237656724,-0.006127133561239636,0.5047238556031102,-0.0018290479139323789,0.1186287395967137,0.030159441893653563,0.029830024725340343,0.5588176350314085,0.734151880599386,0.17623965536657463,0,4,0.2563992212480209,0.25311637309473706,0.013666593130636897,0.03636381410606796,-0.0006983614925966694,-0.006738011386074092,0.5155497854455554,0.00012880822873352567,0.13317363857942596,0.034145617222530206,0.03370842838905365,0.5723564578937661,0.7505116378653206,0.17576963825059078,0,4,0.25423385594572273,0.2514569810549239,0.012069120288894664,0.03391023657015155,-0.0024557569237656724,-0.006127133561239636,0.5047238556031102,-0.0018290479139323789,0.1186287395967137,0.030159441893653563,0.029830024725340343,0.5588176350314085,0.734151880599386,0.17623965536657463,0
3,0.00075,0.5,,scientific,0,3,0.029512577702898973,0.5027992515368429,0.2519330650105892,0.006567483124567299,0.030905694740946767,-0.003283805568929131,-0.22233450113571573,-0.20947256371133144,-0.0024422903481143383,0.13384912232238655,0.06729923852255928,0.033721019635656116,0.6867527055453653,0.7294282345635645,0.287699422319398,0,3,0.4985209273289403,0.25428046952270805,0.008347228446143348,0.033512255221979766,-0.0016208942616382687,-0.22750900523787526,-0.21423756220983545,-0.0009253138392266596,0.1503517970834266,0.0749535173076025,0.038231525555956644,0.7026050851492366,0.7457342114801061,0.286597436517364,0,3,0.5027992515368429,0.2519330650105892,0.006567483124567299,0.030905694740946767,-0.003283805568929131,-0.22233450113571573,-0.20947256371133144,-0.0024422903481143383,0.13384912232238655,0.06729923852255928,0.033721019635656116,0.6867527055453653,0.7294282345635645,0.287699422319398,0
4,0.001,0.5,,scientific,0,3,0.0328821239760646,0.5080887613084328,0.24687273788604863,0.004671703176481332,0.02841669336840291,-0.0024012773878921796,-0.22263064746850542,-0.20721428967607666,-0.0017721257928877384,0.14850949009865283,0.07545600286677148,0.036662944422715456,0.6837222999161752,0.7267219410730167,0.2720640970851944,0,3,0.5035428639255759,0.2493896483639637,0.006564743468923151,0.03110071749640104,-0.0007840744776151351,-0.22781460271980852,-0.21202723691195882,-0.00030042731419470826,0.16682610522120636,0.08400409480063573,0.04160470371904627,0.6998467787087032,0.7432559551285703,0.2706023559332045,0,3,0.5080887613084328,0.24687273788604863,0.004671703176481332,0.02841669336840291,-0.0024012773878921796,-0.22263064746850542,-0.20721428967607666,-0.0017721257928877384,0.14850949009865283,0.07545600286677148,0.036662944422715456,0.6837222999161752,0.7267219410730167,0.2720640970851944,0
5,0.00125,0.5,,scientific,0,3,0.0352059489920409,0.5103269421146966,0.2448673129656445,0.005037911282069302,0.025048432602007998,-0.002382475084426655,-0.2205930365779103,-0.2086780307126193,-0.0016696458664250723,0.15923178030327806,0.08126026752965107,0.03899065818159954,0.6813549658102361,0.7242999254097274,0.2606582580759008,0,3,0.5055978094745542,0.24748286573051384,0.007016298707275267,0.027799914969635547,-0.000823485918571209,-0.2257917820837574,-0.21353255236948898,-0.00025106804725889446,0.17891166592227212,0.09045734637974404,0.04427757179506422,0.6976775214272734,0.7410097058698826,0.2589144378891084,0,3,0.5103269421146966,0.2448673129656445,0.005037911282069302,0.025048432602007998,-0.002382475084426655,-0.2205930365779103,-0.2086780307126193,-0.0016696458664250723,0.15923178030327806,0.08126026752965107,0.03899065818159954,0.6813549658102361,0.7242999254097274,0.2606582580759008,0
6,0.0015,0.5,,scientific,0,3,0.03752977400801719,0.5114911588802806,0.2467667436263821,0.006883255428807196,0.023826922271405836,-0.0032021416180487167,-0.2173190317487999,-0.20660947435642563,-0.002328866143630676,0.16854874975024411,0.08621119533757476,0.04159222611816572,0.6766160792373804,0.7188189051860648,0.24695951549828546,0,3,0.5066535674547226,0.24885451894412067,0.00889786882553749,0.02663892654562705,-0.0017182222996194796,-0.222517465812849,-0.21147535706334866,-0.0009807103759862962,0.18936629092818152,0.09594310685443203,0.047124657233165015,0.6931063921323508,0.735667505108862,0.2447352742539897,0,3,0.5114911588802806,0.2467667436263821,0.006883255428807196,0.023826922271405836,-0.0032021416180487167,-0.2173190317487999,-0.20660947435642563,-0.002328866143630676,0.16854874975024411,0.08621119533757476,0.04159222611816572,0.6766160792373804,0.7188189051860648,0.24695951549828546,0
7,0.00175,0.5,,scientific,0,3,0.03967931214779527,0.5123455699839975,0.2462021118259917,0.006015855184682354,0.02405367903970887,-0.0029878771635570354,-0.21555670358364948,-0.20342832743319292,-0.0023544455121457504,0.17725167421834095,0.09081411005801372,0.04363973651724823,0.6721714994059395,0.7125460094374287,0.23181179923080714,0,3,0.5074521745599093,0.24831447882454905,0.008049814914369713,0.026884134892578807,-0.0015592513518541962,-0.22075018333903726,-0.20829962446687453,-0.0010644073127357393,0.19906804373799653,0.10101751168023348,0.04943147753142314,0.6887860062162322,0.7294988633416569,0.22941909901181112,0,3,0.5123455699839975,0.2462021118259917,0.006015855184682354,0.02405367903970887,-0.0029878771635570354,-0.21555670358364948,-0.20342832743319292,-0.0023544455121457504,0.17725167421834095,0.09081411005801372,0.04363973651724823,0.6721714994059395,0.7125460094374287,0.23181179923080714,0
8,0.002,0.5,,scientific,0,1,0.04124789403357927,1.0,0.0,0.006365280301796123,0.025623873692429373,-0.0028478212070116166,0.006365280301796123,0.025623873692429373,-0.0028478212070116166,0.18578402360681828,0.18578402360681828,0.0,0.0,0.0,nan,0,1,1.0,0.0,0.00837582940566301,0.028404841074040857,-0.0014754992526451887,0.00837582940566301,0.028404841074040857,-0.0014754992526451887,0.20850335492430375,0.20850335492430375,0.0,0.0,0.0,nan,0,1,1.0,0.0,0.006365280301796123,0.025623873692429373,-0.0028478212070116166,0.006365280301796123,0.025623873692429373,-0.0028478212070116166,0.18578402360681828,0.18578402360681828,0.0,0.0,0.0,nan,0
9,0.0022500000000000003,0.5,,scientific,0,1,0.04264218904316505,1.0,0.0,0.00550292029912869,0.02703830908056109,-0.0027715282117262395,0.00550292029912869,0.02703830908056109,-0.0027715282117262395,0.19385918321664405,0.19385918321664405,0.0,0.0,0.0,nan,0,1,1.0,0.0,0.007482766656619703,0.029772874955602446,-0.0014535479229612173,0.007482766656619703,0.029772874955602446,-0.0014535479229612173,0.21735260710852367,0.21735260710852367,0.0,0.0,0.0,nan,0,1,1.0,0.0,0.00550292029912869,0.02703830908056109,-0.0027715282117262395,0.00550292029912869,0.02703830908056109,-0.0027715282117262395,0.19385918321664405,0.19385918321664405,0.0,0.0,0.0,nan,0
