step,accepted_step,attempt_step,attempt_index,attempt_number,time,dt,dt_base,dt_retry_attempts,dt_recovery_success_steps,dt_recovery_window_steps,dt_restore_attempt,dt_snap_applied,dt_snap_target_time,time_grid_error,dt_event,g,mass,lumen_mass_def,ratio,max_u,max_p,ch_converged,ch_snes_reason,ch_snes_its,ch_ksp_reason,ch_ksp_its,biot_converged,biot_iterations,biot_iterations_u,biot_iterations_tp,biot_snes_reason,biot_snes_its,biot_ksp_reason,biot_ksp_its,biot_u_snes_reason,biot_u_snes_its,biot_u_ksp_reason,biot_u_ksp_its,biot_tp_snes_reason,biot_tp_snes_its,biot_tp_ksp_reason,biot_tp_ksp_its,split_iterations,outer_omega,split_pf_increment,split_u_increment,split_theta_increment,split_p_increment,split_increment,step_failed,constraint_mismatch_max,constraint_mismatch_boundary_max,constraint_mismatch_interior_max,min_J,min_Je,J_fraction_ref_below_0_8,J_fraction_def_below_0_8,J_p01_ref,J_p05_ref,J_p01_def,J_p05_def,min_pf,max_pf,area_ref,area_def,area_ratio,flow_potential_min,flow_potential_max,flow_potential_range,p_eff_min,p_eff_max,p_eff_range,theta_eq_min,theta_eq_max,theta_eq_range,storage_strain_min,storage_strain_max,storage_strain_range,energy_total_p,energy_total_theta,energy_total_cross,mu_elastic_l2,mu_storage_l2,lumen_n_components,lumen_component_event,lumen_total_volume,lumen_total_volume_ref,lumen_total_volume_def,lumen_interface_measure_ref,lumen_interface_measure_def,lumen_characteristic_length_ref,lumen_characteristic_length_def,lumen_active_cell_count,lumen_largest_volume,lumen_second_volume,lumen_largest_fraction,lumen_second_fraction,lumen_min_gap,lumen_edge_components,lumen_second_edge_touch,lumen_largest_edge_count,lumen_largest_edge_touch,lumen_largest_cx,lumen_largest_cy,lumen_largest_cz,lumen_cx,lumen_cy,lumen_cz,lumen_rmax,lumen_edge_count,lumen_edge_touch,lumen_any_component_edge_touch,lumen_edge_stop_trigger,lumen_steady_stop_trigger,lumen_amr_eligible,lumen_center_delta,mesh_num_cells,mesh_num_vertices,amr_event
0,True,0,0,0,0.0,0.0,0.00025,0,0,0,False,False,,0.0,initial_state,1.0,0.76456028523202,0.76456028523202,1.0055688597641115,0.0,0.0,True,2,1,4,,,,,,,,,,,,,,,,,,0,,,,,,0.0,False,0.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,-0.9988921625514458,0.8497747354336983,4.183098271533233,4.183098271533233,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.02075112632283151,0.029994460812757227,0.009243334489925717,0.0,0.0,0.0,10.509627775221846,10.509627775221846,10.509627775221846,0.0,2.9907885361241657e-20,4,none,0.0913737753055667,0.0913737753055667,0.0913737753055667,2.456542761650365,2.456542761650365,0.11158825736562339,0.11158825736562339,1763,0.023093438276112665,0.023072703587579298,0.25273595404025906,0.25250903238287953,0.2057203840856875,0,False,0,False,0.48996852666193325,0.03840111761759044,-0.0005242422163608612,0.011247649355269491,0.02680125915120288,-0.0006503255157424946,0.7148087675017765,0,False,False,False,False,False,,93159,17213,0
1,True,1,1,1,0.00025,0.00025,0.00025,0,0,0,False,False,,,none,1.000625,0.7648709490848873,0.7214138168671187,1.00635315715266,0.020810872505983825,0.06179542376229308,True,2,1,4,1,True,1,,,2,1,2,48,,,,,,,,,8,0.8,7.799028458800054e-07,9.984090499620157e-07,1.4990282085857884e-08,1.8858281571367306e-06,2.2719246525500173e-06,False,0.01088035846022797,0.0,0.01088035846022797,0.8469432579952205,0.8469315064721966,0.0,0.0,0.888424597211227,0.9198175231652174,0.8899599300316933,0.921333685371502,-0.9979343999443739,0.8314711791868054,4.183098271533233,4.0517870043110475,0.9686090885992845,0.0019563294898033287,0.06179542376229308,0.05983909427248975,0.0019563294898033287,0.06179542376229308,0.05983909427248975,0.020842644104065975,0.02998967199972187,0.009147027895655895,0.002925717136840984,0.0628994540420969,0.05997373690525592,9.840520504578604,9.840524731517993,9.840520494577568,0.17993999538488875,0.001172200940111899,4,none,0.10145024930426685,0.1137453363882598,0.10145024930426685,2.9260155796564478,2.7361804254850295,0.11662139174421107,0.11123197325660636,2194,0.02606105239972749,0.02547698450426667,0.25688505034192555,0.2511278649287178,0.1945586058826301,0,False,0,False,-0.006926304379141467,0.4980404373604802,-0.0036086585431252963,0.01341381255429284,0.035282155379618756,-0.0031381505796256657,0.7138263526846622,0,False,False,False,False,False,,93159,17213,0
2,True,2,2,1,0.0005,0.00025,0.00025,0,0,0,False,False,,,none,1.00125,0.7651746803545085,0.722182212966678,1.0071930076865767,0.0206226922505946,0.06092355573832075,True,2,1,4,1,True,1,,,2,1,2,38,,,,,,,,,6,0.8,2.837278401783459e-06,7.99376698606226e-07,2.7566227257292716e-07,1.5311361823306541e-06,3.333094588046317e-06,False,0.010926180529543247,0.0,0.010926180529543247,0.8393198700642771,0.8392904117133293,0.0,0.0,0.8839609420233238,0.9206505655896163,0.8858108921662645,0.9223442297111907,-0.9964345467431442,0.8563977651065819,4.183098271533233,4.05646212696028,0.9697267105975645,0.0018591515070449161,0.06092355573832075,0.05906440423127583,0.0018591515070449161,0.06092355573832075,0.05906440423127583,0.020718011174467088,0.02998217273371572,0.009264161559248633,0.0027237972715279477,0.0617814354053383,0.059057638133810354,9.67009835586375,9.670102547312348,9.670098346569986,0.17817375947913439,0.0010575101942236326,4,none,0.11862876462720165,0.13317363857942596,0.11862876462720165,3.21190136642124,3.0081737036740357,0.12438766641935567,0.11830643072470946,2580,0.030159449788511043,0.029830031974326394,0.254233868853722,0.25145698910436387,0.17623966495233645,0,False,0,False,-0.006127135158004714,0.5047238969083331,-0.0018290437257403962,0.012069129628754153,0.03391025318264588,-0.002455753743324604,0.7306464000888188,0,False,False,False,False,False,0.0020386155229684647,93159,17213,0
3,True,3,3,1,0.00075,0.00025,0.00025,0,0,0,False,False,,,none,1.001875,0.7654725754301026,0.7228380164009875,1.0080319074764168,0.02058330824219121,0.06047894761347345,True,2,1,4,1,True,1,,,2,1,2,39,,,,,,,,,6,0.8,2.4958696490627537e-06,7.190214224325525e-07,2.5540582222493846e-07,1.2641865211804934e-06,2.8999580695917656e-06,False,0.010840932077490591,0.0,0.010840932077490591,0.824917814610078,0.8248796095958214,0.0,0.0,0.8800222088374462,0.9212633352244162,0.882116721997325,0.9232520244343504,-0.9948894094263322,0.885863815720912,4.183098271533233,4.060703419582819,0.970740622379509,0.0017853392122401997,0.06047894761347345,0.05869360840123325,0.0017853392122401997,0.06047894761347345,0.05869360840123325,0.02057068092139544,0.02997444704713166,0.009403766125736221,0.002620546227583193,0.06109789532125211,0.05847734909366892,9.544406335039563,9.544410540804588,9.544406319938282,0.17692172678830886,0.0009646962581248094,3,merge,0.13384916415384038,0.1503517970834266,0.13384916415384038,3.422437618992545,3.210105492485784,0.1317936048701615,0.1250885659058444,2919,0.06729925524414355,0.03372103277958914,0.502799219327158,0.25193308447433904,0.2876994555827591,0,False,0,False,-0.22233452592012415,-0.20947258026606294,-0.00244228697354283,0.00656749728437621,0.0309057195905607,-0.0032838009751930838,0.7303066611119791,0,False,False,False,False,False,0.006323040627489188,93159,17213,0
4,True,4,4,1,0.001,0.00025,0.00025,0,0,0,False,False,,,none,1.0025,0.7657655687395968,0.7234222491564282,1.0088319434592308,0.020708198671829447,0.06021233031230223,True,2,1,4,1,True,1,,,2,1,2,39,,,,,,,,,6,0.8,2.3545397137604006e-06,6.604656785018189e-07,2.459889759177959e-07,1.0608135486567632e-06,2.6769213917185947e-06,False,0.010844176525804572,0.0,0.010844176525804572,0.8060593444082467,0.8060271605005285,0.0,0.0,0.8760008288540263,0.9220033649348023,0.8792752122145576,0.9241696633766543,-0.9933492403118882,0.9123879501788713,4.183098271533233,4.064596809756612,0.9716713655562322,0.0017388447624511237,0.06021233031230223,0.0584734855498511,0.0017388447624511237,0.06021233031230223,0.0584734855498511,0.020438060249105643,0.029966746201559438,0.009528685952453795,0.0025689303640937743,0.060628581559820635,0.05805965119572686,9.446676321106434,9.446680564970666,9.446676300667715,0.17613749039161186,0.000890114271043022,3,none,0.14850955093333715,0.16682610522120636,0.14850955093333715,3.634294785951586,3.4149923365147616,0.13770988462417097,0.13046256298621875,3235,0.07545602746498914,0.03666296323192386,0.508088718811491,0.24687276341156741,0.2720641379912126,0,False,0,False,-0.2226306798913842,-0.20721431139454988,-0.0017721215125356914,0.004671721784755024,0.028416725346608437,-0.0024012715332520315,0.7520331534527833,0,False,False,False,False,False,0.003250833017440951,93159,17213,0
5,True,5,5,1,0.00125,0.00025,0.00025,0,0,0,False,False,,,none,1.003125,0.7660544090949994,0.7239703983075539,1.0095713666706179,0.02090485235976809,0.060053735560400355,True,2,1,4,1,True,1,,,2,1,2,40,,,,,,,,,6,0.8,2.2480720867911994e-06,6.172674677742611e-07,2.39462886749376e-07,9.073093395170367e-07,2.513045949816153e-06,False,0.010862463561028433,0.0,0.010862463561028433,0.7858737446089094,0.7858472752518915,0.0002655684694203722,0.000216707121791259,0.8723473098088853,0.922957426780103,0.877101071520574,0.9251905907831968,-0.9918444107044729,0.93461412125812,4.183098271533233,4.068225821677124,0.9725389071928244,0.0016812928189262161,0.060053735560400355,0.058372442741474136,0.0016812928189262161,0.060053735560400355,0.058372442741474136,0.0203269293937094,0.029959222053522364,0.009632292659812965,0.002545154007600687,0.06030421865189429,0.0577590646442936,9.368379251031987,9.368383539959165,9.368379225939412,0.17562414225200532,0.0008294934081584842,3,none,0.1592318606845867,0.17891166592227212,0.1592318606845867,3.75103593340133,3.531177736092452,0.14308980433576404,0.1352793933794935,3468,0.0812603003018826,0.03899068275459666,0.5103268903127778,0.24486734367709914,0.26065830485808583,0,False,0,False,-0.220593076391056,-0.20867805760303357,-0.0016696406373887759,0.005037933941558018,0.025048470825421318,-0.0023824679832336023,0.773337284765315,0,False,False,False,False,False,0.0033881563477474092,93159,17213,0
6,True,6,6,1,0.0015,0.00025,0.00025,0,0,0,False,False,,,none,1.00375,0.7663396989623059,0.7245073982809154,1.0102382110255235,0.021228752788521293,0.05994783207920548,True,2,1,4,1,True,1,,,2,1,2,40,,,,,,,,,6,0.8,2.1195555894417045e-06,5.834177858730811e-07,2.3359420208222513e-07,7.909405623590326e-07,2.347987528509867e-06,False,0.010873960848216282,0.0,0.010873960848216282,0.7658446435962769,0.76582596891925,0.0007972213017035678,0.0006445702335777588,0.8695436918769791,0.9238693209713604,0.8749027824279891,0.9264584715837446,-0.9904138884229345,0.9527331776457809,4.183098271533233,4.071654142961772,0.9733584722764321,0.0015960152533825204,0.05994783207920548,0.05835181682582296,0.0015960152533825204,0.05994783207920548,0.05835181682582296,0.020236334111771098,0.029952069442114673,0.009715735330343575,0.0024819889013381097,0.06006789411890924,0.05758590521757113,9.304043550015122,9.304047882343136,9.304043521055425,0.17517249080648528,0.0007796213842012117,3,none,0.16854884992120953,0.18936629092818152,0.16854884992120953,3.9496875611610855,3.7250285075926435,0.1438338764744068,0.13574300135770245,3670,0.08621123664588765,0.04159225481895379,0.5114910999759907,0.24676676725113614,0.24695956971937555,0,False,0,False,-0.21731907845732099,-0.20660950590782692,-0.002328859952031339,0.006883280837550552,0.02382696542500151,-0.0032021333451862206,0.773245217694957,0,False,False,False,False,False,0.002359922014683737,93159,17213,0
7,True,7,7,1,0.00175,0.00025,0.00025,0,0,0,False,False,,,none,1.004375,0.7666219255616218,0.7250501933784166,1.0108265457587875,0.021521957426412858,0.05985465248765147,True,2,1,4,1,True,1,,,2,1,2,41,,,,,,,,,6,0.8,1.957421907051176e-06,5.556291435029013e-07,2.2784394620986163e-07,7.025805968694666e-07,2.1646608570941473e-06,False,0.01088201003667273,0.0,0.01088201003667273,0.7483429013469154,0.748330241357987,0.0012579353467601427,0.0010083220656306408,0.867455445083904,0.9247183727213006,0.8730072698409725,0.9277654721347834,-0.9890800081745241,0.9673078208466656,4.183098271533233,4.074930413841624,0.974141688607291,0.0015316880927098413,0.05985465248765147,0.058322964394941626,0.0015316880927098413,0.05985465248765147,0.058322964394941626,0.020163460895766674,0.02994540004087262,0.009781939145105945,0.0024287324039030935,0.059875284992116175,0.05744655258821308,9.249874705335484,9.249879074856784,9.249874673295947,0.17462114929231592,0.0007381107951072351,3,none,0.17725179435007515,0.19906804373799653,0.17725179435007515,4.155281912971157,3.92579096197396,0.1437216881361895,0.13545178237988736,3852,0.09081416028176507,0.04363977062496357,0.51234550609065,0.2462021373886592,0.23181185648734087,0,False,0,False,-0.21555675675530278,-0.20342836345988558,-0.002354438487002162,0.006015882049997128,0.024053725539656307,-0.002987867856293016,0.7731751073324725,0,False,False,False,False,False,0.0009217974321823908,93159,17213,0
8,True,8,8,1,0.002,0.00025,0.00025,0,0,0,False,False,,,none,1.005,0.7669014839334366,0.7256098887187845,1.0113341897868908,0.02182693579606495,0.059748586199160264,True,2,1,4,1,True,1,,,2,1,2,41,,,,,,,,,6,0.8,1.7693525431423234e-06,5.326705412098171e-07,2.221562161754332e-07,6.35553322886185e-07,1.966628520594071e-06,False,0.01091057250838941,0.0,0.01091057250838941,0.7340153208758028,0.7340069807311681,0.0017767513641322517,0.0014166830889697454,0.8655251400899782,0.9259094632533525,0.8719438068485701,0.928794768436476,-0.9878537937658939,0.9789379784494088,4.183098271533233,4.0780922351424165,0.9748975449356754,0.0014837950578769422,0.059748586199160264,0.05826479114128332,0.0014837950578769422,0.059748586199160264,0.05826479114128332,0.020105310107752957,0.029939268968829466,0.009833958861076509,0.0023806533568639285,0.05969530329032546,0.05731464993346153,9.203137250701396,9.203141649121816,9.20313721630335,0.17387300677698714,0.000703149744818398,1,merge,0.18578416377626586,0.20850335492430375,0.18578416377626586,4.281541925234502,4.051771830440502,0.14609457893808941,0.1375577191048794,4036,0.18578416377626586,0.0,1.0,0.0,,0,False,0,False,0.006365307292530717,0.025623921805106285,-0.0028478109380483422,0.006365307292530717,0.025623921805106285,-0.0028478109380483422,0.77312816879286,0,False,False,False,False,False,0.0016146919992682531,93159,17213,0
9,True,9,9,1,0.0022500000000000003,0.00025,0.00025,0,0,0,False,False,,,none,1.005625,0.7671786943797902,0.7261934762873756,1.011761202699975,0.022383306337969675,0.059614834474767626,True,2,1,4,1,True,1,,,2,1,2,41,,,,,,,,,6,0.8,1.5702687082492867e-06,5.146599741118234e-07,2.1658888799322927e-07,5.850255107610845e-07,1.7662911140871081e-06,False,0.010949028338929936,0.0,0.010949028338929936,0.7228715102494319,0.7228661396879188,0.002169376398496738,0.0017211181043370917,0.8638756459326564,0.9268800913065514,0.87115517068125,0.9299438412952924,-0.9867388593538651,0.9881650184655832,4.183098271533233,4.0811690606171,0.9756330823949844,0.0014480089366210903,0.059614834474767626,0.05816682553814653,0.0014480089366210903,0.059614834474767626,0.05816682553814653,0.020059174907672086,0.029933694296769325,0.009874519389097239,0.002333349534443853,0.05950782849985001,0.05717447896540615,9.161812611306734,9.161817029777161,9.161812575181258,0.1728828632808993,0.0006733350581405753,1,none,0.19385934290583978,0.21735260710852367,0.19385934290583978,4.441337254421727,4.21127816553993,0.14681565122675433,0.13810012206661132,4214,0.19385934290583978,0.0,1.0,0.0,,0,False,0,False,0.005502946529053647,0.027038357339560556,-0.0027715170977562578,0.005502946529053647,0.027038357339560556,-0.0027715170977562578,0.7731039919607487,0,False,False,False,False,False,0.0016583469834682394,93159,17213,0
